 day, S, E, H, R, D
0,710059.523,0.0,0.0,0.0,0.0
1,708966.4,484.197,0.0,25.613,0.0
2,707432.984,925.094,0.0,74.819,0.0
3,705098.946,1726.211,0.0,166.696,0.0
4,701672.852,2819.274,0.0,316.467,0.0
5,696604.189,4466.352,3.609,579.867,0.0
6,689170.07,6837.149,11.096,998.425,0.047
7,678302.274,10276.82,23.879,1652.464,0.174
8,662549.562,15170.581,43.903,2640.053,0.485
9,639953.168,22026.769,74.028,4119.419,1.108
10,608098.367,31305.918,117.995,6308.216,2.192
11,564236.005,43339.131,180.601,9517.0,4.186
12,505914.64,57837.084,267.923,14175.125,7.753
13,432186.963,73293.812,386.707,20830.832,13.982
14,345389.742,86426.528,542.946,30194.898,25.058
15,252768.428,92324.108,734.535,43037.39,44.684
16,166061.892,86489.006,949.154,60110.77,79.177
17,97043.666,68875.347,1160.915,81953.218,137.437
18,51178.668,45781.498,1330.685,108668.919,230.02
19,25432.734,25702.053,1434.255,139885.095,367.416
20,12586.819,12824.128,1478.857,174819.111,552.741
21,6463.575,6112.402,1497.807,212439.715,779.029
22,3510.548,2947.562,1504.279,251494.784,1036.691
23,3089.121,421.427,1500.77,290479.339,1308.83
24,2746.312,342.809,1486.184,327939.513,1578.579
25,2468.416,277.896,1464.51,362841.306,1829.967
26,2239.922,228.494,1435.689,394731.127,2057.159
27,2051.383,188.539,1402.45,423578.648,2258.361
28,1893.461,157.922,1366.754,449581.069,2434.333
29,1760.078,133.383,1328.448,472910.795,2586.859
30,1647.252,112.826,1291.676,493871.573,2719.047
31,1550.85,96.402,1254.046,512724.209,2833.875
32,1467.986,82.864,1217.561,529718.315,2933.777
33,1395.768,72.218,1181.008,545038.186,3020.878
34,1332.854,62.914,1144.535,558874.42,3096.646
35,1277.73,55.124,1107.977,571393.637,3162.274
36,1229.068,48.662,1070.919,582724.529,3219.683
37,1186.035,43.033,1034.095,592998.345,3269.822
38,1147.819,38.216,996.897,602326.55,3313.722
39,1113.466,34.353,959.436,610808.306,3351.746
40,1082.953,30.513,921.978,618527.259,3385.433
41,1055.696,27.257,885.292,625558.689,3415.054
42,1031.303,24.393,848.299,631972.539,3441.127
43,1009.286,22.017,811.6,637831.028,3464.092
44,989.309,19.977,774.43,643190.963,3484.51
45,971.033,18.276,738.056,648094.148,3502.675
46,954.641,16.392,702.155,652582.571,3518.766
47,939.706,14.935,667.138,656697.652,3533.09
48,925.967,13.739,632.126,660478.827,3545.948
49,913.573,12.394,598.181,663946.091,3557.293
50,902.292,11.281,564.375,667137.744,3567.512
51,892.013,10.279,531.951,670073.88,3576.866
52,882.524,9.489,500.087,672775.138,3585.418
53,873.768,8.756,469.472,675263.43,3593.062
54,865.838,7.93,440.061,677557.659,3599.943
55,858.594,7.244,411.704,679674.506,3606.251
56,851.789,6.805,384.416,681628.615,3612.038
57,845.585,6.204,358.258,683433.87,3617.204
58,839.799,5.786,333.649,685101.412,3621.907
59,834.513,5.286,310.238,686639.916,3626.271
60,829.67,4.843,287.6,688064.83,3630.15
61,825.154,4.516,266.648,689381.64,3633.752
62,821.092,4.062,246.772,690602.293,3636.977
63,817.361,3.731,228.098,691728.617,3639.971
64,813.868,3.493,210.467,692772.844,3642.683
65,810.686,3.182,193.694,693738.686,3645.262
66,807.7,2.986,177.974,694635.319,3647.587
67,804.89,2.81,163.765,695464.298,3649.601
68,802.297,2.593,150.344,696234.21,3651.438
69,799.951,2.346,138.094,696946.732,3653.203
70,797.723,2.228,126.416,697607.319,3654.848
71,795.646,2.077,115.723,698222.928,3656.295
72,793.654,1.993,105.986,698792.756,3657.565
73,791.926,1.729,96.884,699321.981,3658.755
74,790.291,1.635,88.638,699813.214,3659.82
75,788.78,1.511,80.917,700266.765,3660.789
76,787.35,1.432,73.735,700689.454,3661.699
77,786.087,1.263,67.232,701080.958,3662.532
78,784.922,1.166,61.261,701445.48,3663.287
79,783.823,1.1,55.655,701783.972,3663.988
80,782.731,1.092,50.605,702097.434,3664.609
81,781.711,1.02,45.841,702389.209,3665.21
82,780.798,0.913,41.645,702659.567,3665.706
83,780.008,0.79,37.658,702911.325,3666.179
84,779.199,0.809,34.22,703144.559,3666.625
85,778.503,0.697,30.996,703362.237,3667.02
86,777.859,0.644,28.129,703563.359,3667.352
87,777.248,0.611,25.544,703750.435,3667.647
88,776.652,0.597,23.104,703924.643,3667.927
89,776.121,0.531,21.062,704086.239,3668.172
90,775.616,0.505,19.125,704237.092,3668.408
91,775.127,0.49,17.339,704377.209,3668.638
92,774.682,0.445,15.671,704507.239,3668.863
93,774.272,0.41,14.092,704628.104,3669.042
94,773.894,0.378,12.733,704740.286,3669.197
95,773.528,0.366,11.514,704844.675,3669.32
96,773.204,0.324,10.455,704941.356,3669.446
97,772.876,0.328,9.467,705031.464,3669.555
98,772.616,0.26,8.498,705115.574,3669.66
99,772.361,0.255,7.739,705193.526,3669.76
100,772.14,0.221,7.051,705265.859,3669.844
101,771.93,0.211,6.362,705333.19,3669.913
102,771.704,0.226,5.763,705395.666,3669.985
103,771.499,0.205,5.223,705453.754,3670.052
104,771.321,0.178,4.712,705507.987,3670.111
105,771.157,0.164,4.283,705558.423,3670.156
106,771.015,0.142,3.834,705605.233,3670.194
107,770.867,0.148,3.437,705648.855,3670.24
108,770.742,0.125,3.135,705689.55,3670.267
109,770.625,0.117,2.846,705727.452,3670.299
110,770.492,0.133,2.583,705762.339,3670.327
111,770.407,0.085,2.324,705794.981,3670.357
112,770.312,0.095,2.113,705825.098,3670.381
113,770.232,0.08,1.934,705853.361,3670.406
114,770.149,0.083,1.733,705879.619,3670.431
115,770.073,0.076,1.566,705904.071,3670.458
116,769.998,0.075,1.419,705926.806,3670.474
117,769.913,0.085,1.295,705948.026,3670.485
118,769.85,0.063,1.19,705967.454,3670.498
119,769.777,0.073,1.086,705985.505,3670.512
120,769.714,0.063,0.969,706002.539,3670.525
121,769.666,0.048,0.891,706018.367,3670.535
122,769.619,0.047,0.791,706033.181,3670.547
123,769.563,0.056,0.718,706046.956,3670.555
124,769.53,0.033,0.667,706059.719,3670.563
125,769.48,0.05,0.611,706071.506,3670.568
126,769.441,0.039,0.541,706082.419,3670.572
127,769.406,0.035,0.5,706092.612,3670.579
128,769.368,0.038,0.459,706102.037,3670.583
129,769.335,0.033,0.419,706110.95,3670.588
130,769.303,0.032,0.375,706119.254,3670.593
131,769.278,0.026,0.345,706127.154,3670.597
132,769.254,0.024,0.319,706134.306,3670.602
133,769.232,0.022,0.3,706140.929,3670.604
134,769.206,0.026,0.266,706147.179,3670.606
135,769.194,0.012,0.235,706153.024,3670.613
136,769.171,0.023,0.218,706158.321,3670.619
137,769.162,0.009,0.203,706163.25,3670.62
138,769.148,0.014,0.18,706167.826,3670.622
139,769.132,0.016,0.161,706172.217,3670.624
140,769.117,0.015,0.155,706176.161,3670.624
141,769.112,0.005,0.141,706179.918,3670.626
142,769.098,0.014,0.134,706183.415,3670.626
143,769.087,0.011,0.122,706186.632,3670.628
144,769.076,0.011,0.114,706189.564,3670.628
145,769.062,0.014,0.107,706192.334,3670.63
146,769.053,0.009,0.099,706194.946,3670.63
147,769.046,0.007,0.088,706197.363,3670.633
148,769.039,0.007,0.081,706199.609,3670.634
149,769.034,0.005,0.072,706201.664,3670.638
150,769.024,0.01,0.067,706203.586,3670.638
151,769.015,0.009,0.063,706205.364,3670.638
152,769.01,0.005,0.057,706207.008,3670.638
153,769.008,0.002,0.051,706208.585,3670.641
154,769.001,0.007,0.045,706210.034,3670.642
155,768.996,0.005,0.038,706211.424,3670.643
156,768.991,0.005,0.034,706212.689,3670.643
157,768.986,0.005,0.033,706213.869,3670.643
158,768.982,0.004,0.034,706214.915,3670.643
159,768.979,0.003,0.03,706215.933,3670.644
160,768.976,0.003,0.027,706216.823,3670.645
161,768.97,0.006,0.023,706217.676,3670.645
162,768.966,0.004,0.02,706218.482,3670.646
163,768.964,0.002,0.019,706219.251,3670.646
164,768.962,0.002,0.019,706219.92,3670.646
165,768.962,0.0,0.017,706220.544,3670.646
166,768.96,0.002,0.018,706221.175,3670.646
167,768.96,0.0,0.014,706221.732,3670.646
168,768.958,0.002,0.012,706222.286,3670.646
169,768.956,0.002,0.011,706222.794,3670.646
170,768.956,0.0,0.01,706223.232,3670.646
171,768.955,0.001,0.01,706223.667,3670.646
172,768.953,0.002,0.009,706224.052,3670.646
173,768.95,0.003,0.008,706224.415,3670.646
174,768.95,0.0,0.008,706224.778,3670.646
175,768.95,0.0,0.01,706225.096,3670.646
176,768.949,0.001,0.009,706225.367,3670.646
177,768.947,0.002,0.01,706225.634,3670.646
178,768.947,0.0,0.009,706225.925,3670.646
179,768.947,0.0,0.008,706226.174,3670.646
180,768.944,0.003,0.006,706226.424,3670.646
181,768.943,0.001,0.002,706226.605,3670.647
182,768.943,0.0,0.004,706226.785,3670.647
183,768.943,0.0,0.004,706226.953,3670.647
184,768.943,0.0,0.005,706227.106,3670.647
185,768.942,0.001,0.005,706227.282,3670.647
186,768.941,0.001,0.005,706227.449,3670.647
187,768.941,0.0,0.005,706227.589,3670.647
188,768.941,0.0,0.004,706227.715,3670.647
189,768.941,0.0,0.004,706227.839,3670.647
190,768.94,0.001,0.003,706227.946,3670.647
191,768.939,0.001,0.004,706228.057,3670.647
192,768.939,0.0,0.004,706228.159,3670.647
193,768.939,0.0,0.003,706228.249,3670.647
194,768.939,0.0,0.003,706228.326,3670.647
195,768.939,0.0,0.003,706228.415,3670.647
196,768.939,0.0,0.003,706228.497,3670.647
197,768.939,0.0,0.003,706228.558,3670.647
198,768.939,0.0,0.002,706228.619,3670.647
