 day, S, E, H, R, D
0,637767.064,378.078,0.0,0.0,0.0
1,637058.809,842.519,0.0,0.878,0.0
2,636035.986,1494.999,0.0,3.073,0.0
3,634555.601,2428.234,0.0,7.317,0.0
4,632417.273,3764.766,0.0,14.488,0.0
5,629358.397,5659.083,0.031,25.999,0.0
6,624985.43,8352.371,0.189,44.51,0.0
7,618772.929,12154.221,0.629,74.197,0.0
8,609996.063,17484.617,1.712,121.313,0.003
9,597680.751,24907.1,3.817,193.318,0.005
10,580552.129,35126.952,7.434,303.718,0.009
11,557019.171,48973.204,13.174,469.258,0.023
12,525222.585,67312.372,22.027,713.077,0.052
13,483213.249,90881.775,35.667,1068.749,0.102
14,429492.811,119759.902,55.636,1580.785,0.171
15,363751.499,152810.423,84.903,2310.736,0.301
16,288163.064,186734.752,126.474,3329.229,0.533
17,208301.303,215693.612,183.375,4733.222,0.885
18,133125.025,232112.725,260.894,6646.099,1.405
19,72432.691,229602.726,364.363,9198.505,2.282
20,32203.183,207339.686,494.556,12541.082,3.798
21,11302.667,171800.097,651.656,16839.704,6.392
22,3103.813,133242.036,829.344,22284.909,10.547
23,2591.112,97485.262,1011.745,29092.532,17.155
24,2139.369,71406.728,1177.366,37521.199,27.316
25,1757.105,52355.035,1305.466,47817.857,41.841
26,1441.298,38418.428,1384.489,60206.867,61.324
27,1183.909,28217.468,1423.688,74806.939,85.775
28,975.924,20742.256,1439.557,91620.255,115.363
29,808.955,15262.57,1443.783,110507.93,149.348
30,675.104,11245.426,1441.362,131239.264,187.575
31,568.02,8293.189,1432.01,153510.558,229.389
32,482.308,6122.376,1420.019,176933.543,274.007
33,412.999,4525.932,1404.135,201097.614,319.688
34,356.634,3350.717,1387.19,225607.26,366.578
35,310.869,2484.323,1366.352,250119.429,413.528
36,273.38,1845.58,1347.562,274318.254,460.313
37,242.773,1373.414,1325.449,297947.306,505.778
38,217.132,1025.13,1306.813,320791.668,550.447
39,196.181,767.153,1283.643,342724.588,593.028
40,178.415,576.067,1263.474,363615.502,633.976
41,163.388,433.655,1239.084,383410.782,673.125
42,150.739,328.274,1220.388,402067.363,709.672
43,139.811,250.113,1196.463,419577.705,743.991
44,130.48,191.338,1176.786,435961.824,775.951
45,122.35,147.921,1153.416,451238.325,805.888
46,115.524,114.127,1134.355,465456.076,833.554
47,109.541,88.968,1112.856,478665.89,860.089
48,104.187,69.881,1094.059,490917.854,884.175
49,99.516,55.38,1075.186,502259.531,906.434
50,95.411,44.313,1055.933,512760.931,927.035
51,91.645,35.949,1037.881,522460.235,945.828
52,88.423,29.482,1019.79,531417.57,963.932
53,85.558,24.3,1001.443,539691.974,980.233
54,83.052,20.382,984.469,547320.939,995.207
55,80.822,17.129,966.914,554358.99,1009.177
56,78.746,14.64,949.891,560847.297,1021.899
57,76.926,12.408,932.676,566826.507,1033.969
58,75.317,10.667,915.518,572334.637,1044.893
59,73.793,9.342,898.06,577418.42,1054.98
60,72.54,8.103,881.42,582101.342,1064.266
61,71.335,7.185,864.292,586410.925,1072.978
62,70.189,6.345,847.981,590378.336,1080.92
63,69.211,5.649,831.79,594030.445,1088.257
64,68.315,5.022,815.267,597399.69,1095.087
65,67.529,4.492,798.996,600503.668,1101.349
66,66.778,3.974,782.857,603361.345,1107.236
67,66.095,3.58,766.216,605989.066,1112.631
68,65.46,3.204,750.135,608413.117,1117.744
69,64.926,2.897,734.082,610648.656,1122.32
70,64.452,2.603,717.224,612705.923,1126.556
71,63.958,2.366,700.657,614600.386,1130.53
72,63.499,2.195,684.763,616349.638,1134.203
73,63.148,1.986,668.411,617955.6,1137.69
74,62.794,1.77,651.129,619438.019,1140.843
75,62.451,1.654,634.299,620802.44,1143.724
76,62.134,1.512,616.881,622060.567,1146.536
77,61.859,1.369,600.283,623219.166,1149.073
78,61.571,1.319,583.587,624289.952,1151.383
79,61.323,1.231,567.215,625275.38,1153.512
80,61.115,1.149,550.974,626181.908,1155.588
81,60.917,1.074,534.491,627017.356,1157.473
82,60.75,0.957,518.11,627786.851,1159.263
83,60.587,0.877,501.766,628498.887,1160.88
