 day, S, E, H, R, D
0,632138.58,0.0,0.0,0.0,0.0
1,630917.152,708.745,0.0,7.624,0.0
2,629076.198,1328.484,0.0,22.232,0.0
3,625055.449,3509.368,0.0,54.125,0.0
4,617727.447,6818.236,0.0,111.115,0.0
5,602010.211,15215.458,3.165,232.027,0.0
6,571146.101,30374.404,13.647,470.484,0.046
7,508720.602,61962.299,37.88,961.154,0.349
8,396116.298,112191.529,85.415,1940.903,1.321
9,223858.682,171936.002,175.554,3905.182,4.216
10,55317.26,168359.597,338.227,7642.671,13.348
11,0.0,55272.407,624.046,14168.372,43.615
12,0.0,0.0,1067.53,23785.399,150.803
13,0.0,0.0,1555.617,35801.533,513.09
14,0.0,0.0,1650.849,51566.47,1543.972
15,0.0,0.0,1588.119,73781.289,3517.272
16,0.0,0.0,1842.37,104398.164,6532.432
17,0.0,0.0,1754.371,142792.54,10706.772
18,0.0,0.0,1702.688,185227.906,15439.753
19,0.0,0.0,1878.194,227936.9,20194.648
20,0.0,0.0,1878.54,268580.013,24785.072
21,0.0,0.0,1902.649,305697.529,28952.37
22,0.0,0.0,1931.612,338808.514,32643.923
23,0.0,0.0,1958.197,367952.06,35861.217
24,0.0,0.0,1973.969,393403.929,38643.418
25,0.0,0.0,2002.561,415559.0,41026.104
26,0.0,0.0,2021.856,434812.089,43071.896
27,0.0,0.0,2051.636,451553.82,44818.345
28,0.0,0.0,2073.366,466112.72,46315.502
29,0.0,0.0,2093.918,478777.164,47592.241
30,0.0,0.0,2110.322,489825.951,48683.233
31,0.0,0.0,2123.636,499458.007,49618.523
32,0.0,0.0,2132.825,507881.519,50417.183
33,0.0,0.0,2137.827,515245.342,51097.082
34,0.0,0.0,2139.588,521698.561,51679.696
35,0.0,0.0,2138.526,527377.194,52180.399
36,0.0,0.0,2132.263,532367.704,52609.075
37,0.0,0.0,2122.727,536766.8,52976.896
38,0.0,0.0,2109.648,540655.145,53293.241
39,0.0,0.0,2092.911,544095.822,53565.335
40,0.0,0.0,2072.623,547145.84,53801.144
41,0.0,0.0,2048.142,549855.273,54004.246
42,0.0,0.0,2020.948,552268.023,54180.022
43,0.0,0.0,1991.139,554423.206,54332.88
44,0.0,0.0,1956.924,556352.424,54467.121
45,0.0,0.0,1920.719,558079.562,54583.724
46,0.0,0.0,1881.168,559634.84,54686.685
47,0.0,0.0,1840.977,561035.696,54777.268
48,0.0,0.0,1797.914,562297.225,54857.337
49,0.0,0.0,1753.296,563440.97,54929.478
50,0.0,0.0,1707.115,564478.64,54993.56
51,0.0,0.0,1660.303,565418.227,55051.501
52,0.0,0.0,1611.184,566274.938,55104.978
53,0.0,0.0,1561.825,567056.82,55152.514
54,0.0,0.0,1512.213,567770.115,55195.799
55,0.0,0.0,1462.44,568423.363,55235.928
56,0.0,0.0,1413.085,569022.46,55272.848
57,0.0,0.0,1363.818,569573.221,55307.137
58,0.0,0.0,1314.462,570078.376,55338.838
59,0.0,0.0,1265.83,570543.984,55368.571
60,0.0,0.0,1218.187,570972.908,55396.131
61,0.0,0.0,1171.558,571370.2,55421.984
62,0.0,0.0,1125.519,571736.385,55446.36
63,0.0,0.0,1080.538,572073.73,55469.625
64,0.0,0.0,1036.582,572387.637,55491.383
65,0.0,0.0,993.715,572678.58,55511.845
66,0.0,0.0,951.738,572948.824,55531.537
67,0.0,0.0,911.232,573199.798,55549.982
68,0.0,0.0,872.02,573432.845,55567.705
69,0.0,0.0,834.042,573649.087,55584.23
70,0.0,0.0,797.198,573851.002,55599.955
71,0.0,0.0,761.852,574037.944,55615.072
72,0.0,0.0,727.789,574212.285,55629.299
73,0.0,0.0,695.001,574374.754,55642.927
74,0.0,0.0,663.655,574526.705,55655.661
75,0.0,0.0,633.565,574668.445,55667.712
76,0.0,0.0,604.269,574801.05,55679.57
77,0.0,0.0,576.479,574924.927,55690.66
78,0.0,0.0,550.01,575040.402,55701.262
79,0.0,0.0,524.431,575148.258,55711.162
80,0.0,0.0,499.631,575249.394,55720.887
81,0.0,0.0,476.577,575343.397,55729.716
82,0.0,0.0,454.318,575430.977,55738.343
83,0.0,0.0,433.232,575513.021,55746.616
84,0.0,0.0,412.904,575589.803,55754.45
85,0.0,0.0,393.443,575661.578,55762.1
86,0.0,0.0,374.984,575728.697,55769.259
87,0.0,0.0,357.267,575791.907,55776.064
88,0.0,0.0,340.223,575850.768,55782.588
89,0.0,0.0,324.319,575905.64,55788.705
90,0.0,0.0,309.061,575957.612,55794.541
91,0.0,0.0,294.277,576006.466,55800.209
92,0.0,0.0,280.491,576051.806,55805.383
93,0.0,0.0,267.077,576094.615,55810.545
94,0.0,0.0,254.229,576134.413,55815.488
95,0.0,0.0,242.119,576171.961,55820.004
96,0.0,0.0,230.542,576206.92,55824.35
97,0.0,0.0,219.616,576239.447,55828.488
98,0.0,0.0,209.247,576270.125,55832.495
99,0.0,0.0,199.339,576299.167,55836.253
