 day, S, E, H, R, D
0,1266175.38,343.066,0.0,0.0,0.0
1,1265090.731,1049.575,0.0,8.849,0.0
2,1263240.124,2234.88,0.0,31.499,0.0
3,1259993.523,4329.438,0.0,77.824,0.0
4,1254288.194,8027.995,0.0,165.267,0.0
5,1244230.783,14561.63,1.039,329.92,0.0
6,1226462.404,26134.997,4.351,631.011,0.0
7,1195227.289,46445.907,10.69,1171.886,0.0
8,1140940.746,81495.631,22.221,2129.781,0.002
9,1048780.198,140078.855,42.589,3822.644,0.013
10,899319.781,232008.476,77.948,6791.644,0.03
11,676749.638,359433.421,139.726,11956.898,0.071
12,394116.967,494801.339,245.366,20769.408,0.157
13,130222.176,556053.8,422.006,35263.204,0.379
14,1703.875,456909.612,703.418,57673.448,0.991
15,0.007,271568.934,1111.146,89347.451,2.583
16,0.003,160382.861,1607.549,129581.964,6.674
17,0.0,94734.117,2031.804,177000.559,15.866
18,0.0,55959.097,2189.117,231459.148,33.265
19,0.0,33042.569,2178.195,291879.386,57.617
20,0.0,19516.065,2201.426,355038.746,85.868
21,0.0,11529.325,2187.465,417243.777,114.635
22,0.0,6810.463,2193.298,476481.213,141.51
23,0.0,4022.307,2178.585,531911.4,166.278
24,0.0,2376.549,2174.467,583237.101,188.395
25,0.0,1403.944,2162.393,630485.98,207.922
26,0.0,829.27,2151.02,673868.551,225.442
27,0.0,490.55,2139.241,713675.508,240.079
28,0.0,290.256,2125.58,750213.919,253.065
29,0.0,171.497,2110.329,783785.41,264.098
30,0.0,101.531,2094.745,814660.069,273.623
31,0.0,60.752,2077.887,843116.564,281.907
32,0.0,36.154,2059.773,869368.826,288.982
33,0.0,21.349,2039.794,893638.529,295.327
34,0.0,12.645,2018.969,916119.015,300.662
35,0.0,7.583,1996.945,936977.054,305.253
36,0.0,4.472,1973.29,956351.662,309.227
37,0.0,2.593,1948.131,974383.738,312.794
38,0.0,1.541,1922.415,991187.892,315.732
39,0.0,0.944,1893.893,1006884.544,318.391
40,0.0,0.596,1864.834,1021548.808,320.656
41,0.0,0.363,1834.22,1035267.618,322.711
42,0.0,0.222,1802.243,1048119.068,324.499
43,0.0,0.155,1769.607,1060174.612,326.086
44,0.0,0.099,1736.068,1071494.994,327.417
45,0.0,0.058,1701.456,1082132.922,328.638
46,0.0,0.034,1665.812,1092134.584,329.665
