Susceptible,Exposed,Hospitalised,Death,Recovered
632282,325,0,0,0
631879,652,0,0,1
631445,1010,0,0,12
630968,1351,0,0,35
630418,1737,0,0,63
629803,2157,0,0,107
629094,2670,0,0,153
628290,3213,2,0,210
627360,3855,3,0,287
626228,4608,3,1,394
625025,5375,7,1,492
623561,6341,17,2,629
621887,7431,22,2,814
619959,8748,33,3,1013
617640,10352,45,4,1253
614995,12071,52,7,1529
611898,14087,54,14,1852
608243,16495,70,17,2251
603844,19454,89,27,2689
598625,22919,100,36,3213
592699,26870,133,46,3807
585610,31608,155,60,4609
577566,36915,165,72,5442
571410,39875,220,88,6425
564236,43669,239,120,7686
556189,47916,279,143,9026
547284,52754,321,177,10627
537913,57515,390,213,12376
527746,62662,430,272,14402
516945,67971,500,338,16549
505607,73466,526,401,19010
493770,78875,574,502,21863
481544,84280,628,609,24928
468728,89786,704,718,28352
455456,95193,777,854,32067
441810,100626,831,1037,36148
427857,105851,890,1235,40479
413447,111260,939,1452,45242
398908,116229,981,1694,50301
384192,121044,1018,1928,55632
369549,125174,1026,2263,61747
354740,129252,1043,2547,67884
340088,132935,1089,2885,74682
325605,135888,1123,3249,81753
311317,138595,1192,3622,89045
297514,140397,1221,4056,96787
283724,141970,1252,4460,104913
270374,143104,1287,4955,113300
257599,143609,1342,5481,122067
245077,143594,1382,6044,131128
233291,142916,1391,6622,140471
221978,141842,1409,7205,150210
211120,140530,1438,7837,160130
200730,138786,1461,8533,170246
190738,136855,1476,9200,180460
181541,134315,1516,9818,190930
172857,131451,1583,10545,201356
164719,128265,1545,11311,212107
157079,124942,1560,12014,222677
149735,121578,1668,12755,233451
142891,117917,1698,13538,244212
136679,113934,1713,14307,254925
130886,110096,1708,15123,265418
125459,106122,1750,15908,276011
120550,101925,1747,16744,286393
115861,97797,1787,17481,296572
111466,93784,1814,18283,306679
107323,89858,1836,19024,316662
103564,86010,1878,19812,326233
100082,82060,1870,20576,335685
96847,78248,1897,21305,344894
93720,74830,1898,22020,353937
90824,71328,1868,22727,362794
88241,67793,1842,23425,371180
85854,64272,1899,24057,379408
83703,60791,1890,24740,387308
81773,57481,1849,25404,395087
79887,54391,1870,26103,402426
78212,51267,1843,26706,409392
76545,48529,1787,27335,416135
75056,45839,1774,27870,422572
73673,43257,1736,28410,428707
72320,40830,1761,28951,434643
71169,38365,1800,29454,440380
70065,36240,1789,29948,445838
69025,34179,1765,30404,450869
68079,32131,1765,30855,455935
67211,30277,1645,31301,460566
66426,28516,1647,31683,464949
65647,26831,1682,32045,469176
64922,25295,1613,32445,473173
64286,23819,1578,32814,476808
63671,22417,1619,33139,480365
63066,21104,1591,33467,483678
62526,19801,1545,33757,486958
62019,18628,1496,34075,490042
61570,17474,1427,34356,492868
61128,16435,1342,34638,495524
60728,15402,1322,34883,498058
60356,14477,1341,35104,500481
60003,13506,1325,35292,502789
59665,12769,1288,35487,504968
59365,11970,1235,35696,507080
59102,11210,1212,35860,508968
58839,10505,1210,36055,510741
58607,9842,1090,36247,512396
58352,9267,1115,36377,513990
58123,8709,1093,36559,515523
57914,8133,1036,36687,516973
57725,7647,975,36826,518259
57546,7221,933,36951,519525
57373,6750,903,37061,520726
57210,6346,863,37184,521846
57083,5900,824,37288,522886
56959,5559,757,37376,523871
56822,5212,722,37473,524775
56704,4883,735,37561,525637
56598,4614,680,37650,526472
56498,4311,628,37734,527230
56417,4014,610,37796,527952
56341,3739,603,37858,528605
56265,3496,570,37933,529228
56183,3261,526,38000,529832
56115,3024,511,38063,530366
56050,2839,465,38127,530879
55990,2650,477,38169,531371
55944,2438,440,38223,531817
55896,2273,397,38266,532263
55853,2136,402,38307,532674
55811,2024,357,38352,533042
55764,1908,361,38381,533373
55732,1774,333,38424,533691
55685,1674,303,38462,533985
55645,1560,285,38499,534236
55602,1472,268,38535,534534
55559,1360,244,38564,534794
55526,1269,247,38584,535059
55502,1190,247,38603,535316
55480,1096,232,38630,535533
55453,1032,212,38665,535730
55433,959,203,38682,535907
55415,898,178,38702,536070
55396,857,165,38721,536234
55389,769,160,38738,536381
55378,692,148,38753,536528
55365,643,137,38770,536651
55354,607,127,38789,536782
55343,571,119,38801,536897
55328,541,109,38811,537008
55317,509,102,38825,537120
55309,474,98,38840,537193
55295,442,95,38848,537279
55288,411,100,38853,537345
55279,379,98,38862,537430
55269,353,97,38872,537485
55260,332,93,38881,537553
55256,305,94,38887,537614
55249,282,72,38902,537675
55239,276,68,38910,537722
55232,255,58,38919,537776
55227,234,61,38928,537820
55224,220,58,38933,537863
55219,207,56,38938,537909
55215,191,35,38955,537947
55211,176,35,38959,537989
55211,160,33,38960,538024
55207,149,21,38968,538052
55206,135,18,38970,538081
55205,130,22,38971,538106
55198,115,24,38973,538131
55194,109,25,38974,538153
55190,102,29,38976,538175
55186,99,23,38978,538198
55183,92,24,38979,538215
55183,87,21,38981,538234
55181,80,20,38982,538252
55180,74,22,38983,538265
55178,70,15,38988,538278
55176,64,15,38991,538290
55175,55,11,38992,538305
55175,46,12,38992,538317
55175,45,9,38994,538327
55174,43,9,38996,538340
55173,40,9,38997,538357
55171,39,8,38998,538365
55170,36,8,38998,538372
55169,35,10,38999,538376
55169,35,9,38999,538385
55169,34,7,39001,538386
55169,33,4,39002,538397
55169,31,5,39003,538401
55168,31,5,39004,538405
55168,28,5,39004,538409
55168,20,4,39006,538415
55167,18,4,39006,538421
55167,18,2,39006,538427
55165,20,3,39006,538431
55165,16,1,39007,538443
55165,15,1,39007,538446
