Susceptible,Exposed,Hospitalised,Death,Recovered
632336,296,0,0,0
631912,667,0,0,0
631494,1005,0,0,8
631051,1335,0,0,19
630499,1748,0,0,45
629870,2176,0,0,77
629182,2643,0,0,123
628355,3187,0,0,191
627456,3805,0,0,281
626409,4503,4,0,362
625201,5324,8,0,462
623789,6238,10,0,620
622181,7273,21,1,782
620211,8571,21,4,953
617969,10044,29,10,1201
615367,11785,45,16,1457
612378,13724,53,18,1794
608745,16058,68,23,2231
604487,18824,77,34,2680
599519,22111,97,37,3226
593646,26057,96,47,3856
586610,30722,107,65,4568
578353,36350,148,79,5473
572396,39155,189,89,6449
565376,42795,222,112,7690
557556,46913,299,143,9041
548947,51523,317,177,10564
539636,56273,378,219,12380
529515,61600,392,287,14332
519038,66868,460,344,16516
508020,72105,525,394,18974
496331,77532,592,456,21741
484198,82997,645,567,24789
471500,88402,673,693,28097
458327,94016,720,814,31607
444785,99295,782,971,35512
430879,104589,842,1158,39930
416328,110259,885,1349,44632
401966,114845,912,1592,49702
387482,119422,931,1821,55249
372801,123582,972,2080,61098
358355,127408,1040,2385,67296
343821,131070,1122,2697,73757
329348,134059,1148,3074,80661
314977,136802,1199,3496,88062
300869,139184,1263,3892,95655
287135,140897,1338,4301,103785
273840,142282,1379,4812,112163
260798,143035,1406,5306,120941
248121,143573,1421,5905,129887
236165,143143,1471,6488,139180
224749,142318,1472,7103,148728
213683,141140,1473,7776,158583
203159,139549,1534,8430,168542
193279,137300,1523,9130,178883
183954,134893,1555,9841,188990
175154,132136,1577,10583,199303
166989,128866,1632,11276,209811
159177,125459,1623,11991,220336
151914,121929,1635,12731,231162
145004,118345,1703,13511,241770
138609,114464,1704,14291,252236
132775,110656,1651,15056,263021
127172,106606,1742,15835,273491
121946,102628,1740,16715,283841
117038,98752,1825,17494,293988
112481,94788,1819,18265,303775
108374,90780,1831,19071,313846
104532,86844,1758,19885,323518
100934,82899,1727,20690,333247
97600,79112,1786,21453,342372
94576,75287,1793,22183,351367
91711,71683,1807,22891,360129
89049,68116,1773,23578,368824
86572,64687,1716,24283,377113
84369,61269,1787,24995,384954
82309,58060,1779,25674,392654
80344,54925,1775,26292,400014
78537,52013,1795,26932,407057
76874,49189,1864,27506,413946
75385,46370,1862,28103,420566
73967,43764,1828,28656,426865
72679,41425,1825,29193,432992
71401,39171,1788,29737,438822
70278,36866,1760,30226,444259
69226,34698,1791,30710,449449
68207,32802,1747,31162,454306
67321,30779,1705,31583,459014
66457,29009,1670,31979,463675
65681,27261,1622,32378,467938
64968,25649,1657,32712,471786
64306,24120,1589,33049,475538
63613,22761,1554,33407,479180
62990,21453,1573,33733,482608
62404,20092,1537,34044,485939
61879,18858,1553,34343,489047
61407,17639,1515,34639,491847
61012,16466,1448,34884,494645
60608,15415,1426,35126,497325
60227,14491,1374,35353,499783
59864,13645,1351,35569,502215
59537,12833,1319,35785,504425
59231,12066,1310,35977,506470
58931,11351,1276,36151,508489
58640,10688,1220,36330,510295
58405,10020,1129,36502,512049
58184,9397,1101,36678,513668
57970,8814,1078,36819,515302
57784,8242,1044,36965,516725
57592,7683,979,37125,518078
57422,7212,954,37263,519361
57232,6762,926,37385,520454
57100,6295,838,37534,521521
56943,5915,768,37657,522616
56797,5563,774,37743,523590
56667,5217,768,37830,524462
56566,4845,703,37924,525297
56469,4529,692,38001,526095
56353,4272,683,38084,526930
56236,4028,656,38152,527716
56158,3794,640,38227,528375
56089,3552,602,38291,528987
56004,3343,577,38351,529515
55922,3135,530,38410,530055
55860,2936,524,38474,530544
55801,2759,512,38535,531024
55741,2596,491,38589,531515
55692,2407,436,38631,531919
55637,2257,419,38678,532306
55588,2138,378,38720,532715
55542,1983,359,38771,533054
55510,1849,337,38810,533398
55476,1709,320,38844,533672
55443,1606,293,38873,533983
55405,1493,300,38891,534287
55379,1387,295,38915,534563
55352,1290,255,38946,534819
55322,1210,221,38973,535052
55291,1144,193,39000,535270
55268,1079,185,39016,535487
55245,991,198,39032,535661
55224,920,176,39054,535838
55207,855,184,39069,536006
55186,815,163,39086,536180
55166,765,168,39102,536320
55145,713,169,39112,536442
55132,673,161,39132,536573
55117,630,150,39145,536682
55112,577,127,39158,536815
55095,533,130,39168,536913
55084,506,119,39181,537005
55072,478,114,39188,537108
55059,451,113,39195,537187
55046,422,105,39204,537277
55036,399,102,39212,537368
55032,353,85,39228,537412
55017,334,80,39234,537484
55006,322,73,39242,537542
54999,296,67,39246,537592
54992,287,62,39255,537638
54988,254,62,39260,537691
54983,236,49,39268,537734
54976,223,49,39271,537768
54974,205,49,39277,537810
54971,188,50,39282,537845
54969,169,50,39287,537891
54964,162,49,39289,537917
54963,145,40,39297,537939
54960,134,39,39301,537963
54956,128,38,39304,537990
54954,117,28,39308,538017
54948,115,36,39309,538040
54943,108,38,39313,538057
54940,105,36,39315,538070
54937,100,33,39317,538098
54937,89,34,39320,538116
54935,83,31,39324,538136
54933,76,25,39324,538155
54933,72,23,39326,538179
54932,68,24,39329,538190
54932,64,24,39330,538206
54931,60,25,39334,538220
54930,56,21,39338,538236
54929,51,17,39340,538245
54926,52,15,39341,538257
54924,51,13,39343,538260
54923,50,10,39344,538267
54922,48,10,39345,538269
54922,45,11,39345,538278
54921,41,11,39345,538287
54920,37,12,39345,538293
54920,35,11,39347,538297
54918,35,11,39347,538308
54918,34,10,39347,538312
54917,33,8,39347,538318
54917,30,5,39350,538325
54917,28,5,39350,538327
54917,27,5,39350,538332
54916,26,5,39350,538334
