Susceptible,Exposed,Hospitalised,Death,Recovered
632261,351,0,0,0
631864,691,0,0,7
631440,1016,0,0,14
630938,1391,0,0,30
630424,1754,0,0,60
629812,2178,0,0,106
629084,2661,0,0,151
628313,3157,0,0,214
627391,3756,1,0,279
626296,4495,3,0,369
625053,5318,7,1,493
623615,6300,11,2,634
621965,7396,16,5,793
619977,8722,14,8,988
617621,10327,37,8,1243
614923,12094,55,12,1499
611667,14200,60,18,1841
607916,16695,69,23,2273
603491,19664,91,31,2767
598308,23150,100,44,3338
592111,27321,108,57,3904
585109,31912,125,68,4683
576757,37506,164,80,5591
570650,40378,204,99,6644
563414,44075,224,126,7875
555290,48227,257,168,9339
546446,52854,291,200,10965
536913,57787,358,230,12703
526889,62771,430,274,14768
516021,68229,461,336,17021
504777,73598,524,408,19469
492979,79126,598,503,22262
480375,84996,630,608,25226
467556,90681,739,727,28547
454242,96070,788,888,32342
440441,101614,811,1054,36462
426109,107160,863,1242,40772
411566,112508,943,1452,45570
396891,117460,1024,1681,50691
382043,122224,1067,1929,56355
367469,126312,1097,2233,62242
352498,130284,1141,2588,68458
337946,133607,1157,2964,75143
323231,136758,1202,3316,82242
309102,139143,1239,3718,89801
295281,141031,1303,4123,97755
281701,142541,1335,4571,105971
268413,143401,1356,5049,114412
255558,144108,1315,5569,123067
243017,144339,1347,6146,131985
231264,143638,1423,6755,141560
220014,142552,1423,7386,151249
209327,140916,1456,7993,161220
199056,139012,1470,8690,171319
189254,136807,1444,9413,181690
180158,133930,1494,10086,192260
171504,131161,1565,10760,203018
163315,128080,1547,11511,213446
155827,124634,1604,12292,223941
148643,121163,1612,13084,234793
142045,117330,1702,13835,245641
135699,113589,1679,14642,256247
129998,109627,1680,15389,266986
124506,105740,1680,16210,277280
119399,101644,1695,16984,287675
114725,97614,1714,17799,297772
110382,93583,1699,18571,307591
106380,89505,1725,19368,317590
102658,85455,1773,20094,327298
99256,81512,1834,20865,336408
96020,77703,1871,21616,345645
93073,73946,1807,22375,354582
90233,70439,1779,23104,363476
87711,66918,1850,23786,371746
85404,63629,1860,24472,380100
83298,60253,1862,25160,387998
81352,56852,1895,25823,395668
79452,53819,1837,26458,402941
77691,50979,1823,27089,410071
76083,48219,1787,27680,416850
74611,45484,1803,28276,423245
73220,42873,1762,28849,429317
71920,40453,1798,29379,435147
70742,38159,1766,29894,440812
69605,35998,1742,30382,446121
68585,33892,1701,30866,451315
67600,31923,1688,31313,456186
66709,30110,1663,31753,460861
65913,28372,1675,32151,465323
65163,26694,1681,32529,469525
64430,25130,1650,32909,473409
63766,23648,1591,33260,477311
63150,22224,1566,33609,480908
62660,20800,1515,33975,484273
62115,19557,1492,34276,487333
61664,18277,1438,34593,490442
61173,17216,1404,34880,493472
60723,16196,1427,35106,496210
60312,15209,1324,35349,498738
59924,14314,1281,35620,501179
59580,13471,1238,35844,503442
59252,12580,1184,36063,505553
58956,11813,1161,36262,507517
58690,11070,1139,36440,509361
58409,10386,1122,36602,511096
58171,9677,1102,36744,512718
57954,9055,1087,36887,514322
57759,8470,1017,37036,515781
57557,7940,1040,37168,517091
57365,7431,1000,37310,518465
57205,6977,945,37445,519662
57025,6550,888,37556,520802
56888,6115,829,37692,521900
56745,5719,790,37790,522941
56603,5376,776,37899,523883
56479,5044,730,37997,524769
56374,4706,707,38081,525625
56226,4436,699,38141,526375
56129,4171,677,38234,527147
56035,3881,654,38311,527840
55939,3630,623,38395,528487
55860,3385,578,38470,529099
55776,3175,539,38547,529694
55713,2940,527,38603,530274
55644,2719,477,38664,530761
55578,2540,467,38710,531258
55535,2394,443,38768,531695
55483,2239,429,38820,532089
55441,2080,383,38876,532517
55403,1950,362,38924,532883
55356,1812,357,38956,533201
55318,1693,338,38995,533537
55279,1585,319,39034,533865
55240,1485,301,39066,534147
55217,1368,268,39105,534413
55187,1277,261,39127,534704
55171,1178,245,39146,534980
55144,1114,230,39171,535188
55112,1061,229,39190,535416
55093,996,217,39213,535602
55071,936,190,39230,535786
55055,863,183,39244,535955
55034,809,184,39267,536137
55023,748,169,39287,536304
55003,692,156,39307,536453
54986,657,147,39320,536562
54977,603,154,39330,536668
54960,557,143,39343,536784
54946,526,133,39356,536878
54936,489,114,39375,536977
54924,467,97,39391,537073
54915,438,100,39399,537147
54910,402,81,39411,537230
54904,370,73,39419,537308
54898,351,73,39425,537383
54894,334,66,39433,537438
54885,304,53,39443,537506
54878,286,43,39455,537553
54874,265,41,39458,537604
54867,253,46,39464,537640
54864,230,46,39465,537680
54860,217,43,39468,537725
54859,202,39,39472,537766
54856,190,46,39478,537797
54854,177,44,39480,537829
54852,163,44,39485,537863
54851,154,42,39486,537898
54848,148,36,39490,537932
54847,134,33,39491,537966
54845,130,29,39493,537979
54843,117,32,39495,537996
54840,111,27,39497,538021
54839,104,28,39498,538038
54834,101,31,39500,538052
54832,93,26,39504,538069
54831,88,27,39507,538093
54830,80,22,39510,538111
54828,78,18,39512,538126
54828,72,16,39516,538141
54828,67,12,39520,538150
54827,63,10,39520,538164
54826,61,7,39523,538173
54825,56,8,39523,538180
54823,56,7,39523,538189
54822,50,9,39523,538195
54820,49,7,39523,538200
54817,51,8,39524,538209
54816,46,7,39525,538211
54815,41,4,39526,538214
54814,40,6,39527,538219
54814,34,9,39527,538226
54813,31,8,39528,538231
54813,31,8,39528,538233
54813,30,7,39528,538237
54813,28,4,39529,538240
54813,26,4,39529,538244
54813,25,3,39529,538250
54812,21,6,39529,538254
54812,20,6,39529,538256
