Susceptible,Exposed,Hospitalised,Death,Recovered
632285,337,0,0,0
631889,650,0,0,1
631446,999,0,0,10
630933,1393,0,0,32
630381,1779,0,0,57
629760,2194,1,0,105
629009,2711,1,0,153
628225,3227,0,0,208
627338,3818,1,0,273
626204,4638,5,0,360
624966,5454,5,0,492
623580,6373,10,0,641
621890,7453,23,0,787
619954,8697,31,2,987
617615,10273,39,5,1222
614948,12035,44,10,1522
611768,14098,56,12,1870
608029,16589,75,16,2289
603543,19553,95,22,2749
598262,23143,106,39,3269
592166,27252,111,48,3906
585014,32077,150,58,4618
576757,37632,164,84,5506
570525,40674,217,107,6440
563355,44287,247,129,7654
555306,48489,277,162,9072
546283,53254,323,207,10706
536683,58192,376,256,12449
526532,63396,442,307,14459
515640,68718,489,384,16805
504289,74186,535,459,19294
492373,79867,573,549,22090
479875,85491,609,650,25135
466853,91356,629,787,28552
453596,96686,738,931,32233
439804,102165,822,1072,36313
425670,107529,856,1280,40667
411185,112562,912,1474,45521
396663,117490,942,1702,50669
381985,122135,984,1978,56165
367345,126303,1061,2225,62261
352608,130053,1090,2526,68752
337983,133426,1133,2855,75294
323439,136540,1188,3219,82523
309404,138710,1228,3618,90052
295593,140719,1256,4077,97880
282029,142144,1294,4528,105986
268785,143127,1317,5034,114510
256018,143615,1319,5571,123325
243827,143679,1381,6104,132289
231963,143042,1439,6673,141762
220435,142422,1485,7249,151442
209573,140898,1493,7902,161456
199360,138832,1542,8540,171579
189686,136501,1524,9240,181722
180387,133869,1625,9961,192051
171715,131307,1658,10687,202627
163493,128360,1647,11483,213437
155808,124880,1650,12326,224218
148464,121454,1685,13047,234889
141717,117813,1695,13824,245368
135553,113764,1711,14619,255930
129669,109840,1715,15440,266537
124307,105761,1693,16247,277028
119266,101676,1740,17070,287300
114752,97489,1696,17846,297536
110387,93526,1703,18659,307536
106324,89567,1791,19416,317465
102567,85584,1806,20168,326855
99039,81676,1784,20971,336311
95748,77864,1777,21707,345575
92821,74150,1878,22427,354459
90097,70552,1851,23205,363336
87581,67026,1831,23924,371949
85265,63645,1844,24686,379886
83125,60461,1878,25357,387845
81105,57194,1857,26038,395500
79217,54093,1885,26673,402923
77476,51137,1843,27303,410060
75897,48278,1864,27885,416829
74368,45728,1885,28453,423273
73034,43198,1892,29007,429341
71772,40698,1831,29545,435427
70587,38403,1803,30055,441234
69491,36079,1749,30580,446453
68394,34046,1725,31037,451474
67425,32095,1666,31461,456191
66521,30323,1681,31861,460731
65703,28576,1660,32300,465155
64915,26983,1608,32678,469471
64194,25432,1631,33029,473594
63533,23882,1611,33366,477269
62893,22504,1583,33732,480801
62312,21198,1545,34075,484163
61758,19913,1523,34384,487370
61279,18699,1475,34682,490387
60823,17505,1474,34930,493225
60414,16380,1404,35173,495910
60005,15334,1349,35388,498412
59609,14480,1316,35625,500886
59253,13594,1309,35840,503121
58943,12769,1264,36060,505290
58672,11969,1209,36269,507235
58391,11175,1165,36463,509082
58131,10464,1140,36627,510811
57893,9767,1121,36814,512448
57673,9163,1091,36989,514119
57449,8630,1064,37152,515640
57276,8060,1043,37293,517034
57096,7492,980,37421,518320
56933,7001,949,37546,519575
56776,6510,911,37658,520764
56628,6077,891,37762,521904
56480,5690,862,37873,522880
56347,5338,805,37985,523859
56213,5007,793,38071,524767
56076,4677,772,38143,525647
55979,4335,784,38237,526412
55879,4065,756,38319,527162
55792,3824,678,38410,527954
55706,3619,652,38487,528631
55623,3394,616,38557,529297
55562,3137,599,38612,529821
55499,2942,570,38668,530362
55434,2739,503,38742,530926
55368,2569,471,38805,531407
55317,2387,443,38859,531895
55268,2212,422,38908,532325
55209,2078,409,38946,532740
55161,1937,388,38996,533089
55118,1823,354,39041,533432
55081,1711,345,39076,533771
55048,1598,320,39120,534039
55020,1502,301,39144,534316
54994,1404,274,39185,534579
54968,1304,253,39209,534843
54943,1209,245,39235,535095
54915,1132,235,39254,535297
54882,1073,237,39271,535486
54856,998,231,39295,535664
54846,931,229,39314,535903
54830,865,199,39336,536073
54811,827,195,39350,536227
54796,761,184,39367,536367
54784,706,164,39381,536504
54758,664,156,39401,536642
54752,623,146,39415,536776
54741,577,144,39429,536885
54724,549,129,39441,536986
54717,519,105,39459,537091
54709,476,89,39471,537180
54701,440,76,39482,537242
54693,408,88,39488,537323
54686,378,86,39501,537402
54678,350,81,39509,537484
54671,325,85,39512,537540
54666,321,73,39529,537600
54662,296,70,39535,537642
54658,276,61,39544,537705
54654,258,53,39553,537755
54649,235,49,39559,537796
54646,219,48,39560,537837
54642,204,46,39566,537891
54638,197,44,39570,537925
54635,182,35,39577,537964
54632,172,29,39577,537987
54628,164,28,39578,538024
54622,145,29,39581,538048
54617,138,30,39582,538077
54611,133,34,39584,538104
54608,126,32,39586,538123
54605,120,27,39590,538144
54602,114,26,39592,538166
54601,107,22,39595,538188
54597,103,23,39598,538198
54593,100,20,39601,538211
54593,93,16,39602,538232
54591,88,17,39603,538245
54588,86,20,39605,538254
54586,82,20,39607,538267
54586,76,16,39608,538277
54586,69,18,39610,538288
54585,65,22,39611,538294
54585,58,18,39612,538303
54583,54,15,39612,538315
54580,52,15,39613,538322
54579,51,14,39614,538326
54579,50,12,39615,538334
54578,44,11,39618,538343
54578,40,5,39621,538352
54578,37,8,39621,538356
54578,35,6,39623,538362
54578,32,7,39623,538366
54577,32,8,39623,538375
54577,29,7,39623,538381
54577,26,6,39623,538383
54577,25,7,39624,538387
54577,22,4,39624,538391
54577,21,7,39624,538397
