 day, S, E, H, R, D
0,600817.996,221.707,0.0,0.0,0.0
1,600552.016,445.4,0.0,1.666,0.0
2,600243.128,691.753,0.0,6.21,0.0
3,599868.78,981.51,0.0,14.425,0.0
4,599404.519,1334.686,0.0,28.153,0.0
5,598820.412,1775.887,0.013,47.93,0.0
6,598072.653,2340.203,0.083,76.379,0.0
7,597108.029,3070.606,0.345,115.376,0.001
8,595853.812,4023.991,0.831,167.811,0.009
9,594206.399,5285.519,1.643,237.23,0.025
10,592036.995,6953.02,2.873,329.799,0.075
11,589172.138,9166.295,4.645,450.319,0.168
12,585376.224,12109.771,6.902,608.228,0.27
13,580344.905,16022.54,9.726,813.833,0.451
14,573673.733,21219.523,13.421,1082.883,0.694
15,564855.911,28090.364,18.042,1435.556,1.041
16,553247.105,37129.738,24.279,1899.005,1.516
17,538066.203,48923.235,31.881,2507.283,2.181
18,518436.738,64095.295,42.206,3311.509,3.063
19,493366.688,83330.185,55.317,4366.461,4.231
20,461940.36,107186.075,72.516,5753.896,5.882
21,423539.221,135845.056,93.586,7568.539,8.21
22,378082.887,168967.427,121.249,9935.901,11.345
23,337885.994,193837.445,155.353,12995.113,15.882
24,292903.752,221242.91,197.792,16907.709,22.224
25,246112.186,247962.018,247.46,21767.328,31.451
26,200187.663,271395.191,306.55,27691.14,44.785
27,157468.343,289496.989,372.725,34775.022,63.892
28,119711.352,300995.025,442.863,43102.546,91.109
29,87949.316,305455.205,510.76,52719.886,128.714
30,62516.071,303183.508,573.756,63621.868,178.894
31,43087.535,295114.176,627.541,75732.808,243.597
32,28874.219,282558.593,673.732,88976.029,322.632
33,18882.919,266917.529,713.739,103201.56,417.615
34,12100.833,249491.33,749.561,118292.448,528.69
35,7628.734,231338.937,781.504,134061.7,654.694
36,4752.888,213227.022,811.114,150347.26,795.332
37,2938.557,195703.037,839.884,166981.809,948.865
38,1808.307,179080.844,867.487,183799.732,1114.389
39,1111.98,163536.221,892.284,200677.977,1290.364
40,684.736,149136.875,914.599,217473.503,1475.786
41,424.315,135871.746,935.78,234078.496,1666.261
42,265.213,123707.422,955.135,250415.123,1863.693
43,167.463,112588.865,973.553,266399.138,2064.48
44,106.073,102441.06,989.449,281969.738,2268.588
45,68.324,93186.712,1004.111,297087.597,2474.162
46,44.633,84752.875,1017.357,311708.514,2679.579
47,29.265,77080.808,1028.429,325792.843,2883.743
48,19.583,70097.317,1038.817,339352.444,3087.533
49,13.372,63744.473,1047.877,352369.152,3288.763
50,9.232,57970.605,1056.237,364831.539,3487.572
51,6.433,52714.953,1061.705,376739.655,3682.067
52,4.589,47936.0,1067.762,388106.965,3873.874
53,3.266,43583.528,1072.175,398951.263,4061.616
54,2.425,39631.411,1074.635,409264.78,4244.019
55,1.777,36035.82,1077.06,419088.065,4421.918
56,1.367,32768.02,1078.883,428419.34,4595.854
57,1.051,29797.799,1079.271,437281.94,4764.389
58,0.829,27097.395,1078.532,445677.044,4928.152
59,0.657,24639.505,1076.39,453635.836,5086.21
60,0.534,22405.524,1074.824,461184.213,5239.82
61,0.419,20374.599,1073.161,468318.928,5387.844
62,0.336,18526.573,1070.895,475088.094,5531.104
63,0.265,16845.034,1066.946,481486.707,5669.14
64,0.214,15317.908,1062.409,487531.81,5802.116
65,0.179,13928.114,1057.507,493261.571,5930.451
66,0.14,12665.774,1052.357,498674.066,6053.889
67,0.117,11516.433,1045.607,503784.806,6172.333
68,0.104,10472.657,1038.742,508614.239,6286.824
69,0.094,9523.951,1030.901,513176.909,6396.558
70,0.079,8660.873,1023.813,517484.082,6501.612
71,0.073,7874.869,1015.232,521549.688,6602.421
72,0.065,7160.884,1007.096,525402.247,6699.723
73,0.062,6511.917,997.659,529029.679,6792.911
74,0.056,5922.24,988.015,532460.549,6882.262
75,0.051,5384.704,978.164,535699.2,6967.123
76,0.046,4896.763,967.141,538753.833,7048.904
77,0.041,4452.526,956.641,541639.131,7126.967
78,0.04,4048.418,945.981,544364.228,7202.051
79,0.038,3681.112,935.045,546944.228,7274.244
80,0.036,3346.995,923.786,549379.645,7342.815
81,0.035,3042.666,911.654,551678.244,7408.958
82,0.034,2766.62,899.518,553849.611,7472.365
83,0.029,2515.464,885.867,555892.304,7532.238
84,0.029,2288.015,873.025,557833.16,7590.01
85,0.027,2080.762,861.61,559666.784,7645.087
86,0.027,1891.992,847.7,561394.913,7697.859
87,0.023,1720.899,833.176,563030.089,7748.34
88,0.02,1564.684,819.56,564581.56,7796.474
89,0.018,1423.101,805.621,566042.327,7842.134
90,0.018,1293.917,790.413,567421.545,7885.776
91,0.018,1176.081,776.552,568729.718,7927.693
92,0.018,1069.678,761.889,569960.047,7967.546
93,0.017,972.033,747.562,571130.316,8005.996
94,0.017,883.824,732.706,572234.719,8042.78
95,0.016,804.379,717.985,573283.614,8078.355
96,0.015,731.211,702.832,574270.228,8112.043
97,0.014,665.06,687.356,575207.139,8144.437
98,0.014,604.866,672.626,576095.655,8175.505
99,0.013,549.865,657.66,576934.461,8204.928
100,0.011,499.834,641.445,577728.64,8233.266
101,0.011,454.706,626.321,578480.392,8259.947
