H,D,R
0,0,0
0,0,5
0,0,12
0,0,28
0,0,62
0,0,113
0,0,180
1,0,262
2,0,379
3,0,488
5,1,664
8,1,882
8,1,1144
12,1,1483
9,1,1904
18,1,2436
22,2,3012
32,3,3731
40,4,4643
53,6,5723
69,8,6944
94,10,8531
122,13,10423
148,15,12664
178,22,15389
206,33,18502
257,43,21874
282,54,25654
320,65,29846
340,77,34477
409,89,39499
477,106,45203
518,136,51324
596,158,57946
637,195,64848
669,230,72577
701,255,80658
718,287,89528
792,345,98532
821,400,108161
806,467,118427
808,528,129049
822,603,140110
854,676,151574
873,750,163210
838,832,175444
867,906,187914
841,999,200749
845,1084,213882
862,1196,227296
850,1309,240925
832,1414,254829
841,1527,268959
900,1614,283029
877,1709,297073
897,1827,311205
904,1939,324955
915,2035,338864
900,2143,352646
929,2257,366305
955,2366,379618
920,2485,392558
920,2604,405625
890,2724,418459
904,2821,431151
879,2925,443222
857,3031,455091
906,3121,466709
852,3220,477637
869,3325,488319
844,3430,498640
849,3524,508486
840,3600,518103
859,3682,526978
845,3768,535763
835,3840,543743
801,3926,551627
800,3995,558917
763,4063,565941
759,4125,572761
760,4190,579266
717,4262,585377
726,4310,591100
699,4360,596494
653,4417,601655
677,4464,606533
642,4514,611245
652,4561,615554
640,4601,619617
641,4641,623348
615,4682,627010
577,4720,630332
555,4740,633569
545,4767,636524
539,4793,639218
529,4818,641886
507,4830,644336
457,4858,646679
444,4885,648802
425,4906,650890
424,4919,652751
396,4935,654489
386,4951,656133
379,4964,657690
370,4977,659156
334,4994,660550
340,5002,661768
311,5016,662922
281,5034,664011
276,5047,665020
275,5054,665920
263,5060,666750
258,5072,667590
246,5087,668368
209,5097,669158
198,5100,669852
191,5107,670480
189,5112,671107
186,5117,671665
188,5125,672202
180,5127,672687
179,5130,673094
176,5137,673513
170,5140,673903
168,5144,674266
160,5148,674652
140,5150,674988
140,5155,675301
130,5161,675548
107,5166,675812
99,5168,676069
98,5169,676323
101,5171,676537
90,5172,676748
79,5173,676943
74,5177,677112
72,5180,677285
75,5182,677419
72,5183,677540
61,5187,677662
61,5189,677783
67,5189,677899
61,5190,678008
55,5191,678097
44,5195,678188
38,5196,678281
40,5197,678361
38,5198,678428
33,5198,678497
24,5200,678549
21,5200,678594
14,5200,678653
17,5200,678714
16,5200,678767
16,5200,678805
18,5200,678840
18,5200,678890
15,5200,678940
15,5202,678969
16,5202,679003
15,5202,679037
10,5202,679071
9,5204,679085
8,5205,679110
10,5205,679136
10,5205,679155
5,5205,679178
5,5205,679193
4,5205,679205
4,5205,679227
8,5205,679236
5,5205,679252
3,5205,679265
3,5205,679274
5,5205,679280
6,5205,679291
4,5205,679297
6,5205,679303
7,5205,679311
8,5205,679321
5,5205,679328
3,5205,679335
2,5205,679340
2,5205,679344
1,5205,679347
1,5205,679348
3,5205,679349
3,5206,679355
1,5206,679359
1,5206,679360
2,5206,679363
2,5206,679366
2,5206,679369
2,5206,679373
2,5206,679380
1,5206,679381
1,5206,679383
1,5206,679386
1,5206,679387
