Susceptible,Exposed,Hospitalised,Death,Recovered
710266,370,0,0,0
709810,769,0,0,7
709249,1207,0,0,21
708581,1726,0,0,52
707788,2317,0,0,83
706804,3068,0,0,123
705627,3935,0,0,184
704229,4945,0,0,262
702586,6122,0,0,342
700501,7699,0,0,490
698039,9421,2,0,659
695025,11600,7,0,889
691417,14165,12,0,1141
687165,17178,19,1,1491
681955,20898,22,2,1867
675711,25325,26,2,2377
668382,30363,29,4,2993
659550,36555,38,6,3753
649253,43792,42,8,4676
637078,52209,53,11,5739
622635,62024,66,12,7013
605813,73545,92,13,8610
586744,86146,121,15,10542
577134,88246,152,20,12809
565931,91874,173,23,15608
553438,96454,236,26,18632
539900,101772,254,33,22134
525674,107328,294,46,25919
510438,113326,359,53,30214
494866,119143,379,68,34824
478333,125354,462,77,39882
461603,131304,527,103,45540
444519,137032,583,128,51748
427150,142814,642,157,58395
408963,148580,681,194,65428
390748,153896,716,230,73375
372469,158969,771,269,81643
354328,163528,831,322,90490
336378,167531,803,379,99776
318757,170767,813,424,109349
301494,173284,833,490,119717
284310,175573,833,556,130322
267666,177169,878,645,141269
251891,177682,879,726,152859
236476,177874,894,804,164643
221726,177373,892,883,176830
207702,176069,929,973,189488
194356,174129,858,1070,202310
181718,171854,878,1168,215740
169655,169101,932,1262,229367
158535,165872,879,1365,243128
148067,162173,896,1477,256890
138388,157935,900,1581,270834
129377,153175,888,1684,284671
120964,148275,886,1797,298514
113299,142995,921,1895,312474
106128,137904,918,2010,326269
99571,132653,898,2131,340158
93620,127214,924,2253,353980
87995,121522,881,2384,367537
82855,116195,921,2496,381325
78036,111074,890,2605,394508
73756,105616,903,2717,407497
69833,100512,900,2839,420362
66366,95122,892,2944,432938
63035,90309,909,3070,444913
60054,85486,903,3181,456688
57310,80879,902,3299,467987
54750,76424,901,3389,478810
52441,72057,863,3479,489353
50399,67886,856,3568,499614
48419,63989,832,3663,509622
46671,60155,808,3762,519031
45093,56605,800,3841,528108
43620,53124,765,3932,536766
42157,50114,787,3990,544877
40916,47092,758,4070,552697
39759,44082,754,4143,559930
38748,41311,776,4216,567131
37728,38738,760,4267,573815
36882,36259,737,4316,580144
36076,33993,710,4379,586130
35305,31855,707,4433,591809
34584,29851,671,4505,597281
33943,27839,690,4560,602317
33310,25994,658,4611,607228
32759,24299,624,4666,611943
32262,22733,615,4712,616201
31797,21249,619,4746,620186
31419,19868,635,4787,623897
30984,18570,602,4836,627432
30625,17266,563,4868,630858
30268,16133,534,4891,634054
29950,14990,498,4922,637054
29643,13999,492,4949,639869
29343,13112,467,4986,642508
29088,12233,453,5007,644925
28857,11413,461,5028,647152
28647,10613,450,5053,649258
28475,9842,435,5076,651272
28279,9165,410,5096,653158
28092,8582,416,5119,654904
27950,7995,391,5136,656554
27806,7425,394,5148,658098
27676,6920,375,5162,659568
27555,6436,361,5177,660868
27442,5959,347,5189,662049
27329,5571,320,5210,663252
27219,5214,328,5222,664353
27112,4870,325,5233,665442
27031,4558,299,5247,666371
26951,4237,285,5258,667234
26881,3939,272,5268,668066
26804,3689,250,5279,668816
26742,3422,225,5292,669538
26685,3187,227,5301,670189
26624,2982,215,5308,670849
26554,2805,209,5315,671427
26507,2626,179,5321,672008
26457,2442,179,5328,672506
26408,2281,172,5334,672956
26364,2127,152,5338,673373
26312,1988,156,5341,673823
26279,1845,142,5347,674224
26239,1728,138,5353,674610
26199,1620,121,5357,674913
26172,1524,107,5364,675185
26150,1426,98,5367,675472
26128,1321,87,5370,675729
26108,1231,88,5374,675968
26093,1139,93,5374,676199
26070,1072,93,5375,676443
26047,991,91,5377,676633
26022,940,81,5379,676835
26008,874,78,5380,676979
25996,805,74,5383,677133
25979,750,62,5386,677298
25966,703,60,5388,677445
25957,647,64,5388,677585
25951,594,58,5393,677697
25936,559,58,5394,677819
25925,527,47,5394,677933
25915,491,57,5394,678049
25906,459,45,5395,678147
25901,412,34,5397,678243
25892,378,36,5397,678349
25885,358,38,5398,678421
25880,325,34,5399,678505
25877,297,34,5400,678563
25869,281,31,5400,678622
25863,262,32,5400,678693
25859,247,24,5402,678747
25853,227,27,5402,678791
25848,218,22,5402,678836
25844,203,21,5403,678889
25841,194,20,5403,678920
25840,179,17,5403,678963
25840,164,18,5404,679000
25837,155,17,5404,679035
25836,140,16,5404,679074
25834,130,17,5404,679094
25831,125,17,5404,679120
25829,124,14,5404,679147
25828,116,14,5405,679167
25827,106,17,5406,679189
25825,99,12,5407,679207
25824,96,11,5407,679227
25824,87,10,5407,679242
25823,81,10,5407,679250
25820,77,10,5407,679268
25818,73,11,5407,679273
25817,71,9,5409,679283
25816,65,6,5409,679300
25816,59,6,5409,679306
25816,58,4,5409,679313
25816,52,5,5409,679316
25814,49,6,5409,679332
25814,43,3,5409,679341
25813,39,2,5409,679350
25811,41,0,5409,679355
25811,38,1,5409,679356
25811,35,1,5409,679360
25811,32,1,5409,679368
25810,33,1,5409,679369
25810,31,2,5409,679371
25810,29,2,5409,679376
25808,28,1,5409,679381
25808,27,2,5409,679385
25808,26,2,5409,679390
25807,25,2,5410,679400
25807,23,2,5410,679402
25806,21,1,5410,679408
25806,20,1,5410,679410
25806,19,1,5410,679413
25806,18,1,5410,679416
25806,16,1,5410,679416
25806,15,0,5410,679417
25806,11,1,5410,679419
25806,10,1,5410,679421
