Susceptible,Exposed,Hospitalised,Death,Recovered
710291,339,0,0,0
709819,738,0,0,1
709251,1199,0,0,9
708590,1710,0,0,38
707803,2340,0,0,73
706842,3083,0,0,111
705686,3955,0,0,156
704274,4993,0,0,236
702611,6217,3,0,346
700530,7706,5,0,457
697967,9578,4,0,627
695080,11602,7,0,852
691566,14122,11,0,1100
687370,17124,13,0,1428
682364,20654,14,0,1849
676183,24967,15,1,2327
668879,30149,27,1,2923
660250,36151,36,1,3621
649868,43478,52,1,4492
637855,51660,64,2,5555
623446,61592,80,3,6833
606652,73039,90,6,8453
587507,85823,129,9,10294
577975,87994,148,17,12533
566766,91572,178,21,15255
554305,96213,202,23,18348
540931,101273,256,27,21911
526775,106551,311,35,25800
511609,112445,356,47,29966
495877,118572,398,58,34658
479854,124413,424,87,39608
463064,130440,500,108,45120
445731,136629,556,130,51331
428347,142366,588,158,57888
410485,147976,651,186,65034
392623,153076,680,223,72761
374403,158209,732,281,80985
356357,162494,754,338,89724
338423,166440,787,393,99068
320698,170018,813,456,108501
303031,173021,831,514,118504
286065,175024,881,574,129180
269490,176414,866,663,140224
253449,177247,883,740,151639
237944,177515,880,826,163465
223320,176687,923,920,175906
209180,175683,913,1011,188869
195768,173899,904,1088,201768
182978,171499,899,1176,215172
171030,168799,920,1260,228457
159625,165862,910,1376,242121
149114,161992,960,1465,255923
139333,157929,884,1560,269416
130296,153543,901,1676,283621
121811,148794,910,1799,297652
113833,144023,921,1917,311738
106756,138755,897,2011,325678
100199,133352,856,2143,339705
94047,128017,849,2247,353220
88456,122659,867,2363,366891
83413,117267,868,2473,380616
78873,111671,860,2594,393681
74611,106396,840,2702,406593
70619,101218,850,2809,419336
66936,96139,829,2921,431708
63707,91139,843,3039,443659
60550,86411,823,3151,455411
57753,81699,820,3253,466540
55267,77233,850,3332,477535
52863,72987,870,3432,487876
50819,68668,854,3517,498185
48916,64763,866,3605,508091
47162,60795,852,3690,517574
45571,57127,857,3775,526568
44083,53672,846,3862,535330
42666,50518,818,3937,543536
41435,47484,795,4014,551477
40234,44540,784,4070,558967
39121,41870,764,4139,566073
38129,39228,758,4201,572846
37207,36725,782,4266,579261
36402,34437,732,4334,585325
35618,32281,729,4387,590969
34912,30185,721,4441,596569
34245,28305,714,4491,601858
33670,26426,689,4550,606772
33092,24745,657,4589,611206
32564,23093,624,4629,615453
32081,21567,590,4680,619565
31674,20011,575,4718,623422
31249,18726,581,4751,627064
30871,17475,560,4799,630451
30544,16311,567,4830,633777
30220,15249,504,4854,636697
29916,14285,520,4880,639336
29645,13326,480,4909,641927
29399,12380,473,4940,644429
29150,11583,464,4960,646678
28930,10773,435,4982,648773
28700,10072,428,5004,650787
28515,9403,405,5024,652710
28345,8739,392,5040,654521
28182,8089,385,5057,656259
28028,7543,365,5071,657843
27891,7007,351,5092,659313
27771,6498,348,5108,660673
27644,6041,335,5121,661917
27531,5626,329,5133,663042
27433,5272,310,5143,664119
27336,4901,292,5152,665142
27237,4588,283,5158,666148
27149,4242,254,5166,667030
27055,3987,265,5173,667832
26977,3727,238,5181,668589
26899,3488,238,5194,669331
26826,3274,235,5203,669959
26777,3056,219,5215,670617
26725,2855,202,5222,671177
26668,2675,186,5233,671658
26628,2464,190,5237,672143
26595,2293,186,5245,672640
26554,2106,163,5248,673144
26508,1961,162,5252,673535
26476,1804,149,5254,673940
26441,1689,150,5257,674313
26406,1586,140,5260,674650
26383,1488,144,5266,674949
26358,1382,145,5268,675249
26329,1300,135,5274,675556
26307,1222,124,5280,675859
26289,1157,122,5282,676135
26270,1099,103,5286,676369
26242,1024,98,5289,676580
26221,963,89,5292,676767
26210,874,73,5292,676956
26192,806,72,5293,677125
26185,746,66,5297,677287
26177,683,61,5300,677430
26162,648,56,5304,677524
26151,594,62,5309,677640
26139,548,54,5309,677758
26133,499,51,5309,677869
26124,463,46,5310,677977
26109,437,36,5310,678064
26100,399,38,5311,678141
26092,375,34,5313,678234
26088,347,32,5313,678317
26079,330,31,5314,678382
26072,314,40,5314,678448
26065,295,30,5317,678524
26058,275,29,5318,678591
26055,257,26,5319,678643
26047,231,18,5320,678687
26040,221,17,5322,678724
26034,214,14,5323,678765
26031,192,18,5323,678808
26028,173,13,5323,678843
26024,157,13,5323,678872
26018,145,15,5324,678905
26015,136,19,5324,678934
26012,136,15,5324,678958
26008,130,15,5324,678980
26005,122,17,5324,679005
26004,112,18,5324,679023
26003,101,17,5324,679056
26000,99,14,5325,679077
25996,95,14,5325,679088
25995,84,13,5325,679105
25994,75,16,5325,679133
25990,69,16,5326,679144
25990,63,16,5326,679156
25988,58,15,5327,679172
25988,56,14,5328,679186
25986,53,10,5328,679200
25986,49,5,5329,679216
25986,44,4,5329,679225
25986,41,2,5329,679232
25985,39,2,5329,679243
25985,35,1,5329,679246
25985,31,1,5329,679257
25983,31,1,5329,679265
25983,27,0,5329,679271
25983,22,0,5329,679279
25983,22,0,5329,679283
25983,19,0,5329,679291
25982,18,0,5329,679297
25982,17,0,5329,679299
25981,16,1,5329,679312
25981,15,2,5329,679314
25980,13,5,5329,679316
25980,10,7,5329,679321
25979,8,7,5329,679324
25979,8,4,5329,679329
25979,7,3,5329,679332
25979,6,2,5329,679334
25979,6,2,5329,679337
25979,5,1,5329,679341
25979,4,0,5329,679345
25979,3,0,5329,679345
