 day, S, E, H, R, D
0,809937.278,170.358,0.0,0.0,0.0
1,809651.839,411.744,0.0,0.751,0.0
2,809194.521,796.466,0.0,2.844,0.0
3,808460.488,1412.079,0.0,7.24,0.0
4,807289.83,2389.636,0.0,15.167,0.0
5,805424.366,3943.452,0.033,29.029,0.0
6,802458.359,6412.916,0.143,52.975,0.0
7,797759.354,10316.148,0.386,93.257,0.0
8,790349.385,16462.823,0.857,159.83,0.0
9,778715.949,26092.212,1.658,266.896,0.002
10,760573.295,41076.339,2.896,437.995,0.003
11,732597.264,64089.137,4.953,710.056,0.009
12,690168.477,98786.905,8.204,1142.077,0.021
13,627546.607,149506.105,13.548,1824.892,0.044
14,538921.081,220130.26,21.723,2889.912,0.073
15,421724.791,310841.364,34.475,4538.58,0.134
16,282761.688,412403.625,54.729,7044.372,0.225
17,144971.922,500583.146,85.91,10765.657,0.395
18,44086.688,541238.502,132.543,16105.231,0.794
19,2354.297,517861.753,200.629,23426.656,1.531
20,0.0,457915.761,293.35,32949.188,3.061
21,0.0,402840.619,410.288,44682.768,6.034
22,0.0,354381.941,541.369,58501.107,11.573
23,0.0,311749.511,666.098,74308.391,21.349
24,0.0,274256.109,758.073,91920.432,36.155
25,0.0,241272.32,806.197,111033.053,56.215
26,0.0,212241.591,821.821,131288.847,80.284
27,0.0,186707.774,823.083,152348.87,106.622
28,0.0,164250.694,819.605,173950.241,135.031
29,0.0,144487.076,814.821,195863.099,164.481
30,0.0,127109.408,808.919,217889.994,194.392
31,0.0,111818.176,803.288,239885.791,224.868
32,0.0,98370.657,796.325,261711.417,255.567
33,0.0,86536.406,789.576,283270.024,285.982
34,0.0,76131.22,782.946,304468.075,316.038
35,0.0,66972.158,776.07,325237.586,345.536
36,0.0,58914.051,769.059,345506.291,374.172
37,0.0,51828.224,762.639,365247.477,402.474
38,0.0,45591.286,756.204,384426.105,429.644
39,0.0,40108.812,749.829,403020.155,455.988
40,0.0,35280.479,742.718,421001.977,481.41
41,0.0,31034.836,736.238,438375.515,505.501
42,0.0,27298.622,729.693,455120.349,528.794
43,0.0,24011.302,723.633,471242.907,551.387
44,0.0,21122.335,717.671,486738.242,572.901
45,0.0,18580.834,712.016,501631.478,593.408
46,0.0,16346.236,706.153,515920.046,613.112
47,0.0,14381.284,700.263,529622.551,631.784
48,0.0,12650.015,694.38,542748.743,649.747
49,0.0,11128.339,688.506,555317.815,666.69
50,0.0,9789.637,683.037,567334.387,683.008
51,0.0,8612.4,676.814,578818.22,698.688
52,0.0,7577.316,671.16,589802.095,713.363
53,0.0,6666.578,665.663,600288.722,727.193
54,0.0,5864.546,660.118,610302.54,740.345
55,0.0,5159.352,654.841,619846.99,753.117
56,0.0,4539.468,649.132,628956.74,765.001
57,0.0,3993.137,643.763,637646.487,776.119
58,0.0,3513.679,638.256,645930.549,786.618
59,0.0,3092.091,633.015,653823.101,796.698
60,0.0,2719.897,627.252,661341.024,806.069
61,0.0,2393.344,621.69,668505.47,815.002
62,0.0,2104.889,616.186,675330.98,823.443
63,0.0,1851.137,610.661,681826.275,831.551
64,0.0,1628.962,604.964,688014.017,839.027
65,0.0,1432.784,599.101,693899.974,846.07
66,0.0,1261.317,593.464,699505.371,852.965
67,0.0,1109.486,587.407,704839.573,859.304
68,0.0,976.124,581.686,709910.724,865.317
69,0.0,858.471,575.474,714738.537,870.989
70,0.0,755.074,569.387,719330.361,876.433
71,0.0,664.09,563.085,723698.508,881.552
72,0.0,583.774,556.636,727852.284,886.402
73,0.0,513.935,550.204,731804.054,890.972
74,0.0,452.154,543.675,735567.816,895.342
