 day, S, E, H, R, D
0,632293.493,324.925,0.0,0.0,0.0
1,631892.565,660.516,0.0,0.727,0.0
2,631416.139,1039.525,0.0,2.85,0.0
3,630833.215,1490.392,0.0,6.824,0.0
4,630102.101,2045.591,0.0,13.411,0.0
5,629172.998,2746.94,0.15,23.386,0.0
6,627981.383,3642.711,0.929,38.999,0.005
7,626433.421,4809.037,3.19,63.461,0.038
8,624411.617,6338.477,7.362,99.5,0.16
9,621745.565,8367.735,13.986,151.2,0.416
10,618216.758,11068.597,23.77,222.719,0.904
11,613526.56,14671.704,37.149,319.007,1.767
12,607291.393,19479.825,55.619,448.881,3.078
13,598985.123,25899.904,79.872,621.697,5.19
14,587969.888,34419.982,110.426,849.598,8.381
15,573419.403,45666.025,149.575,1151.782,13.02
16,554370.008,60340.463,199.188,1550.201,19.851
17,529779.161,79160.31,261.516,2077.58,30.085
18,498597.026,102783.873,338.635,2773.714,45.091
19,460042.069,131531.975,432.102,3692.579,67.46
20,413930.206,165109.47,543.703,4909.886,101.162
21,361089.446,202225.826,670.936,6510.695,153.169
22,303630.546,240431.624,810.817,8613.282,232.055
23,265463.032,255736.58,953.585,11355.133,352.153
24,226026.144,270848.8,1085.636,14898.424,529.916
25,188157.889,282952.971,1193.817,19382.881,787.788
26,153685.538,290510.3,1268.515,24946.052,1147.399
27,123575.469,292982.5,1314.361,31759.976,1629.318
28,98161.177,290533.647,1343.088,39990.663,2251.548
29,77275.742,283783.795,1367.126,49721.776,3026.479
30,60487.047,273572.292,1389.465,60990.291,3959.969
31,47216.534,260824.501,1413.669,73774.611,5055.222
32,36865.243,246353.174,1441.603,87997.687,6304.814
33,28860.754,230917.743,1470.811,103546.734,7698.307
34,22696.956,215115.541,1505.162,120251.592,9223.35
35,17965.752,199382.218,1539.471,137935.83,10863.062
36,14334.984,184043.849,1580.151,156424.113,12595.604
37,11537.056,169341.021,1621.641,175488.427,14399.446
38,9376.447,155394.043,1667.915,194912.227,16251.261
39,7696.51,142296.712,1712.961,214519.851,18126.453
40,6381.398,130079.168,1754.869,234100.403,20009.033
41,5348.389,118740.64,1797.58,253478.416,21876.421
42,4527.756,108271.592,1837.54,272514.151,23712.899
43,3873.006,98626.969,1880.85,291079.434,25505.971
44,3342.786,89775.657,1919.148,309077.713,27242.26
45,2912.95,81665.547,1961.701,326421.199,28908.973
46,2561.951,74251.858,1997.436,343046.101,30507.527
47,2272.226,67478.501,2035.008,358936.907,32029.148
48,2031.996,61299.285,2067.621,374038.487,33471.796
49,1830.756,55667.335,2099.123,388339.548,34831.751
50,1661.978,50542.654,2127.393,401859.706,36110.123
51,1518.874,45881.333,2154.604,414584.641,37309.168
52,1396.957,41641.456,2178.186,426542.424,38430.14
53,1292.974,37784.684,2200.185,437751.676,39473.28
