 day, S, E, H, R, D
0,710274.522,291.409,0.0,0.0,0.0
1,709745.316,641.829,0.0,10.129,0.0
2,709000.923,1115.277,0.0,34.633,0.0
3,707950.562,1771.093,0.0,77.502,0.0
4,706462.615,2693.554,0.0,144.671,0.0
5,704363.353,3986.488,0.013,246.048,0.0
6,701400.8,5806.535,0.081,393.263,0.0
7,697236.788,8348.578,0.273,605.284,0.0
8,691386.269,11915.804,0.721,909.009,0.001
9,683194.596,16890.25,1.672,1340.125,0.005
10,671791.709,23776.605,3.305,1953.233,0.013
11,656008.293,33246.035,6.058,2818.925,0.033
12,634361.545,46099.483,10.467,4037.892,0.064
13,605064.199,63250.001,17.171,5746.765,0.099
14,566176.658,85514.873,27.315,8126.149,0.192
15,515852.337,113409.353,41.927,11415.319,0.33
16,453050.092,146482.259,63.01,15913.007,0.56
17,378489.281,182675.587,92.929,21972.747,0.969
18,295763.476,217586.552,134.553,29972.87,1.742
19,211812.813,244606.711,190.554,40275.912,3.0
20,136013.206,256416.594,266.05,53119.822,5.38
21,76808.023,248557.669,364.09,68501.155,9.361
22,37745.635,222615.023,485.882,86075.522,16.162
23,26312.52,175842.425,630.008,105161.219,27.957
24,17684.634,138503.103,789.317,124952.925,47.946
25,11665.769,108309.539,950.165,144457.167,80.165
26,7648.418,84011.371,1090.903,163335.461,129.348
27,5036.842,64666.697,1194.598,181660.515,200.205
28,3354.395,49446.569,1254.459,199655.867,296.509
29,2270.495,37600.318,1281.307,217618.308,419.042
30,1564.726,28473.841,1291.33,235814.802,566.058
31,1101.427,21492.689,1295.856,254424.698,737.752
32,793.515,16179.444,1298.069,273583.484,931.706
33,583.969,12159.626,1297.985,293303.708,1145.554
34,438.771,9124.079,1296.637,313517.351,1376.968
35,336.779,6841.926,1293.365,334127.755,1620.669
36,263.292,5128.499,1289.781,354967.986,1873.209
37,210.02,3842.021,1284.619,375827.815,2131.678
38,170.434,2877.046,1279.534,396543.909,2391.796
39,141.146,2154.926,1272.168,416913.406,2651.121
40,118.521,1613.437,1265.709,436775.613,2906.044
41,101.034,1208.814,1257.627,455994.933,3154.671
42,87.29,905.575,1251.134,474449.444,3393.56
43,76.462,679.276,1241.668,492054.468,3623.43
44,67.792,509.957,1234.411,508736.615,3841.987
45,60.865,383.91,1224.688,524460.568,4047.971
46,54.85,290.102,1216.576,539222.279,4241.718
47,50.033,218.816,1206.322,553006.123,4422.751
48,46.138,165.259,1196.785,565828.366,4591.571
49,42.8,125.111,1187.05,577715.108,4749.229
50,39.898,95.326,1176.955,588703.701,4894.759
51,37.455,73.057,1166.963,598825.927,5028.569
52,35.343,56.258,1157.215,608145.229,5151.776
53,33.581,43.441,1146.664,616689.859,5264.828
54,32.109,33.616,1136.132,624519.554,5368.439
55,30.83,26.103,1126.442,631680.492,5463.047
56,29.607,20.409,1115.402,638225.344,5550.477
57,28.575,15.994,1104.948,644199.348,5629.285
58,27.688,12.856,1094.587,649642.874,5701.56
59,26.948,10.162,1083.7,654596.594,5768.035
60,26.232,8.258,1072.438,659105.903,5828.239
61,25.606,6.702,1061.175,663210.302,5883.461
62,25.06,5.468,1049.841,666943.745,5933.989
63,24.57,4.5,1038.184,670331.122,5979.877
64,24.173,3.714,1026.824,673408.149,6021.459
65,23.798,3.165,1014.989,676205.417,6059.271
66,23.439,2.704,1003.051,678741.302,6093.586
67,23.17,2.331,991.184,681043.678,6124.959
68,22.92,1.991,979.05,683132.823,6153.453
69,22.662,1.738,966.392,685031.908,6179.518
70,22.473,1.512,953.912,686749.662,6203.342
71,22.276,1.305,941.284,688310.909,6225.209
72,22.126,1.163,927.431,689725.767,6245.186
73,21.954,1.08,913.755,691012.556,6263.202
74,21.819,0.969,900.388,692178.035,6279.977
75,21.688,0.869,886.282,693238.222,6295.425
76,21.562,0.783,872.384,694197.903,6309.36
77,21.457,0.721,858.558,695069.255,6322.152
78,21.368,0.651,843.685,695862.413,6334.178
79,21.285,0.586,828.646,696582.229,6344.998
80,21.206,0.512,813.873,697235.05,6354.869
