Susceptible,Exposed,Hospitalised,Death,Recovered
600730,306,0,0,0
600342,642,0,0,4
599930,962,0,0,10
599463,1301,0,0,22
598941,1700,0,0,56
598322,2145,0,0,82
597622,2613,0,0,125
596797,3174,0,0,180
595847,3807,1,0,250
594680,4602,1,0,325
593396,5438,7,0,458
591844,6521,8,0,569
589948,7806,9,0,738
587719,9317,15,1,957
585127,11089,20,2,1209
582119,13145,28,3,1527
578522,15547,43,4,1865
574235,18428,51,6,2294
569363,21665,60,10,2781
563326,25809,73,15,3365
556493,30304,83,18,4063
548369,35719,87,22,4921
538964,41954,111,28,6010
532189,45142,125,32,7244
524439,48952,149,39,8610
515738,53554,190,45,10231
506038,58703,221,52,12086
495761,63967,252,61,14020
484860,69467,310,79,16224
473367,74845,328,101,18650
461518,80270,406,129,21471
448905,86001,453,163,24708
435777,91655,496,202,28171
422293,97330,555,251,32065
408600,102700,562,301,36283
394490,108056,587,361,40797
379847,113252,617,423,45756
365404,117873,621,515,51067
350763,122241,664,592,56970
336135,126244,721,680,63008
321494,129862,763,766,69641
307121,132920,796,860,76623
292549,136076,825,964,83980
278467,138384,839,1076,91969
264598,140333,898,1203,100238
251160,141752,932,1349,108747
238110,142543,938,1526,117638
225517,142785,954,1699,126795
213404,142647,957,1880,136414
201764,141928,959,2084,146487
190889,140512,1035,2295,156431
180413,138865,1061,2507,166791
170582,136811,1032,2720,177380
161321,134387,998,2966,188084
152430,131594,1042,3187,199148
144296,128500,1064,3409,210394
136532,125176,1088,3636,221514
129492,121366,1110,3864,232606
122780,117641,1127,4110,243838
116651,113629,1146,4372,254775
110797,109781,1165,4627,265786
105538,105441,1137,4871,276723
100566,101448,1132,5131,287703
96041,97178,1139,5394,298442
91764,93132,1150,5661,309107
87837,89005,1132,5905,319285
84310,84897,1121,6156,329259
81049,80876,1123,6402,339479
77949,77131,1138,6640,349270
75116,73270,1070,6901,358707
72517,69661,1093,7124,367879
70110,65854,1068,7335,376525
67906,62354,1086,7541,385203
65780,59093,1090,7753,393442
63781,56014,1086,7964,401403
62036,52879,1056,8152,409238
60443,49935,1069,8349,416613
58962,47089,1073,8536,423718
57566,44396,1091,8716,430456
56284,41887,1090,8892,436997
55009,39578,1071,9070,443117
53922,37213,1047,9225,449211
52921,35000,1027,9377,455010
51984,32908,1005,9511,460408
51125,30913,999,9640,465506
50326,29028,978,9741,470362
49620,27158,1000,9880,474879
48920,25485,971,9993,479320
48301,23977,957,10101,483370
47694,22530,981,10210,487346
47135,21098,968,10312,491033
46633,19813,941,10413,494568
46144,18563,930,10499,497768
45728,17438,919,10580,500913
45332,16395,913,10667,503853
44927,15448,859,10758,506581
44587,14468,857,10814,509116
44305,13503,831,10891,511603
44018,12610,795,10955,513926
43750,11824,780,11005,516232
43509,11007,719,11063,518286
43259,10311,701,11116,520305
43032,9608,676,11171,522133
42830,8957,642,11216,523859
42620,8423,581,11268,525370
42441,7879,579,11305,526864
42280,7399,570,11347,528311
42135,6882,573,11394,529579
41978,6456,544,11435,530811
41832,6034,539,11477,531983
41718,5642,508,11521,533034
41605,5286,476,11559,534041
41495,4920,481,11598,534986
41396,4575,463,11626,535890
41294,4279,439,11652,536796
41198,3989,405,11692,537587
41114,3733,403,11706,538288
41040,3459,375,11734,538964
40974,3228,370,11748,539602
40906,2993,361,11774,540248
40853,2771,353,11800,540851
40787,2633,325,11825,541408
40729,2454,305,11853,541945
40671,2289,287,11864,542407
40621,2125,257,11881,542869
40584,1997,254,11894,543212
40541,1876,241,11906,543590
40492,1757,223,11913,543977
40457,1634,211,11925,544311
40422,1543,190,11934,544619
40383,1442,186,11941,544933
40361,1342,173,11953,545180
40338,1242,159,11960,545436
40319,1171,155,11965,545649
40293,1074,143,11971,545877
40273,994,140,11974,546073
40246,922,136,11979,546266
40222,868,128,11984,546474
40205,805,128,11988,546659
40189,737,115,11993,546819
40174,679,115,11997,546969
40154,636,112,12002,547104
40143,591,106,12009,547212
40129,564,106,12012,547319
40119,529,88,12014,547456
40108,501,73,12022,547561
40094,458,64,12026,547667
40090,423,59,12031,547760
40084,381,61,12031,547821
40077,352,53,12034,547903
40075,322,50,12036,547989
40065,299,41,12039,548063
40058,274,43,12042,548134
40044,270,40,12043,548207
40036,259,42,12045,548255
40028,245,31,12050,548313
40024,229,31,12051,548374
40016,218,32,12053,548417
40012,207,28,12055,548459
40008,194,26,12055,548495
40007,176,24,12056,548534
40005,162,27,12057,548567
40002,146,29,12059,548598
40000,136,31,12059,548632
39997,129,31,12061,548662
39995,124,23,12064,548684
39995,109,24,12066,548711
39994,102,16,12067,548729
39989,102,15,12067,548746
39989,90,10,12068,548763
39986,88,8,12068,548780
39985,81,8,12068,548803
39985,73,7,12068,548819
39984,67,5,12068,548831
39981,65,7,12068,548848
39977,63,10,12068,548856
39977,59,12,12068,548868
39977,56,11,12068,548875
39976,51,8,12068,548886
39973,50,8,12069,548892
39971,44,8,12069,548900
39971,39,8,12069,548907
39970,40,10,12069,548915
39969,39,11,12070,548920
39969,38,6,12071,548930
39969,34,5,12071,548934
39968,33,4,12071,548936
39967,33,4,12071,548941
39967,31,3,12071,548950
39966,29,3,12071,548952
39965,30,2,12071,548957
39965,26,1,12072,548960
39965,25,3,12072,548962
39965,24,4,12072,548964
39965,23,5,12072,548968
39965,21,1,12073,548977
39965,18,1,12073,548980
39965,15,2,12073,548982
39965,13,1,12073,548986
