Susceptible,Exposed,Hospitalised,Death,Recovered
600720,310,0,0,0
600332,636,0,0,4
599949,939,0,0,9
599453,1307,0,0,25
598952,1670,0,0,56
598341,2091,0,0,90
597629,2560,0,0,130
596802,3152,0,0,189
595785,3858,0,0,281
594687,4598,0,0,377
593321,5532,2,0,475
591698,6631,3,0,619
589905,7805,9,0,798
587692,9305,12,0,996
584985,11211,22,2,1233
581853,13406,27,2,1504
578310,15762,38,2,1855
574151,18535,41,4,2302
568969,22158,61,4,2835
563118,26077,79,7,3365
556238,30710,99,12,4089
548035,36181,102,19,4931
538640,42418,117,21,5955
531905,45451,140,28,7142
524169,49282,160,37,8532
515384,53912,178,46,10148
505857,58762,193,60,11938
495806,63754,236,77,13956
484998,68791,271,99,16161
473549,74290,331,122,18684
461487,79940,378,143,21613
449141,85415,405,179,24803
436104,91036,440,221,28172
422392,96972,505,267,32119
408557,102431,532,331,36294
394149,108041,580,410,40916
379578,113193,601,483,45806
365182,117820,628,557,51028
350511,122358,669,645,56702
335765,126579,742,731,62945
320992,130287,732,830,69456
306472,133426,795,932,76505
291900,136606,809,1063,83787
277676,139207,855,1189,91458
263515,141296,903,1325,99592
250006,142596,943,1471,108158
236948,143582,906,1640,117128
224138,143943,917,1796,126331
211996,143604,967,1967,135950
200345,142955,973,2140,145863
189327,141662,997,2325,155993
178836,140070,1008,2515,166540
168911,137799,1020,2697,177181
159851,135025,1060,2914,188109
151227,131960,1014,3136,199168
143072,128682,1081,3360,209912
135523,124991,1084,3600,221200
128471,121332,1116,3828,232567
122041,117182,1150,4067,243741
115831,113202,1092,4321,255022
110059,109049,1126,4566,266256
104750,104851,1115,4799,277377
99837,100792,1144,5069,288375
95321,96735,1119,5309,299055
91195,92499,1192,5570,309717
87193,88455,1180,5802,320228
83637,84337,1156,6029,330659
80297,80396,1164,6277,340648
77301,76464,1174,6490,350358
74444,72729,1145,6729,359875
71853,69095,1127,6929,369083
69489,65519,1110,7157,377999
67304,61963,1099,7390,386534
65227,58669,1137,7590,394756
63386,55355,1132,7774,402513
61587,52410,1078,7984,410214
59947,49503,1104,8161,417657
58475,46712,1093,8330,424686
57115,43982,1070,8528,431567
55818,41550,1077,8710,438034
54669,39119,1101,8836,444316
53578,36728,1055,8991,450214
52554,34635,1068,9130,455934
51609,32568,1102,9274,461417
50715,30648,1055,9416,466545
49889,28899,1026,9562,471369
49138,27168,1017,9702,475834
48491,25518,963,9828,480256
47876,23910,972,9942,484333
47241,22473,1001,10049,488294
46734,21073,952,10147,492003
46219,19797,966,10239,495450
45756,18522,919,10348,498778
45332,17396,903,10436,501932
44903,16346,877,10524,504944
44498,15359,863,10601,507611
44186,14344,846,10679,510237
43869,13491,821,10744,512731
43588,12580,769,10819,515097
43309,11747,728,10870,517140
43057,10989,731,10920,519184
42816,10254,691,10987,521103
42599,9638,661,11047,522895
42399,9025,663,11087,524562
42194,8441,627,11131,526068
41999,7906,608,11186,527510
41821,7401,560,11233,529006
41669,6952,574,11267,530290
41537,6467,553,11296,531561
41391,6039,535,11317,532667
41265,5640,505,11348,533769
41154,5225,475,11387,534782
41033,4925,471,11410,535694
40934,4598,459,11437,536620
40842,4277,440,11458,537451
40753,3992,407,11489,538292
40679,3719,413,11516,539065
40594,3450,383,11533,539751
40509,3217,366,11554,540443
40439,3020,361,11570,541037
40371,2803,350,11594,541581
40322,2597,345,11608,542117
40281,2402,323,11624,542607
40228,2235,295,11641,543085
40176,2109,264,11657,543507
40119,1989,232,11670,543923
40076,1865,218,11683,544351
40047,1736,204,11687,544710
40015,1604,198,11697,545026
39975,1519,199,11703,545335
39954,1423,189,11713,545615
39921,1332,179,11722,545897
39900,1223,171,11734,546122
39878,1139,151,11745,546355
39857,1060,152,11747,546559
39841,993,152,11752,546755
39819,927,144,11759,546941
39790,879,133,11767,547122
39763,832,127,11771,547288
39747,788,116,11780,547451
39740,747,119,11781,547572
39723,700,115,11784,547721
39700,664,95,11792,547847
39687,622,93,11799,547962
39671,579,91,11804,548078
39665,525,92,11810,548191
39650,492,81,11813,548263
39638,459,75,11820,548355
39626,434,74,11822,548440
39619,410,72,11823,548507
39609,381,58,11824,548585
39601,355,53,11828,548661
39589,345,50,11831,548740
39583,327,52,11833,548802
39578,305,56,11836,548852
39573,283,44,11838,548922
39567,262,39,11841,548976
39562,247,36,11842,549016
39557,233,29,11845,549072
39553,217,33,11847,549116
39549,200,34,11849,549148
39547,183,25,11851,549190
39545,161,20,11853,549221
39542,147,20,11854,549265
39540,133,17,11854,549299
39539,127,17,11855,549322
39539,117,15,11857,549339
39539,106,12,11857,549370
39539,96,14,11857,549386
39537,92,16,11857,549404
39536,91,12,11857,549422
39534,85,11,11857,549432
39533,78,10,11859,549446
39529,78,12,11859,549464
39527,70,8,11859,549476
39527,66,9,11859,549491
39526,60,10,11859,549498
39526,55,9,11859,549510
39525,50,10,11859,549522
39525,45,8,11859,549532
39524,42,10,11859,549537
39523,37,10,11859,549546
39522,37,8,11860,549560
39522,34,6,11860,549571
39521,33,7,11860,549579
39521,29,7,11861,549587
39521,27,7,11861,549588
39520,26,8,11861,549600
39520,25,7,11861,549608
39519,25,6,11861,549611
39519,22,5,11862,549616
39518,22,6,11863,549621
39517,23,4,11863,549627
39517,23,5,11864,549633
39517,22,6,11864,549637
39516,19,5,11864,549640
39516,17,3,11864,549644
39516,15,1,11865,549647
39515,13,0,11865,549653
