H,D,R
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,4
0,0,6
0,0,14
0,0,28
0,0,49
0,0,72
0,0,116
0,0,185
0,0,288
1,0,420
2,0,601
2,0,874
4,0,1205
10,0,1622
10,1,2186
14,1,2863
23,1,3710
29,2,4732
35,2,5914
55,4,7282
68,6,8930
87,10,10808
111,10,12847
131,12,15167
136,16,17868
151,18,20656
178,22,23598
202,26,26600
211,33,29915
228,39,33375
242,47,36862
260,55,40381
267,64,43904
291,73,47611
300,85,51147
280,101,54819
291,116,58312
274,127,61884
272,144,65197
277,159,68278
263,171,71558
270,179,74668
232,199,77538
229,210,80162
225,215,82619
202,224,84972
196,233,87199
200,243,89167
187,251,91190
165,258,92910
156,263,94544
154,270,96053
130,275,97490
130,283,98733
111,287,99879
100,293,100983
101,300,101933
104,304,102871
107,306,103678
99,312,104415
77,313,105118
86,314,105783
74,318,106334
74,319,106837
71,322,107345
72,323,107827
64,323,108230
53,325,108635
45,327,108977
46,329,109328
38,330,109610
39,332,109883
40,335,110114
34,338,110332
35,341,110524
26,343,110718
31,343,110896
31,343,111059
28,343,111196
27,343,111328
24,343,111450
26,344,111563
24,344,111670
28,344,111772
19,345,111867
14,345,111934
14,345,112006
15,345,112072
12,345,112145
10,345,112190
10,345,112236
12,345,112285
13,345,112330
13,345,112362
10,345,112381
8,345,112408
10,345,112440
10,345,112458
9,345,112478
10,345,112501
10,345,112527
9,345,112550
8,345,112566
6,346,112580
6,346,112598
7,346,112610
4,346,112621
5,346,112633
3,346,112646
2,346,112660
1,346,112665
1,346,112679
2,346,112687
1,346,112689
1,346,112692
0,346,112699
1,346,112701
1,346,112710
2,346,112714
1,346,112718
1,346,112718
0,346,112719
0,346,112722
0,346,112722
1,346,112725
1,346,112728
1,346,112729
1,346,112731
1,346,112734
0,346,112735
0,346,112735
0,346,112735
1,346,112735
1,346,112735
1,346,112736
1,346,112738
0,346,112739
0,346,112740
0,346,112742
1,346,112742
1,346,112742
0,346,112743
0,346,112743
0,346,112743
0,346,112743
0,346,112743
0,346,112745
0,346,112745
0,346,112745
0,346,112745
0,346,112745
0,346,112745
0,346,112745
0,346,112745
0,346,112745
0,346,112746
0,346,112746
0,346,112746
0,346,112746
0,346,112746
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
0,346,112747
