H,D,R
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,2
0,0,7
0,0,16
0,0,22
0,0,38
0,0,76
0,0,133
0,0,199
0,0,272
1,0,418
2,0,600
8,0,822
8,1,1135
8,1,1555
8,1,2093
18,1,2739
25,1,3549
35,1,4559
36,3,5806
42,5,7227
44,6,8826
59,9,10670
79,11,12743
100,17,15036
129,20,17617
171,22,20319
181,28,23112
182,34,26194
220,41,29447
224,50,32736
252,62,36144
274,75,39796
288,86,43402
291,104,47003
292,111,50713
295,123,54137
310,134,57623
294,157,61037
297,165,64443
291,177,67790
271,190,71044
261,201,74110
258,210,77004
249,225,79696
221,239,82204
202,249,84613
191,257,86866
178,267,88980
170,275,90918
136,280,92791
142,288,94529
129,293,96087
125,298,97490
112,307,98759
105,312,99844
97,321,100940
92,330,101930
87,336,102810
89,339,103605
97,341,104365
89,343,105126
79,344,105779
73,344,106429
71,347,106970
67,350,107436
54,351,107918
46,352,108334
43,357,108697
49,357,108997
48,358,109317
52,359,109600
41,360,109882
41,360,110128
32,361,110348
24,363,110540
26,366,110738
22,367,110889
16,369,111078
12,369,111214
12,370,111358
8,371,111453
13,371,111563
12,371,111683
15,371,111779
17,371,111865
17,371,111950
15,371,112013
15,372,112078
15,372,112131
10,373,112194
9,373,112245
7,373,112283
10,373,112315
8,373,112355
9,373,112397
9,373,112419
9,373,112438
8,373,112458
6,373,112486
6,373,112518
6,373,112535
5,373,112554
5,373,112569
6,373,112579
5,373,112592
5,373,112601
4,374,112611
3,374,112624
3,374,112631
1,374,112637
1,374,112641
1,374,112644
1,374,112650
3,374,112657
2,374,112664
2,374,112668
1,375,112676
0,375,112680
0,375,112685
0,375,112690
1,375,112691
2,375,112695
2,375,112696
3,375,112696
2,375,112698
1,375,112701
1,375,112702
1,375,112706
0,375,112709
0,375,112711
0,375,112711
0,375,112711
0,375,112711
1,375,112714
1,375,112714
1,375,112714
1,375,112714
1,375,112714
1,375,112714
1,375,112714
1,375,112714
1,375,112715
0,376,112715
0,376,112715
0,376,112715
0,376,112715
0,376,112715
0,376,112715
0,376,112716
0,376,112716
0,376,112716
0,376,112716
0,376,112716
0,376,112716
0,376,112716
0,376,112716
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
0,376,112717
