Susceptible,Exposed,Hospitalised,Death,Recovered
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113093,0,0,0,0
113082,11,0,0,0
113058,33,0,0,0
113010,80,0,0,0
112896,187,0,0,0
112699,369,0,0,0
112280,750,0,0,2
111680,1285,0,0,5
110851,2004,0,0,23
109732,2950,0,0,47
108469,3975,0,0,76
106778,5325,0,0,127
104950,6708,1,0,207
102469,8666,1,0,290
99416,10955,1,0,441
95559,13922,3,0,641
91145,17156,5,0,894
85950,20890,9,0,1249
80193,24853,10,1,1698
73675,29235,10,1,2292
66739,33636,19,1,2974
59312,38251,27,1,3803
51514,42785,34,2,4787
43640,46982,46,3,5972
35869,50635,50,3,7322
28596,53574,56,4,8940
21893,55656,83,4,10778
16233,56426,87,6,12885
11739,56089,92,9,15198
8312,54676,121,12,17584
5651,52575,132,17,20350
3826,49872,152,19,23155
2428,46973,188,26,26208
1510,43921,212,30,29376
963,40644,215,35,32761
584,37538,247,45,36216
338,34577,235,58,39870
196,31709,261,71,43377
111,29064,281,82,46879
76,26594,292,90,50553
42,24255,295,104,54188
25,22176,313,116,57755
15,20361,307,128,61187
4,18580,313,139,64605
4,16969,312,152,67889
3,15457,293,165,71057
3,14126,267,179,74035
2,12921,253,193,77038
0,11800,221,209,79823
0,10713,217,222,82406
0,9863,212,232,84781
0,9004,198,248,87012
0,8201,171,259,89146
0,7492,164,264,91071
0,6840,140,273,92817
0,6193,143,280,94473
0,5690,123,286,95990
0,5156,115,294,97407
0,4695,103,298,98698
0,4307,111,302,99864
0,3953,92,311,100920
0,3614,93,315,101981
0,3313,97,318,102883
0,3017,88,322,103731
0,2780,76,326,104520
0,2523,70,329,105180
0,2279,74,331,105820
0,2103,75,333,106409
0,1886,70,337,106948
0,1727,61,340,107467
0,1573,42,342,107981
0,1438,40,344,108384
0,1316,41,346,108783
0,1200,35,348,109144
0,1095,37,348,109493
0,981,36,348,109777
0,902,30,349,110023
0,813,28,351,110248
0,750,31,353,110466
0,695,30,355,110661
0,631,31,355,110825
0,582,22,359,110975
0,534,23,359,111134
0,496,22,360,111276
0,455,19,360,111401
0,417,19,360,111531
0,375,19,361,111643
0,343,17,361,111724
0,317,10,362,111803
0,299,7,362,111897
0,277,9,363,111978
0,250,12,364,112044
0,228,9,365,112087
0,208,12,365,112130
0,194,13,365,112183
0,175,12,365,112245
0,157,11,365,112284
0,137,10,365,112318
0,121,12,365,112349
0,113,12,366,112379
0,104,9,367,112408
0,98,8,367,112441
0,85,6,367,112473
0,74,6,367,112493
0,71,8,367,112510
0,64,9,367,112529
0,60,10,367,112544
0,55,9,367,112556
0,43,6,367,112581
0,39,5,367,112595
0,35,6,367,112606
0,34,7,367,112619
0,31,5,367,112625
0,30,5,367,112631
0,28,2,367,112648
0,28,2,367,112654
0,26,1,367,112660
0,25,2,367,112665
0,17,4,367,112668
0,16,4,367,112671
0,14,5,367,112675
0,14,3,367,112682
0,12,3,367,112686
0,11,3,367,112688
0,10,3,367,112688
0,9,3,367,112690
0,9,3,367,112695
0,9,2,368,112699
0,9,2,368,112700
0,9,2,368,112701
0,9,0,368,112706
0,8,0,368,112708
0,7,0,368,112710
0,7,0,368,112710
0,6,0,368,112710
0,5,0,368,112710
0,3,0,368,112710
0,3,0,368,112713
0,3,0,368,112713
0,3,0,368,112714
0,3,0,368,112717
0,2,0,368,112720
0,2,0,368,112720
0,2,0,368,112721
0,2,0,368,112721
0,2,0,368,112721
0,1,0,368,112721
0,1,0,368,112721
0,1,0,368,112722
0,1,0,368,112723
0,1,0,368,112724
0,1,0,368,112724
0,1,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112724
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
0,0,0,368,112725
