 day, S, E, H, R, D
0,1266573.671,166.142,0.0,0.0,0.0
1,1266378.465,330.403,0.0,0.05,0.0
2,1266160.349,503.075,0.0,0.243,0.0
3,1265909.823,693.292,0.0,0.577,0.0
4,1265616.416,909.269,0.0,1.092,0.0
5,1265272.838,1156.791,0.042,2.132,0.0
6,1264869.714,1441.575,0.315,5.002,0.0
7,1264393.618,1773.944,1.07,11.503,0.001
8,1263833.474,2160.737,2.361,22.555,0.004
9,1263172.309,2614.62,4.415,39.639,0.008
10,1262393.881,3146.073,7.096,64.434,0.013
11,1261478.321,3767.01,10.645,97.834,0.022
12,1260398.781,4497.65,14.934,141.026,0.04
13,1259132.229,5349.456,20.191,195.932,0.057
14,1257640.722,6352.422,26.752,264.46,0.08
15,1255889.04,7526.284,34.512,351.257,0.109
16,1253830.442,8904.4,43.56,455.218,0.14
17,1251416.531,10513.61,54.135,582.337,0.182
18,1248583.083,12403.46,66.528,735.785,0.245
19,1245256.706,14617.283,81.444,920.48,0.318
20,1241355.695,17209.503,98.421,1142.247,0.412
21,1236784.875,20242.502,118.313,1405.774,0.551
22,1231436.026,23787.193,141.588,1719.219,0.702
23,1228333.782,24786.585,168.918,2092.482,0.877
24,1224686.163,26243.07,200.651,2531.271,1.118
25,1220535.485,28072.593,236.904,3052.891,1.395
26,1215900.716,30227.946,278.169,3664.625,1.707
27,1210783.705,32673.197,325.773,4383.986,2.058
28,1205185.282,35382.748,380.976,5226.049,2.507
29,1199093.338,38347.855,442.239,6205.609,3.054
30,1192491.971,41561.438,507.471,7324.806,3.714
31,1185356.449,45025.871,575.165,8583.187,4.449
32,1177660.817,48742.767,643.722,9982.035,5.329
33,1169382.294,52714.862,714.936,11535.463,6.316
34,1160482.241,56953.551,786.247,13251.146,7.511
35,1150925.914,61475.008,857.928,15131.202,8.83
36,1140689.305,66277.463,930.474,17193.202,10.287
37,1129731.086,71381.723,1003.151,19445.794,11.966
38,1118013.491,76784.45,1074.931,21910.992,13.847
39,1105514.052,82497.502,1148.135,24595.673,15.962
40,1092185.862,88533.27,1220.758,27514.344,18.256
41,1078005.616,94886.493,1293.236,30692.046,20.758
42,1062948.876,101551.936,1365.937,34146.966,23.577
43,1046984.946,108538.587,1437.6,37891.759,26.647
44,1030093.043,115833.12,1508.311,41948.84,29.865
45,1012251.039,123437.883,1579.061,46336.83,33.497
46,993461.431,131317.578,1650.17,51075.139,37.362
47,973715.268,139453.991,1720.143,56193.231,41.733
48,953006.819,147833.832,1788.124,61719.512,46.477
49,931357.542,156415.819,1855.073,67662.68,51.54
50,908782.469,165162.744,1923.425,74060.732,57.11
51,885308.339,174035.002,1987.737,80924.888,63.223
52,860968.58,182989.971,2052.139,88266.127,69.623
53,835818.707,191961.392,2115.998,96135.829,76.573
