 day, S, E, H, R, D
0,665219.296,197.209,0.0,0.0,0.0
1,664984.807,367.766,0.0,0.727,0.0
2,664745.74,517.063,0.0,2.996,0.0
3,664500.256,650.9,0.0,7.265,0.0
4,664246.582,773.872,0.0,13.854,0.0
5,663984.283,886.295,0.004,23.336,0.0
6,663711.856,992.162,0.022,35.934,0.0
7,663430.316,1091.36,0.106,52.251,0.0
8,663138.403,1186.633,0.302,73.072,0.001
9,662835.297,1279.32,0.636,98.759,0.001
10,662520.075,1369.117,1.199,130.005,0.001
11,662194.33,1457.32,2.008,167.675,0.005
12,661856.006,1544.054,3.139,212.413,0.012
13,661504.996,1631.878,4.652,265.268,0.014
14,661143.752,1716.042,6.44,326.577,0.02
15,660770.247,1800.514,8.641,396.776,0.035
16,660384.705,1884.212,11.154,476.629,0.059
17,659987.224,1966.832,14.002,565.887,0.089
18,659577.803,2049.447,17.257,665.229,0.123
19,659154.76,2132.753,20.958,775.847,0.153
20,658721.611,2214.289,24.824,896.614,0.193
21,658276.5,2296.921,28.846,1028.688,0.237
22,657819.999,2378.375,33.155,1170.966,0.296
23,657721.012,2124.317,37.742,1325.061,0.361
24,657618.505,1910.568,42.493,1489.873,0.447
25,657512.929,1731.902,47.415,1664.45,0.531
26,657406.301,1580.646,52.615,1847.241,0.621
27,657298.823,1453.23,57.984,2037.057,0.742
28,657191.323,1344.994,63.063,2234.876,0.871
29,657084.388,1252.085,68.249,2438.896,1.036
30,656979.418,1171.068,73.385,2649.952,1.219
31,656875.953,1100.073,78.531,2864.821,1.365
32,656773.886,1038.797,83.26,3084.964,1.52
33,656674.452,983.536,87.707,3308.552,1.715
34,656577.328,935.286,91.622,3532.757,1.914
35,656482.478,891.985,95.262,3758.449,2.113
36,656390.658,850.871,98.619,3984.081,2.339
37,656301.421,814.268,101.376,4207.998,2.558
38,656214.271,780.263,103.468,4430.2,2.816
39,656129.548,748.974,105.137,4648.299,3.034
40,656047.919,719.38,106.505,4862.554,3.258
41,655968.33,691.999,107.612,5073.648,3.504
42,655891.106,666.358,107.691,5279.532,3.754
43,655816.376,642.129,107.403,5481.32,3.999
44,655744.227,618.473,106.623,5677.643,4.247
45,655674.556,595.83,105.597,5868.221,4.491
46,655606.988,574.574,103.988,6054.971,4.727
47,655541.711,555.029,102.321,6236.324,4.974
48,655478.63,535.771,100.41,6412.77,5.21
49,655417.394,517.192,97.982,6583.205,5.451
50,655358.556,499.117,95.927,6747.799,5.664
51,655301.304,482.224,93.497,6908.318,5.896
52,655245.898,466.041,91.233,7063.435,6.112
53,655191.991,450.858,88.727,7213.865,6.324
54,655140.165,435.857,86.253,7359.605,6.501
55,655089.618,421.488,83.846,7501.24,6.693
56,655041.388,407.258,81.196,7637.902,6.888
57,654994.204,393.697,78.493,7770.098,7.091
58,654948.557,380.862,76.127,7898.468,7.281
59,654904.465,368.315,73.53,8022.431,7.473
60,654861.602,356.479,70.973,8142.766,7.647
61,654819.766,345.025,68.526,8259.112,7.821
62,654779.389,333.964,66.248,8371.743,7.967
63,654740.598,323.172,63.949,8481.598,8.121
64,654702.819,312.894,61.855,8587.444,8.272
65,654666.409,302.937,59.557,8689.559,8.411
66,654631.453,293.235,57.521,8788.864,8.56
67,654597.389,283.668,55.51,8884.279,8.684
68,654564.38,274.42,53.528,8977.206,8.798
69,654532.238,265.612,51.813,9066.949,8.946
70,654501.055,257.717,50.027,9154.408,9.063
71,654470.419,250.296,48.398,9238.796,9.169
72,654441.084,242.379,46.834,9320.329,9.282
73,654412.786,234.892,45.354,9400.034,9.401
74,654385.357,227.292,43.785,9476.598,9.49
75,654358.727,220.14,42.329,9551.687,9.586
76,654332.949,213.178,40.943,9623.689,9.677
77,654308.079,206.578,39.693,9693.455,9.772
