 day, S, E, H, R, D
0,810091.327,28.75,0.0,0.0,0.0
1,810048.703,52.459,0.0,0.913,0.0
2,810000.835,74.969,0.0,3.2,0.0
3,809946.249,98.086,0.0,7.289,0.0
4,809883.457,123.005,0.0,13.408,0.0
5,809811.636,149.864,0.021,21.943,0.0
6,809729.637,179.744,0.068,33.292,0.001
7,809636.368,212.803,0.158,47.801,0.001
8,809530.653,248.815,0.293,65.914,0.001
9,809410.691,289.548,0.483,88.17,0.001
10,809275.17,334.516,0.749,114.64,0.004
11,809122.868,384.018,1.077,146.297,0.007
12,808952.049,437.736,1.489,183.512,0.011
13,808759.05,499.037,1.918,226.849,0.013
14,808542.23,567.683,2.425,277.014,0.024
15,808299.138,642.866,3.061,334.76,0.029
16,808028.249,724.847,3.754,400.863,0.041
17,807723.357,819.438,4.616,476.686,0.056
18,807384.95,921.171,5.562,562.358,0.068
19,807006.677,1034.526,6.589,659.756,0.092
20,806584.688,1159.779,7.957,770.156,0.118
21,806114.458,1298.237,9.256,895.357,0.156
22,805589.311,1454.42,10.778,1036.292,0.185
23,805355.22,1285.767,12.575,1194.529,0.212
24,805094.509,1191.701,14.603,1371.761,0.243
25,804813.756,1143.51,16.746,1562.437,0.287
26,804515.9,1126.015,19.174,1762.885,0.343
27,804204.595,1127.143,22.032,1972.995,0.399
28,803879.48,1141.47,24.977,2190.346,0.484
29,803542.755,1163.482,28.114,2415.849,0.567
30,803191.503,1194.302,31.27,2647.951,0.667
31,802827.976,1227.826,34.388,2885.892,0.773
32,802451.197,1265.189,37.721,3129.372,0.89
33,802060.03,1307.96,40.989,3379.522,1.029
34,801655.252,1352.488,44.146,3636.036,1.189
35,801234.782,1399.402,47.226,3899.463,1.346
36,800800.684,1445.917,50.422,4171.892,1.512
37,800349.761,1496.807,53.294,4450.089,1.68
38,799883.648,1549.643,56.368,4737.84,1.878
39,799398.454,1605.281,59.325,5034.692,2.07
40,798894.599,1666.338,62.342,5340.873,2.278
41,798374.187,1726.448,65.422,5657.997,2.479
42,797833.985,1789.481,68.322,5984.536,2.726
43,797274.008,1855.677,71.339,6321.91,2.969
44,796693.229,1923.493,74.324,6670.793,3.23
45,796091.911,1994.287,77.36,7030.673,3.516
46,795466.565,2068.952,80.318,7403.118,3.816
47,794818.893,2145.649,83.167,7790.153,4.14
48,794148.394,2223.874,86.011,8190.174,4.465
49,793451.906,2306.309,88.999,8604.416,4.814
50,792729.813,2390.527,91.888,9033.411,5.172
51,791981.319,2479.426,95.138,9477.907,5.5
52,791205.673,2571.004,98.093,9937.625,5.887
