 day, S, E, H, R, D
109,578.916,19.607,1086.024,571019.089,15359.71
110,576.682,18.272,1069.16,571650.475,15373.112
111,574.465,17.333,1051.363,572250.277,15385.812
112,572.403,16.355,1034.13,572820.122,15397.674
113,570.443,15.487,1016.527,573361.239,15409.201
114,568.658,14.522,998.948,573873.369,15419.916
115,566.961,13.648,981.021,574360.491,15430.228
116,565.318,12.775,963.465,574823.506,15439.957
117,563.774,12.053,945.469,575263.214,15449.364
118,562.361,11.402,927.538,575681.794,15458.257
119,560.903,10.837,909.315,576079.409,15466.721
120,559.576,10.311,891.254,576457.372,15474.899
121,558.362,9.628,873.365,576818.688,15482.613
122,557.167,9.145,855.504,577161.367,15489.932
123,556.061,8.668,837.574,577488.133,15497.059
124,554.932,8.291,819.869,577800.328,15503.853
125,553.881,7.849,802.129,578096.61,15510.474
126,552.836,7.519,784.706,578379.931,15516.746
127,551.892,7.149,767.217,578649.628,15522.742
128,550.923,6.869,749.649,578907.37,15528.511
129,550.056,6.532,732.471,579153.06,15534.043
130,549.193,6.26,715.236,579387.711,15539.446
131,548.375,5.985,698.412,579612.308,15544.6
132,547.638,5.651,681.613,579826.792,15549.563
133,546.935,5.316,664.896,580030.99,15554.487
134,546.25,5.099,648.426,580227.318,15559.34
135,545.59,4.88,632.376,580413.972,15563.787
136,544.956,4.717,616.434,580592.326,15568.169
137,544.345,4.493,600.776,580762.687,15572.215
138,543.81,4.225,585.286,580926.051,15576.298
139,543.257,4.054,570.066,581082.939,15580.3
140,542.709,3.883,555.121,581233.221,15584.073
141,542.202,3.741,540.719,581376.464,15587.612
142,541.749,3.575,526.358,581512.982,15591.149
143,541.292,3.433,512.432,581644.234,15594.503
144,540.859,3.272,498.833,581770.023,15597.752
145,540.435,3.167,484.996,581890.996,15601.043
146,540.025,2.939,471.962,582006.137,15604.125
147,539.608,2.831,458.933,582116.691,15607.111
148,539.235,2.714,446.109,582223.323,15610.028
149,538.873,2.586,433.596,582325.288,15612.87
150,538.552,2.45,421.195,582423.177,15615.528
151,538.233,2.331,409.023,582517.042,15618.182
152,537.929,2.256,397.449,582606.714,15620.692
153,537.635,2.143,385.876,582693.116,15623.177
154,537.33,2.058,374.718,582775.869,15625.624
155,537.036,1.993,363.714,582854.892,15628.012
156,536.785,1.901,353.118,582931.112,15630.212
157,536.558,1.806,342.815,583004.284,15632.355
158,536.324,1.745,332.69,583074.376,15634.41
159,536.102,1.647,322.887,583141.985,15636.424
160,535.879,1.58,313.308,583206.501,15638.338
161,535.668,1.521,303.947,583268.452,15640.261
162,535.487,1.44,294.766,583328.164,15642.113
163,535.291,1.391,285.954,583385.547,15643.887
164,535.098,1.342,277.272,583440.835,15645.651
165,534.899,1.278,268.875,583493.744,15647.335
166,534.713,1.25,260.732,583544.582,15649.019
167,534.549,1.2,252.696,583593.189,15650.647
168,534.381,1.148,244.991,583640.217,15652.163
169,534.222,1.113,237.336,583685.334,15653.72
170,534.074,1.058,230.006,583728.843,15655.174
171,533.912,1.018,223.055,583770.269,15656.506
172,533.768,0.988,216.259,583810.541,15657.837
173,533.642,0.94,209.59,583849.202,15659.132
174,533.506,0.925,203.122,583886.134,15660.35
175,533.376,0.886,196.817,583921.758,15661.539
176,533.258,0.868,190.574,583956.27,15662.792
177,533.157,0.832,184.67,583989.127,15664.011
178,533.058,0.786,178.862,584020.731,15665.115
179,532.955,0.754,173.299,584050.907,15666.17
180,532.837,0.744,167.665,584080.197,15667.236
181,532.747,0.702,162.507,584108.172,15668.233
182,532.659,0.655,157.28,584135.54,15669.214
183,532.581,0.611,152.381,584161.521,15670.155
184,532.484,0.597,147.559,584186.584,15671.03
185,532.407,0.591,142.787,584210.84,15671.955
186,532.319,0.579,138.343,584233.678,15672.823
187,532.263,0.543,134.011,584255.648,15673.634
188,532.188,0.522,129.782,584277.299,15674.426
189,532.119,0.502,125.666,584297.982,15675.209
190,532.051,0.479,121.635,584317.787,15676.008
191,531.992,0.474,117.717,584336.893,15676.746
192,531.93,0.435,113.876,584355.398,15677.469
193,531.867,0.419,110.251,584373.166,15678.124
194,531.796,0.425,106.854,584390.005,15678.739
195,531.734,0.41,103.478,584406.23,15679.34
196,531.672,0.398,100.264,584421.936,15679.979
197,531.623,0.38,97.05,584437.039,15680.583
198,531.579,0.353,93.946,584451.748,15681.143
