 day, S, E, H, R, D
0,1265624.442,865.376,0.0,0.0,0.0
1,1264153.855,1868.216,0.0,5.797,0.0
2,1262100.781,3214.932,0.0,20.027,0.0
3,1259180.925,5112.339,0.0,45.503,0.0
4,1255011.389,7814.818,0.0,86.142,0.0
5,1249031.973,11692.514,1.995,159.475,0.0
6,1240440.085,17275.563,7.451,282.64,0.001
7,1228099.673,25291.888,17.429,477.707,0.005
8,1210399.45,36782.798,33.81,773.957,0.017
9,1185115.497,53156.894,59.163,1215.252,0.03
10,1149249.506,76266.514,96.679,1864.483,0.069
11,1098950.64,108377.598,150.772,2809.688,0.148
12,1029636.109,151978.383,227.531,4178.65,0.248
13,936643.975,209010.995,333.675,6147.141,0.437
14,816605.04,279682.296,477.291,8966.982,0.772
15,670150.594,360188.31,666.847,12974.175,1.416
16,505187.898,440291.064,905.75,18606.562,2.565
17,339029.714,502763.648,1186.354,26405.826,4.624
18,195121.283,528363.905,1485.214,37019.582,8.167
19,92623.474,506542.118,1758.756,51112.265,14.475
20,35206.345,444802.187,1955.684,69302.086,24.231
21,10656.269,364727.478,2053.28,92072.941,38.639
22,2637.557,286960.844,2088.473,119685.683,57.974
23,1459.677,220656.578,2109.27,152184.331,82.589
24,797.739,169424.706,2124.263,189263.092,112.399
25,436.958,129938.802,2134.278,230181.135,146.932
26,242.075,99558.738,2141.225,273855.657,184.898
27,136.928,76248.586,2147.795,319074.487,225.635
28,79.36,58364.472,2156.049,364808.218,267.703
29,47.14,44667.664,2170.731,410216.063,310.098
30,28.94,34177.208,2169.503,454738.076,352.187
31,18.16,26147.994,2159.478,497983.682,393.296
32,11.723,19999.051,2152.739,539688.355,433.616
33,7.834,15301.44,2150.404,579680.603,472.277
34,5.332,11704.514,2141.06,617909.587,509.432
35,3.681,8955.502,2137.122,654310.472,544.837
36,2.601,6849.679,2124.519,688901.146,578.693
37,1.938,5238.969,2119.869,721687.94,611.158
38,1.475,4008.924,2108.508,752754.157,642.072
39,1.139,3065.545,2101.909,782125.761,671.206
40,0.89,2345.808,2092.202,809878.432,698.897
41,0.725,1793.59,2086.24,836082.488,724.943
42,0.602,1371.232,2077.887,860823.946,749.432
43,0.502,1048.48,2071.123,884161.413,773.039
44,0.419,802.898,2063.066,906174.158,794.739
45,0.356,613.815,2055.101,926914.913,815.491
46,0.307,469.949,2047.218,946481.345,834.944
47,0.269,359.806,2039.275,964916.836,853.564
48,0.237,275.486,2030.226,982288.143,870.844
49,0.206,210.678,2022.364,998661.656,887.316
50,0.18,161.129,2013.313,1014081.086,902.669
51,0.163,123.403,2003.599,1028605.014,917.094
52,0.149,94.505,1994.209,1042294.288,931.004
53,0.128,71.987,1985.109,1055182.477,943.863
54,0.114,55.06,1976.59,1067323.791,956.116
55,0.108,42.352,1966.696,1078767.407,967.617
56,0.094,32.497,1956.54,1089544.383,978.392
57,0.089,24.82,1945.941,1099685.982,988.736
58,0.082,18.907,1936.085,1109240.17,998.346
59,0.072,14.376,1925.867,1118238.195,1007.371
60,0.067,11.025,1914.83,1126719.38,1015.893
61,0.065,8.525,1902.992,1134711.026,1023.876
62,0.058,6.573,1891.463,1142230.921,1031.51
63,0.057,4.986,1880.247,1149318.566,1038.73
64,0.053,3.795,1866.893,1155990.926,1045.39
65,0.049,2.932,1854.156,1162280.777,1051.854
66,0.046,2.291,1840.423,1168201.244,1057.923
67,0.043,1.774,1827.223,1173784.404,1063.459
68,0.039,1.38,1813.24,1179039.973,1068.827
69,0.038,1.072,1798.347,1183989.41,1073.864
70,0.038,0.82,1782.81,1188651.748,1078.487
71,0.038,0.636,1767.379,1193044.467,1083.025
72,0.037,0.499,1751.64,1197180.923,1087.229
73,0.037,0.385,1734.868,1201077.031,1091.405
74,0.037,0.293,1718.015,1204751.259,1095.171
75,0.037,0.221,1700.434,1208214.153,1098.696
76,0.037,0.177,1682.309,1211477.145,1102.116
77,0.035,0.138,1664.239,1214552.744,1105.319
78,0.034,0.099,1645.674,1217448.299,1108.333
79,0.034,0.08,1626.106,1220174.28,1111.104
80,0.033,0.06,1605.941,1222746.262,1113.83
81,0.031,0.052,1585.442,1225168.251,1116.388
82,0.031,0.041,1564.887,1227450.057,1118.815
83,0.031,0.034,1543.846,1229602.148,1121.139
84,0.031,0.025,1522.217,1231628.623,1123.237
85,0.03,0.019,1500.125,1233539.281,1125.24
86,0.03,0.013,1478.606,1235339.962,1127.05
87,0.029,0.01,1455.939,1237039.032,1128.809
88,0.029,0.008,1433.456,1238641.402,1130.531
89,0.028,0.007,1410.61,1240153.875,1132.197
90,0.028,0.005,1386.587,1241575.567,1133.745
91,0.028,0.004,1363.468,1242917.455,1135.197
92,0.028,0.003,1339.312,1244182.032,1136.557
93,0.028,0.002,1315.508,1245373.788,1137.934
94,0.027,0.003,1291.11,1246499.533,1139.259
95,0.026,0.004,1265.861,1247561.593,1140.457
96,0.025,0.003,1240.892,1248563.116,1141.586
97,0.025,0.002,1215.772,1249507.877,1142.694
98,0.025,0.002,1191.013,1250398.609,1143.727
99,0.025,0.001,1166.188,1251241.355,1144.703
100,0.024,0.002,1141.058,1252034.486,1145.645
101,0.024,0.002,1115.745,1252783.409,1146.562
102,0.024,0.002,1090.183,1253490.313,1147.38
103,0.024,0.002,1065.297,1254155.896,1148.183
104,0.024,0.002,1040.312,1254783.543,1148.946
105,0.024,0.001,1015.342,1255377.415,1149.737
106,0.024,0.0,990.538,1255938.723,1150.416
107,0.024,0.0,965.964,1256467.89,1151.09
108,0.024,0.0,941.642,1256968.217,1151.755
109,0.024,0.0,916.794,1257440.1,1152.398
110,0.024,0.0,892.045,1257885.236,1152.983
111,0.023,0.001,867.776,1258305.328,1153.53
112,0.023,0.001,843.919,1258703.274,1154.071
113,0.023,0.001,821.004,1259078.453,1154.589
114,0.022,0.002,798.028,1259431.881,1155.117
115,0.022,0.0,775.158,1259767.729,1155.585
116,0.022,0.0,751.92,1260085.035,1156.065
117,0.022,0.0,729.363,1260384.452,1156.457
118,0.022,0.0,706.945,1260668.78,1156.874
119,0.022,0.0,685.651,1260935.08,1157.274
120,0.022,0.0,664.396,1261187.541,1157.67
121,0.022,0.0,643.489,1261426.217,1158.04
122,0.022,0.0,623.072,1261651.609,1158.393
123,0.022,0.0,602.749,1261865.384,1158.721
124,0.022,0.0,582.929,1262066.341,1159.057
125,0.022,0.0,563.848,1262256.882,1159.401
126,0.022,0.0,544.696,1262437.075,1159.697
127,0.022,0.0,526.569,1262606.974,1159.975
128,0.022,0.0,508.452,1262768.217,1160.22
129,0.022,0.0,490.502,1262920.563,1160.459
130,0.022,0.0,473.772,1263064.581,1160.697
131,0.022,0.0,457.363,1263200.81,1160.927
132,0.022,0.0,440.842,1263329.878,1161.141
133,0.022,0.0,425.004,1263451.626,1161.362
134,0.022,0.0,409.294,1263567.047,1161.597
135,0.022,0.0,394.076,1263676.09,1161.807
136,0.022,0.0,379.646,1263779.02,1161.979
137,0.022,0.0,365.277,1263877.066,1162.14
138,0.022,0.0,351.252,1263969.65,1162.303
139,0.022,0.0,337.728,1264057.29,1162.475
140,0.022,0.0,324.844,1264139.819,1162.647
141,0.022,0.0,312.135,1264218.309,1162.813
142,0.022,0.0,299.679,1264292.378,1162.959
143,0.022,0.0,287.699,1264362.533,1163.096
144,0.022,0.0,276.387,1264428.769,1163.234
145,0.022,0.0,265.285,1264491.224,1163.346
146,0.022,0.0,253.896,1264551.135,1163.466
147,0.022,0.0,243.322,1264607.455,1163.592
148,0.022,0.0,232.929,1264660.804,1163.724
149,0.022,0.0,223.114,1264711.122,1163.836
150,0.022,0.0,213.774,1264758.839,1163.947
151,0.022,0.0,204.823,1264803.878,1164.05
152,0.022,0.0,196.113,1264846.255,1164.155
153,0.022,0.0,187.727,1264886.465,1164.246
154,0.022,0.0,179.656,1264924.584,1164.339
155,0.022,0.0,172.02,1264960.204,1164.427
156,0.022,0.0,164.644,1264994.406,1164.491
