H,D,R
0,0,0
0,0,1
0,0,6
0,0,29
0,0,51
0,0,92
0,0,143
0,0,220
0,0,324
0,0,477
4,0,633
7,0,855
8,0,1097
11,0,1422
16,0,1809
29,0,2249
34,0,2818
41,0,3565
62,0,4461
71,0,5559
80,0,6952
96,1,8576
126,2,10525
137,2,12830
170,2,15591
197,6,18782
250,7,22344
277,9,26084
340,11,30298
383,13,34814
422,20,39839
505,23,45308
520,30,51228
575,35,57734
596,43,64516
645,46,71835
686,55,79579
688,65,87818
716,71,96257
725,75,105381
693,94,115007
713,110,124583
740,121,134622
731,131,145083
736,140,155831
725,155,166758
753,170,177904
792,185,189317
786,199,201442
767,209,213564
763,222,225866
751,234,238334
775,243,251001
773,254,263525
737,264,276168
717,286,288826
750,299,301282
754,312,313656
797,325,326202
806,340,338818
799,355,351217
777,371,363136
762,389,375107
747,409,386587
759,428,398020
773,444,409271
776,457,420175
773,479,430865
760,497,440901
740,510,450857
693,522,460261
697,530,469403
704,548,478193
675,558,486714
672,571,494962
644,583,502713
663,590,510291
666,594,517358
665,599,523988
675,610,530419
646,620,536547
637,631,542486
602,641,547852
621,645,553069
640,651,558072
622,662,562760
591,671,567284
589,677,571558
582,680,575537
548,682,579270
493,687,582747
495,691,586077
500,692,589230
490,696,592135
470,700,595002
458,704,597572
453,710,599920
449,712,602252
422,713,604361
418,716,606332
403,719,608216
389,723,609949
412,725,611511
398,729,613101
388,731,614494
362,733,615920
326,736,617199
331,737,618400
310,743,619520
301,743,620560
285,745,621483
269,747,622371
255,748,623193
237,751,623941
238,752,624665
235,752,625310
223,755,625967
221,756,626561
200,757,627129
199,757,627678
189,761,628170
168,763,628610
146,763,629001
144,764,629389
133,765,629792
132,766,630123
134,766,630410
118,766,630733
111,766,631035
116,766,631302
108,766,631555
108,768,631797
92,769,632015
88,769,632211
83,770,632408
80,770,632573
67,770,632728
53,771,632867
62,771,632987
52,771,633103
55,771,633221
42,771,633333
36,771,633447
38,771,633536
40,771,633647
35,771,633758
34,771,633853
26,771,633945
27,771,634012
27,771,634074
23,771,634148
21,771,634218
21,771,634263
25,771,634310
17,771,634355
19,771,634396
18,771,634437
17,771,634474
16,771,634508
12,771,634550
13,771,634580
13,771,634604
12,771,634633
8,772,634665
8,772,634688
10,772,634704
8,772,634731
10,772,634751
9,772,634770
6,772,634787
7,772,634808
5,772,634825
4,772,634837
2,772,634849
4,772,634861
5,772,634872
2,772,634890
2,772,634899
2,772,634909
3,772,634912
1,772,634921
1,772,634926
1,772,634931
3,772,634945
3,772,634947
3,772,634947
3,772,634952
3,772,634959
3,772,634961
4,772,634964
3,772,634966
2,772,634973
1,772,634978
1,772,634979
0,772,634981
0,772,634991
0,772,634996
0,772,634996
0,772,634996
