Susceptible,Exposed,Hospitalised,Death,Recovered
665052,357,0,0,0
664604,743,0,0,6
664058,1191,0,0,15
663422,1688,0,0,44
662663,2251,0,0,72
661696,3025,0,0,108
660499,3931,0,0,166
658981,5067,0,0,231
657229,6367,0,0,346
655145,7832,2,0,486
652681,9588,5,0,668
649693,11720,5,0,879
646012,14360,5,1,1120
641484,17673,5,1,1460
636196,21481,15,1,1848
629988,25829,25,1,2348
622342,31244,21,2,2903
613356,37521,33,2,3636
602752,44828,35,2,4543
589995,53646,60,2,5646
575350,63646,81,3,7042
558049,75369,97,4,8693
538132,88669,116,4,10622
529927,89318,146,5,13058
520425,91123,179,5,15855
510020,93661,192,6,19134
498711,96885,238,8,22733
486633,100619,282,10,26655
473627,104882,305,14,30908
460167,109382,364,15,35502
446389,113602,425,18,40477
431982,118194,489,23,45946
417022,122988,547,26,51999
401760,127624,616,30,58295
386148,132295,663,31,65159
370312,136620,670,38,72470
354468,140813,701,44,80277
338268,144848,722,56,88413
322365,148198,755,66,97082
306603,151091,789,71,106077
291227,153420,763,81,115534
275636,155761,738,85,125281
260745,157273,761,91,135556
246292,158175,786,99,146256
232192,158797,804,109,157070
218843,158346,816,123,168282
206022,157550,799,134,179572
193693,156073,803,145,191285
182060,154276,768,153,203323
170856,152073,779,167,215481
160237,149594,795,183,228002
150295,146531,773,191,240523
140948,143433,784,205,253072
132373,139787,777,226,266038
124349,135762,772,247,278744
117040,131415,778,264,291242
110279,126814,764,281,303831
103835,122585,706,301,316579
97939,117998,729,310,329228
92532,113079,717,328,341600
87581,108389,731,345,353630
83027,103782,692,364,365663
78812,99179,704,384,377467
74916,94583,745,410,389079
71368,90050,746,428,400516
67949,85664,703,446,411734
65053,81150,758,458,422486
62175,76879,748,476,433114
59664,72738,702,487,443397
57345,68865,711,503,453057
55119,65188,706,514,462296
53220,61355,693,524,471451
51400,57825,693,540,480318
49690,54665,661,554,488774
48090,51472,640,565,496811
46648,48553,670,569,504421
45363,45758,660,579,511810
44219,42997,672,593,518785
43155,40415,671,598,525395
42206,37952,656,606,531831
41267,35592,632,616,537918
40370,33399,608,625,543759
39642,31267,608,634,549171
38929,29228,600,644,554381
38253,27367,593,655,559226
37690,25558,560,660,564014
37157,23831,562,668,568375
36642,22286,558,675,572580
36131,20872,550,680,576539
35700,19442,509,687,580199
35248,18204,492,693,583656
34867,16970,477,697,586913
34478,15939,497,698,589974
34144,14917,485,704,592877
33813,13990,445,706,595483
33540,13066,452,711,597963
33264,12218,446,715,600316
33024,11461,443,719,602445
32785,10665,412,725,604489
32578,10003,397,727,606490
32388,9328,373,728,608376
32204,8756,388,728,610106
32050,8188,358,733,611875
31898,7658,341,735,613410
31767,7146,341,739,614858
31631,6616,310,741,616176
31496,6186,300,744,617325
31357,5842,275,746,618386
31238,5449,273,747,619507
31146,5067,273,748,620533
31071,4739,246,749,621507
30974,4391,237,751,622431
30891,4105,208,754,623318
30811,3839,210,756,624061
30739,3580,208,759,624729
30677,3314,193,760,625422
30622,3094,187,761,626056
30554,2906,186,763,626625
30503,2703,176,765,627118
30445,2546,185,766,627659
30382,2396,172,767,628121
30332,2234,146,770,628569
30286,2094,138,770,628996
30243,1965,129,771,629408
30198,1840,133,771,629756
30173,1712,111,774,630105
30151,1587,109,774,630389
30121,1474,105,775,630686
30098,1390,104,776,630963
30067,1305,101,776,631242
30039,1206,95,776,631496
30020,1121,97,777,631712
30004,1024,81,777,631932
29992,950,78,777,632112
29974,887,74,777,632292
29957,837,66,777,632478
29939,785,62,777,632656
29926,722,62,778,632808
29912,686,56,778,632938
29895,649,62,778,633059
29879,618,62,778,633173
29867,586,62,779,633313
29858,540,47,779,633436
29853,482,44,779,633547
29845,446,32,779,633649
29833,429,36,779,633742
29826,403,43,779,633827
29820,379,42,779,633922
29812,354,40,780,633997
29803,332,41,780,634057
29796,305,33,780,634111
29787,282,23,780,634165
29784,265,21,780,634218
29781,238,23,780,634267
29779,218,22,780,634307
29775,206,22,780,634353
29773,185,18,780,634387
29769,170,14,780,634428
29765,161,11,780,634464
29761,149,12,780,634496
29756,141,10,780,634527
29753,137,9,780,634552
29752,122,11,780,634579
29752,120,8,780,634598
29750,113,9,780,634625
29748,109,7,780,634653
29744,107,10,780,634674
29744,97,4,780,634696
29742,90,5,780,634710
29741,82,9,780,634742
29740,77,7,780,634750
29740,67,7,780,634760
29739,60,6,780,634772
29738,56,8,780,634779
29734,57,10,780,634785
29732,56,7,780,634799
29731,49,6,780,634809
29729,48,5,780,634820
29728,44,3,780,634827
29728,41,3,780,634841
29727,40,2,780,634847
29726,35,1,780,634854
29725,33,3,780,634858
29725,32,1,781,634863
29725,28,0,781,634867
29725,25,0,781,634873
29725,22,2,781,634879
29725,20,4,781,634883
29724,20,3,781,634887
29724,19,5,781,634890
29724,18,4,781,634897
29724,16,3,781,634900
29724,15,3,781,634907
29723,15,3,781,634909
29723,9,4,781,634911
29723,9,3,781,634914
29723,9,3,781,634919
29723,8,2,781,634924
29723,8,2,781,634924
