H,D,R
0,0,0
0,0,4
0,0,11
0,0,28
0,0,47
0,0,91
0,0,148
0,0,215
1,0,311
3,0,430
7,0,595
10,0,819
10,0,1066
11,0,1398
20,0,1794
21,0,2333
30,0,3003
39,0,3819
50,0,4752
53,1,5902
68,2,7280
78,2,8994
92,2,11009
120,2,13338
167,2,16196
200,3,19488
229,5,22989
291,6,26973
362,9,31284
394,10,36079
472,13,41211
520,15,46752
541,20,52851
612,28,59393
639,38,66264
630,44,73708
647,47,81416
667,57,89564
685,65,98356
687,72,107308
708,77,116763
730,85,126674
743,97,136858
767,111,147393
777,119,158387
781,131,169722
762,141,181257
759,153,193173
784,162,204855
803,176,216927
806,189,229326
786,208,241668
781,222,254154
795,235,266758
820,252,279274
835,264,291938
793,283,304678
813,296,317351
817,306,329978
845,328,342557
807,342,354562
784,356,366650
776,366,378320
771,375,390054
730,391,401256
761,405,412360
767,414,423083
761,430,433541
771,442,443817
782,465,453682
768,479,463079
775,494,472285
753,505,481034
705,515,489394
701,529,497402
694,540,505103
693,553,512466
676,560,519548
697,565,526305
681,573,532712
657,582,538829
630,593,544564
612,602,550175
594,611,555376
593,621,560319
583,625,564929
549,632,569352
544,641,573499
560,646,577414
551,651,580964
554,659,584425
528,665,587711
504,668,590815
467,669,593696
459,674,596480
453,678,598930
422,685,601327
416,686,603487
379,689,605538
377,695,607484
367,699,609288
362,703,611068
343,706,612643
325,706,614116
326,709,615591
321,715,616858
338,715,618028
327,719,619110
301,720,620263
301,723,621263
273,724,622290
281,726,623158
251,726,623970
234,727,624733
216,729,625454
185,731,626103
187,731,626711
194,733,627271
187,733,627826
164,733,628355
165,733,628848
150,735,629348
147,737,629788
137,737,630165
132,737,630489
128,738,630847
113,739,631168
98,740,631476
93,741,631753
97,742,632031
81,742,632291
73,743,632523
77,743,632737
71,744,632904
65,746,633092
62,746,633250
48,746,633388
47,746,633536
49,746,633657
47,746,633761
50,746,633896
46,747,633994
41,747,634080
42,747,634164
41,747,634261
48,747,634343
39,747,634426
37,748,634500
30,748,634571
24,748,634647
26,748,634708
23,748,634764
16,748,634823
17,748,634873
17,749,634942
20,749,635005
19,749,635041
18,750,635088
18,750,635127
13,750,635159
12,750,635190
16,750,635210
12,750,635230
9,750,635244
7,750,635271
4,750,635287
5,751,635311
4,751,635332
7,751,635343
5,752,635360
6,752,635381
5,752,635393
6,752,635411
5,752,635427
3,753,635443
3,753,635453
2,753,635462
3,753,635469
2,753,635471
1,753,635475
1,753,635486
2,753,635490
3,753,635498
3,753,635501
2,753,635504
2,753,635507
4,753,635512
1,753,635519
1,753,635525
1,753,635527
0,754,635536
1,754,635539
1,754,635543
2,754,635546
1,754,635549
0,754,635551
0,754,635556
0,754,635557
0,754,635558
