H,D,R
0,0,0
0,0,6
0,0,13
0,0,30
0,0,59
0,0,103
0,0,158
0,0,227
0,0,331
0,0,439
1,0,601
4,0,816
4,0,1065
8,0,1390
10,0,1814
19,0,2343
27,0,2953
39,0,3759
45,0,4681
47,1,5842
69,1,7172
92,1,8818
119,1,10873
144,2,13262
189,2,16133
218,5,19426
261,6,23101
315,7,27217
351,8,31567
390,12,36134
451,14,41199
514,16,46853
535,20,52952
537,23,59582
586,23,66556
648,27,74074
661,30,82251
691,38,90656
733,41,99755
735,53,108914
745,63,118661
806,70,128623
795,81,138942
796,95,149632
821,109,160506
786,126,172099
786,141,183732
763,149,195513
750,157,207829
791,168,220057
756,181,232315
735,197,244834
714,206,257510
717,218,270257
720,233,283054
731,247,295641
718,262,308247
726,280,320720
740,296,333107
758,319,345204
797,334,357446
792,355,369298
741,377,381363
755,384,392960
763,398,404179
775,412,415162
766,431,426168
786,453,436540
780,462,446546
802,477,456148
779,492,465607
744,503,474748
717,513,483435
686,524,491809
687,538,499771
661,550,507504
643,558,514750
659,569,521692
651,577,528368
618,589,534512
602,594,540360
619,598,546097
640,605,551409
648,618,556581
614,627,561428
547,636,565813
520,643,570214
502,647,574192
512,651,578118
502,661,581727
504,664,585056
513,669,588274
512,672,591231
503,678,594053
495,681,596718
478,684,599210
464,688,601545
444,689,603724
444,692,605826
418,695,607737
383,696,609507
369,702,611154
346,704,612796
341,707,614243
335,707,615654
324,712,616987
297,713,618220
268,716,619365
263,718,620369
266,719,621338
261,720,622233
269,720,623112
264,722,623997
249,722,624799
242,722,625454
233,727,626114
228,728,626706
229,729,627302
214,732,627850
222,735,628384
195,737,628875
194,738,629313
177,739,629725
150,741,630140
128,743,630507
120,743,630848
111,744,631164
113,746,631431
109,747,631677
98,747,631921
107,747,632142
100,747,632356
97,747,632550
95,748,632745
86,748,632950
80,748,633120
70,749,633282
62,750,633431
51,750,633565
58,750,633698
59,750,633805
48,750,633941
41,750,634056
38,750,634150
32,750,634241
38,750,634337
34,751,634411
34,751,634483
33,751,634555
33,751,634626
28,751,634687
28,751,634737
24,751,634793
24,751,634844
23,751,634888
18,751,634931
15,751,634965
16,751,634984
17,751,635023
17,751,635048
15,751,635079
13,751,635110
12,751,635147
9,751,635170
7,751,635207
6,751,635222
7,751,635238
6,751,635257
7,751,635278
7,751,635300
6,751,635306
5,751,635319
7,751,635334
5,751,635344
4,751,635347
6,751,635359
5,751,635369
3,751,635377
5,751,635386
5,751,635390
5,751,635402
4,751,635408
4,751,635415
3,751,635419
4,751,635423
4,751,635426
5,751,635428
1,751,635438
1,751,635441
1,751,635451
1,751,635453
2,751,635453
2,751,635456
2,751,635458
2,751,635463
2,751,635463
1,751,635464
0,751,635466
0,751,635467
