Susceptible,Exposed,Hospitalised,Death,Recovered
665069,350,0,0,0
664613,742,0,0,1
664127,1131,0,0,10
663501,1623,0,0,25
662742,2232,0,0,59
661835,2878,0,0,92
660707,3753,0,0,146
659325,4776,0,0,238
657683,5990,0,0,340
655646,7495,1,0,467
653297,9167,1,0,622
650314,11338,6,0,789
646733,13896,8,0,1046
642463,17013,9,0,1372
637430,20503,11,0,1799
631233,24859,18,0,2257
623705,30311,27,0,2903
614880,36462,31,0,3604
604629,43484,49,0,4468
592411,51965,56,0,5549
578080,61755,69,2,6852
561190,73294,81,2,8419
542021,86218,112,2,10283
533984,86745,116,3,12670
524609,88682,139,3,15380
514294,91469,184,4,18583
503201,94452,212,7,22024
491356,98220,263,8,25790
478618,102396,292,9,29826
465535,106732,357,9,34443
451753,111406,421,13,39319
437396,116024,448,20,44806
422663,120580,514,21,50724
407468,125291,584,21,57052
392345,129698,607,27,63820
376848,133930,666,30,71065
361328,137964,703,37,78633
345450,142175,726,42,86581
329959,145346,731,50,94981
314356,148239,719,58,104096
298739,150955,747,64,113430
283452,153213,787,71,123094
268481,154929,798,75,132993
253791,156140,773,81,143479
239680,157023,790,93,154166
226007,157355,762,104,165127
212735,157176,759,117,176462
200226,156246,789,130,187688
188247,154723,767,144,199356
176749,152860,748,156,211316
166008,150453,784,171,223410
155996,147573,741,183,235693
146525,144359,742,197,247918
137546,140723,764,209,260490
129192,137038,798,222,273450
121491,133100,771,233,285999
114216,128820,775,252,298396
107608,124351,794,270,310830
101409,119920,759,280,323234
95725,115393,757,299,335832
90470,110796,751,308,347871
85708,105862,767,327,359749
81301,101224,757,337,371556
77142,96594,770,346,383304
73389,92033,761,358,394669
69942,87615,782,371,405684
66697,83372,791,390,416750
63844,78976,731,403,427412
61205,74655,717,417,437579
58649,70701,734,436,447476
56451,66686,712,448,457255
54344,62932,697,458,466427
52441,59544,682,474,475533
50722,56090,680,488,484098
49143,52699,647,504,492358
47692,49604,645,518,500390
46378,46716,668,527,508046
45147,43924,659,539,515202
44021,41308,625,551,522152
42899,38866,625,559,528798
41911,36447,625,565,535022
41009,34230,668,570,540853
40149,32135,639,583,546416
39336,30144,624,598,551776
38654,28322,612,605,556787
37965,26585,618,610,561745
37350,24979,587,616,566213
36787,23404,567,622,570457
36245,21981,582,631,574309
35791,20520,577,635,577998
35382,19157,554,641,581600
35011,17862,517,644,584879
34634,16657,492,650,588017
34281,15579,468,655,590998
33972,14581,472,659,593884
33649,13697,451,666,596440
33341,12811,425,668,598913
33073,11992,430,672,601247
32852,11244,395,677,603450
32670,10509,395,682,605334
32464,9829,392,685,607348
32257,9193,373,688,609119
32060,8591,356,690,610856
31885,8025,342,697,612476
31746,7461,364,698,613920
31598,6954,353,700,615280
31463,6478,322,701,616591
31338,6025,331,701,617902
31214,5600,305,704,619079
31113,5252,290,704,620197
31028,4876,287,705,621150
30937,4531,252,707,622056
30849,4264,255,707,622863
30771,3983,233,711,623714
30700,3711,216,713,624494
30637,3444,201,717,625132
30568,3201,196,719,625799
30511,2985,195,719,626410
30451,2786,179,723,627027
30407,2570,181,723,627568
30361,2400,164,723,628047
30313,2257,142,724,628546
30260,2114,138,725,628959
30208,1993,148,725,629369
30168,1874,136,725,629739
30140,1730,142,726,630072
30107,1605,117,729,630436
30080,1482,106,729,630728
30057,1367,101,729,631014
30026,1278,104,729,631306
29997,1180,96,731,631538
29969,1085,91,732,631793
29943,1027,88,734,632029
29928,960,76,734,632229
29912,890,65,734,632400
29899,823,58,734,632595
29879,781,55,734,632755
29868,727,55,734,632917
29853,675,52,735,633048
29831,652,47,735,633189
29820,614,43,735,633307
29803,583,38,736,633432
29792,538,38,736,633549
29784,505,37,736,633655
29770,482,34,736,633752
29759,461,31,737,633827
29748,430,31,737,633925
29744,400,25,737,633984
29738,376,22,737,634050
29736,348,23,737,634119
29728,327,27,737,634182
29721,307,30,737,634244
29717,287,36,737,634301
29708,271,31,737,634344
29703,252,29,737,634383
29701,233,24,737,634414
29694,209,25,737,634457
29690,187,25,738,634496
29690,172,21,738,634535
29681,164,17,738,634585
29677,154,14,738,634612
29674,143,13,738,634631
29673,134,11,738,634657
29669,123,10,738,634679
29666,111,11,738,634711
29665,103,14,738,634734
29664,93,13,738,634763
29663,82,12,738,634784
29660,80,17,738,634807
29658,77,14,738,634820
29657,71,14,738,634850
29657,66,14,738,634868
29656,64,15,738,634885
29655,62,15,738,634897
29655,59,10,738,634911
29653,57,8,738,634921
29652,52,7,738,634937
29651,48,6,738,634948
29648,49,6,738,634951
29647,43,6,738,634959
29647,41,4,738,634972
29646,37,4,738,634976
29646,35,5,738,634983
29646,30,3,738,634987
29645,28,2,738,634996
29644,26,1,738,635001
29644,22,1,738,635005
29643,22,1,738,635008
29643,22,1,738,635023
29642,23,0,738,635028
29642,22,0,738,635029
29642,22,1,738,635037
29642,21,1,738,635037
29642,21,0,738,635039
29642,20,0,738,635039
29642,20,0,738,635039
29641,19,0,738,635040
29641,15,0,738,635040
29641,14,0,738,635041
