Susceptible,Exposed,Hospitalised,Death,Recovered
665071,346,0,0,0
664642,710,0,0,3
664109,1164,0,0,16
663469,1668,0,0,27
662664,2299,0,0,57
661705,3024,0,0,98
660606,3843,0,0,143
659218,4849,1,0,232
657479,6156,1,0,333
655431,7675,3,0,464
652932,9527,5,0,584
649930,11711,2,0,801
646301,14356,5,0,1062
642095,17278,10,0,1360
636911,20925,13,0,1757
630710,25365,22,0,2282
623364,30502,24,0,2848
614339,36867,32,0,3574
603676,44251,39,0,4448
591358,52801,53,0,5471
576796,62803,66,0,6846
559836,74380,88,0,8409
540309,87527,105,1,10425
532335,87962,118,3,12755
523060,89688,137,4,15431
512708,92483,163,5,18527
501529,95774,213,8,21947
489630,99447,271,10,25695
476842,103678,291,10,29844
463692,107781,364,13,34349
449818,112426,429,16,39290
435535,117113,486,20,44570
420746,121693,500,21,50515
405468,126530,570,25,56897
389933,131212,619,26,63543
374068,135810,658,32,70925
358192,139878,684,39,78593
342340,143648,688,46,86655
326576,146800,703,55,95146
310732,150091,708,65,104142
295090,152849,741,72,113475
279646,155225,756,85,123097
264616,156608,779,95,133171
250232,157571,771,103,143639
236061,158265,784,114,154461
222300,158197,757,132,165566
209180,157569,753,145,177035
196695,156454,785,152,188660
184798,154741,763,163,200453
173571,152564,746,175,212623
162810,150242,768,184,225119
153017,147062,750,200,237656
143589,143895,759,217,250419
135109,139823,740,230,263207
126951,135828,757,254,275889
119258,131880,777,268,288673
112284,127572,757,285,301151
105833,123109,747,297,313892
99746,118497,778,311,326312
94140,113981,752,325,338577
88976,109352,759,343,350834
84265,104546,761,352,362791
80003,99808,718,370,374800
76001,95214,736,390,386266
72404,90441,764,412,397757
69064,85988,780,424,408789
65977,81560,744,441,419839
63128,77379,724,458,430240
60453,73373,685,479,440289
58124,69426,666,494,450097
56008,65465,680,512,459861
54027,61817,690,533,469192
52154,58341,696,539,478111
50528,55005,697,553,486694
48878,51787,682,573,494780
47458,48863,673,584,502536
46106,45990,669,598,510005
44892,43246,654,606,517214
43713,40581,647,619,523932
42666,38177,633,626,530271
41696,35862,635,637,536494
40802,33625,600,650,542300
39978,31494,603,655,547810
39203,29489,583,660,553004
38533,27498,558,664,558039
37908,25752,558,669,562798
37300,24148,563,676,567169
36768,22510,559,685,571401
36217,21150,523,692,575419
35746,19791,521,701,579163
35336,18502,494,705,582680
34915,17352,481,708,585987
34534,16255,473,711,589138
34132,15193,448,714,592022
33792,14188,441,716,594662
33479,13306,418,720,597362
33212,12401,416,727,599761
32950,11563,415,729,602000
32713,10794,417,732,604029
32488,10068,406,735,605969
32288,9425,400,744,607913
32097,8780,390,746,609751
31929,8254,378,746,611493
31759,7729,359,748,613009
31617,7224,338,750,614439
31486,6768,334,752,615761
31346,6318,334,754,617065
31229,5840,322,756,618284
31121,5438,317,756,619350
31010,5099,290,756,620389
30919,4739,278,757,621372
30831,4440,253,760,622270
30757,4130,249,762,623107
30681,3866,255,762,623844
30623,3560,231,765,624614
30552,3328,219,769,625325
30495,3103,215,769,625926
30428,2901,200,769,626517
30375,2703,190,769,627120
30332,2519,174,770,627660
30284,2365,166,773,628151
30244,2201,152,773,628632
30207,2048,147,774,629034
30178,1905,147,774,629403
30136,1796,125,776,629786
30100,1679,117,776,630151
30066,1567,128,777,630493
30020,1471,108,777,630788
30001,1369,101,777,631055
29976,1289,106,777,631341
29949,1211,95,779,631589
29928,1147,86,780,631808
29907,1080,74,780,632034
29891,993,76,780,632219
29878,906,68,780,632372
29869,841,67,780,632546
29852,796,67,781,632702
29842,741,70,782,632833
29832,693,73,782,632991
29821,638,67,782,633143
29810,602,71,782,633265
29804,556,62,782,633382
29793,526,54,782,633508
29783,485,41,783,633609
29771,452,32,783,633704
29756,426,31,783,633785
29748,398,31,783,633870
29738,379,28,783,633947
29734,345,32,783,634009
29724,327,33,783,634068
29718,304,25,783,634135
29714,284,18,783,634190
29707,273,17,783,634255
29702,258,16,783,634304
29697,241,19,783,634355
29692,225,18,783,634402
29689,200,19,783,634451
29685,189,20,783,634482
29683,177,17,783,634510
29679,171,17,783,634544
29678,158,20,783,634590
29678,146,22,783,634613
29678,135,23,783,634636
29677,123,22,783,634662
29672,115,22,783,634676
29672,105,24,783,634695
29669,97,21,784,634714
29668,89,21,784,634743
29668,82,19,784,634767
29668,76,16,785,634784
29666,66,12,785,634802
29664,63,11,785,634818
29663,59,7,785,634837
29661,56,6,785,634850
29660,53,6,785,634861
29656,52,2,785,634877
29656,46,3,785,634888
29656,43,2,785,634906
29656,38,4,785,634912
29656,36,4,785,634920
29656,32,4,785,634922
29654,32,3,785,634931
29654,31,3,785,634935
29653,27,3,785,634940
29653,24,3,785,634941
29652,24,4,785,634949
29652,24,2,785,634955
29652,23,1,785,634960
29652,23,1,785,634962
29652,19,1,785,634965
29651,18,1,785,634967
29651,17,1,785,634969
29649,18,1,785,634975
29649,16,1,785,634977
29648,16,2,785,634979
29647,15,0,785,634981
29647,15,0,785,634982
29647,12,0,785,634987
29647,10,0,785,634989
