 day, S, E, H, R, D
0,600837.115,208.587,0.0,0.0,0.0
1,600601.087,413.205,0.0,0.396,0.0
2,600346.088,621.819,0.0,1.62,0.0
3,600064.041,843.288,0.0,4.023,0.0
4,599745.974,1084.204,0.0,7.914,0.0
5,599381.988,1353.783,0.002,13.499,0.0
6,598962.539,1659.527,0.023,21.388,0.0
7,598474.783,2011.564,0.104,31.98,0.0
8,597902.738,2422.183,0.281,46.182,0.002
9,597230.517,2902.101,0.667,64.347,0.002
10,596435.917,3470.448,1.296,87.415,0.007
11,595492.381,4148.01,2.198,116.846,0.016
12,594371.995,4951.995,3.488,153.767,0.032
13,593035.114,5914.608,5.252,198.912,0.056
14,591433.781,7071.975,7.465,254.205,0.097
15,589521.116,8458.197,10.526,321.514,0.162
16,587226.532,10126.856,14.322,403.455,0.237
17,584477.654,12127.561,18.976,501.705,0.363
18,581181.346,14533.509,24.675,620.731,0.509
19,577231.451,17418.742,31.372,763.739,0.702
20,572501.436,20874.455,39.576,934.939,0.979
21,566840.146,25013.775,49.324,1140.28,1.354
22,560081.251,29951.721,60.853,1386.134,1.85
23,555620.039,32248.165,74.384,1679.288,2.478
24,550277.439,35263.273,90.291,2028.932,3.294
25,544082.986,38909.257,108.574,2441.345,4.314
26,537058.618,43128.011,129.901,2922.594,5.63
27,529211.909,47862.453,154.7,3479.145,7.317
28,520528.97,53087.289,183.361,4122.898,9.513
29,511009.041,58775.033,216.512,4862.988,12.43
30,500634.595,64906.541,253.537,5711.281,16.219
31,489410.96,71442.738,294.227,6682.447,21.148
32,477308.32,78388.34,338.402,7784.159,27.563
33,464346.952,85691.096,385.502,9035.823,35.629
34,450518.608,93330.048,435.267,10451.485,45.863
35,435854.081,101253.415,485.907,12045.199,58.778
36,420382.08,109415.608,536.736,13829.361,74.581
37,404150.321,117746.442,586.459,15826.347,93.743
38,387206.167,126188.085,635.384,18050.494,116.896
39,369627.954,134653.79,681.35,20516.717,144.54
40,351514.316,143043.033,724.37,23247.082,177.172
41,332963.583,151266.767,763.799,26255.246,214.374
42,314102.66,159206.609,799.207,29560.014,257.705
43,295056.504,166756.754,831.124,33174.935,306.961
44,275965.754,173809.403,859.033,37125.68,362.979
45,256979.137,180245.266,883.299,41412.615,425.444
46,238244.636,185967.989,904.681,46055.588,495.192
47,219889.263,190891.595,923.263,51063.617,572.026
48,202071.116,194926.558,939.643,56450.636,656.701
49,184901.0,198026.718,954.252,62219.605,749.955
50,168486.798,200138.303,967.216,68379.475,851.668
51,152914.602,201260.953,979.463,74923.066,961.463
52,138268.09,201379.407,990.353,81863.005,1080.218
53,124580.017,200529.122,1001.336,89179.738,1206.9
54,111878.841,198750.904,1011.538,96881.168,1342.308
55,100183.826,196095.45,1021.002,104955.373,1487.274
56,89480.145,192639.399,1030.481,113380.016,1640.856
