Susceptible,Exposed,Hospitalised,Death,Recovered
809702,393,0,0,0
809154,868,0,0,9
808566,1341,0,0,18
807821,1944,0,0,34
806962,2588,0,0,74
805847,3432,0,0,116
804424,4519,0,0,180
802690,5837,1,0,255
800524,7448,2,0,383
797960,9326,2,0,550
794779,11649,0,0,745
791047,14312,2,0,981
786504,17588,4,0,1288
781088,21421,8,0,1667
774416,26122,18,0,2181
766563,31699,21,0,2787
757262,38187,29,0,3567
745914,46159,37,0,4479
732759,55282,53,0,5652
717051,66183,61,2,7015
698697,78739,78,2,8734
677310,93291,104,2,10770
652682,109594,128,5,13164
643073,109755,145,6,16185
631882,111349,185,7,19694
619591,114022,227,9,23621
606107,117661,273,11,28185
591525,122088,331,12,32887
575771,127276,383,16,38074
559684,132402,428,24,43779
543104,137723,477,29,49946
525617,143318,571,32,56782
507647,149001,622,45,64030
489470,154219,669,59,72021
471134,159230,694,71,80240
452096,164551,687,85,89130
433001,169565,713,109,98687
413998,173936,750,127,108770
394778,178235,773,143,119278
375914,181595,786,164,130496
357350,184464,776,184,141932
339026,187065,750,203,153646
321063,188876,803,228,165890
303643,189908,815,253,178489
286398,190737,789,279,191545
270101,190437,820,300,205006
254261,189863,828,332,218985
239161,188440,824,360,233189
224955,186230,783,392,247408
211040,184143,740,429,262074
198186,181238,837,462,276705
186120,177534,829,503,291781
174979,173336,869,541,306692
164421,168984,826,583,322166
154609,164102,835,612,337672
145540,159133,848,653,352892
136983,154034,836,698,368145
129041,148604,831,735,383528
121741,142985,766,771,398844
114853,137551,805,814,413812
108905,131771,824,854,428532
103225,126108,806,894,443270
97962,120604,846,923,457538
93133,115119,845,966,471482
88574,109791,808,998,485191
84552,104144,782,1031,498434
80734,98983,780,1060,511506
77229,94128,761,1097,524501
74031,89179,802,1139,536831
71036,84464,788,1167,548644
68285,79915,726,1200,560259
65826,75508,726,1235,571390
63530,71428,723,1269,581767
61441,67347,703,1306,592035
59532,63451,725,1340,602081
57776,59764,698,1369,611569
56133,56284,695,1392,620638
54667,52821,687,1415,629519
53304,49570,680,1440,637528
52032,46564,678,1456,645047
50890,43636,718,1480,652575
49819,40956,704,1500,659596
48844,38458,673,1523,666298
47950,35890,634,1542,672606
47113,33716,627,1553,678547
46329,31565,591,1569,684119
45614,29518,572,1584,689489
44918,27640,575,1602,694579
44301,25881,556,1611,699476
43734,24251,562,1623,703980
43172,22687,564,1640,708147
42685,21185,542,1652,712243
42180,19841,513,1658,716079
41759,18530,505,1669,719645
41358,17321,515,1682,723029
41009,16169,515,1687,726170
40690,15080,476,1697,729105
40350,14073,445,1703,731834
40057,13117,443,1709,734458
39777,12283,416,1713,736965
39498,11474,411,1728,739308
39247,10738,418,1732,741379
39032,10029,420,1740,743402
38824,9333,392,1743,745280
38639,8684,383,1745,747121
38458,8130,402,1749,748821
38296,7600,352,1758,750289
38147,7126,375,1763,751731
37988,6701,334,1769,753077
37855,6257,311,1771,754328
37720,5886,308,1775,755449
37616,5457,286,1779,756556
37494,5107,272,1782,757566
37405,4754,265,1784,758472
37309,4444,257,1784,759432
37228,4139,259,1784,760251
37157,3877,242,1787,761021
37086,3599,207,1790,761815
37023,3334,211,1793,762500
36953,3141,200,1796,763151
36875,2933,191,1797,763753
36827,2723,182,1800,764302
36776,2559,173,1804,764840
36730,2393,147,1806,765374
36689,2249,147,1806,765836
36646,2108,140,1808,766265
36608,1961,135,1809,766681
36580,1838,121,1810,767041
36537,1695,101,1810,767373
36513,1569,98,1810,767714
36480,1462,101,1811,768002
36451,1354,96,1812,768288
36430,1252,88,1812,768551
36399,1172,83,1812,768778
36385,1084,80,1813,769007
36359,1012,71,1813,769226
36340,942,68,1814,769419
36325,885,64,1814,769603
36304,838,58,1816,769773
36293,767,53,1816,769934
36281,712,55,1816,770089
36262,676,46,1817,770223
36245,637,40,1817,770357
36234,596,33,1817,770486
36215,573,39,1817,770611
36200,536,43,1817,770734
36187,500,52,1817,770850
36181,464,58,1817,770938
36169,428,52,1817,771024
36162,399,44,1818,771109
36157,374,41,1818,771175
36149,349,38,1818,771246
36142,326,34,1818,771308
36134,312,32,1819,771368
36129,289,34,1819,771426
36123,272,31,1819,771483
36120,258,28,1819,771532
36115,239,21,1819,771583
36110,221,21,1819,771625
36107,209,21,1819,771655
36103,190,15,1819,771692
36100,180,14,1819,771728
36099,169,15,1819,771772
36098,152,15,1820,771806
36095,146,17,1820,771842
36093,140,14,1820,771862
36089,132,14,1820,771886
36089,122,13,1820,771915
36087,111,17,1820,771941
36085,105,19,1820,771958
36080,101,18,1820,771988
36079,88,12,1820,772015
36077,82,12,1820,772027
36075,80,13,1820,772042
36073,75,13,1820,772055
36072,71,9,1820,772065
36071,66,8,1820,772072
36071,59,8,1820,772083
36071,53,4,1820,772097
36071,52,4,1820,772103
36071,47,4,1820,772116
36071,42,5,1820,772126
36069,41,2,1820,772139
36067,41,1,1820,772151
36067,35,1,1820,772155
36066,34,1,1820,772159
36066,31,1,1820,772162
36066,30,1,1820,772170
36066,27,2,1820,772174
36065,27,3,1820,772185
36065,24,3,1820,772185
36065,22,3,1820,772188
36065,20,2,1820,772191
36065,18,3,1820,772196
36064,19,3,1820,772199
36064,19,2,1820,772201
36064,19,2,1820,772204
36064,19,1,1820,772205
36064,19,1,1820,772205
