H,D,R
0,0,0
0,0,3
0,0,10
0,0,28
0,0,50
0,0,96
0,0,157
0,0,258
2,0,385
3,0,564
8,0,735
8,0,968
10,0,1297
11,0,1691
12,0,2162
13,0,2837
24,0,3605
38,0,4529
47,1,5723
57,1,7026
69,1,8730
99,1,10734
111,1,13221
143,4,16266
163,6,19693
189,7,23754
233,10,27992
291,13,32793
368,15,38035
446,22,43801
506,27,50145
536,37,56996
604,41,64327
669,54,72277
690,68,80779
720,75,89862
754,85,99392
800,100,109593
820,123,120145
797,143,131100
797,164,142662
817,181,154377
829,209,166930
813,240,179832
827,259,192756
819,286,206320
831,320,219977
820,353,233928
810,394,248496
773,439,263204
788,468,277701
829,504,292980
788,532,308112
816,567,323250
833,616,338740
821,655,354270
802,694,369440
825,734,384508
739,780,399830
751,819,415086
796,862,429881
751,904,444354
792,946,458383
780,988,472502
779,1028,486076
757,1058,499746
775,1094,512873
778,1132,525457
774,1165,537730
790,1192,549733
770,1222,561283
807,1250,572279
780,1274,582892
725,1300,593147
717,1327,602811
715,1355,612227
710,1378,621077
697,1401,629678
693,1428,637803
674,1456,645625
663,1479,652871
664,1499,659825
662,1528,666637
633,1550,672929
604,1571,678809
589,1590,684599
564,1620,689909
559,1638,694837
535,1650,699711
521,1662,704389
520,1673,708583
476,1687,712534
457,1697,716136
460,1712,719804
453,1716,723021
442,1719,726146
427,1729,729155
414,1739,731885
398,1747,734452
403,1752,736871
415,1761,739194
396,1771,741190
382,1778,743170
363,1784,745114
354,1787,746830
361,1788,748504
350,1795,749971
331,1799,751476
326,1803,752897
306,1812,754159
303,1818,755316
283,1825,756409
277,1828,757401
266,1832,758310
257,1835,759202
261,1839,760108
240,1845,760952
226,1847,761666
219,1851,762366
205,1854,763021
190,1856,763617
190,1856,764141
182,1858,764664
175,1859,765171
153,1863,765655
144,1864,766049
124,1867,766439
110,1867,766811
97,1870,767147
82,1870,767484
92,1871,767761
71,1874,768018
80,1874,768280
81,1874,768504
76,1876,768712
67,1876,768924
72,1878,769110
67,1878,769271
63,1878,769475
63,1879,769645
54,1880,769821
49,1881,769957
44,1881,770110
38,1882,770243
37,1882,770351
43,1883,770468
44,1883,770558
37,1884,770659
36,1884,770744
32,1884,770818
30,1884,770901
27,1885,770958
23,1885,771035
22,1885,771084
18,1885,771135
18,1885,771176
20,1885,771212
19,1885,771275
18,1885,771315
17,1885,771346
13,1887,771386
15,1887,771409
14,1887,771455
12,1887,771495
13,1887,771523
12,1887,771548
9,1887,771584
5,1887,771610
6,1887,771629
9,1887,771648
5,1888,771664
5,1888,771684
5,1888,771690
5,1888,771709
4,1888,771727
6,1888,771738
6,1888,771756
2,1888,771768
2,1888,771781
2,1888,771787
0,1888,771795
2,1888,771805
1,1888,771818
1,1888,771822
3,1888,771828
3,1888,771832
3,1888,771838
5,1888,771841
5,1888,771843
5,1888,771847
3,1888,771855
1,1888,771865
1,1888,771865
1,1888,771868
2,1888,771874
2,1888,771878
2,1888,771879
2,1888,771880
1,1888,771884
