H,D,R
0,0,0
0,0,4
0,0,17
0,0,44
0,0,74
0,0,121
0,0,194
0,0,271
2,0,412
4,0,564
3,0,778
4,0,1004
6,0,1343
9,0,1796
20,0,2308
24,0,2905
30,1,3674
32,1,4542
55,1,5706
72,1,7230
78,1,9007
97,2,11112
115,4,13698
125,7,16748
154,8,20314
191,10,24301
231,13,28913
277,18,33806
342,20,39163
397,29,45161
447,37,51584
529,49,58573
586,58,66395
647,69,74667
691,81,83255
744,102,92450
756,111,102010
786,135,112541
791,159,123502
806,179,134843
789,205,146639
773,225,158730
795,253,171328
813,283,184559
818,324,197899
854,359,211616
836,386,225619
831,418,240134
810,456,254872
831,491,269629
846,529,284595
839,568,299694
809,607,315073
808,644,330475
831,678,346091
832,715,361557
840,749,376993
813,774,392305
810,804,407384
776,846,422256
788,872,436876
786,911,451312
787,950,465682
779,991,479907
753,1024,493930
780,1052,507088
768,1097,520132
769,1136,532542
751,1173,544595
757,1213,556354
735,1250,567591
755,1278,578381
750,1309,588878
761,1340,598999
751,1359,608761
751,1392,618131
730,1418,627027
692,1442,635472
673,1465,643514
682,1485,651091
678,1500,658211
655,1515,665148
651,1537,671481
627,1552,677591
633,1566,683331
633,1588,688862
629,1600,693941
586,1623,698810
563,1642,703305
559,1660,707734
537,1677,711785
516,1689,715566
504,1697,719048
494,1709,722567
496,1725,725660
487,1731,728667
464,1739,731579
439,1741,734185
421,1746,736570
404,1751,739005
387,1761,741161
391,1771,743152
381,1779,745025
379,1783,746895
356,1788,748522
371,1794,750155
366,1801,751540
333,1809,752853
328,1817,754194
321,1821,755369
302,1823,756425
268,1830,757441
271,1836,758476
262,1840,759400
229,1846,760278
227,1850,761090
198,1850,761866
192,1852,762557
186,1855,763231
181,1858,763849
163,1861,764393
157,1861,764919
145,1862,765437
139,1864,765907
137,1867,766390
123,1867,766789
122,1868,767130
130,1870,767501
132,1870,767837
121,1872,768119
103,1872,768389
98,1873,768649
85,1874,768926
70,1876,769175
61,1878,769375
63,1878,769573
62,1879,769765
64,1880,769954
56,1880,770102
57,1882,770255
50,1882,770372
50,1883,770504
52,1884,770615
51,1886,770750
43,1887,770857
43,1887,770950
42,1888,771052
43,1888,771156
42,1888,771208
40,1888,771280
36,1888,771364
37,1890,771418
29,1890,771483
25,1890,771546
21,1890,771603
14,1892,771645
13,1892,771682
18,1892,771718
20,1893,771761
20,1893,771788
19,1893,771828
16,1894,771862
18,1894,771905
14,1894,771938
12,1894,771966
16,1894,771997
17,1894,772028
10,1894,772055
9,1894,772093
9,1894,772110
8,1894,772124
8,1894,772137
7,1894,772150
7,1894,772168
4,1894,772180
5,1894,772189
6,1894,772206
6,1894,772219
6,1894,772228
4,1894,772238
3,1894,772248
1,1894,772254
2,1894,772261
3,1894,772269
0,1894,772273
0,1894,772275
0,1894,772279
1,1894,772287
1,1894,772290
1,1894,772293
1,1894,772296
1,1894,772298
1,1894,772301
1,1894,772304
1,1894,772309
1,1894,772309
1,1894,772316
1,1894,772317
1,1894,772322
