H,D,R
0,0,0
0,0,3
0,0,15
0,0,28
0,0,58
0,0,92
1,0,147
2,0,232
1,0,318
5,0,448
4,0,615
5,0,830
6,0,1058
12,0,1373
21,0,1795
24,0,2359
24,1,2966
30,1,3750
47,1,4717
53,2,5890
75,2,7258
81,3,8903
101,3,10941
131,4,13351
167,5,16312
190,5,19628
215,6,23352
254,6,27356
298,7,31776
369,10,36740
418,12,42167
496,13,48007
530,17,54421
581,21,61297
643,27,68758
698,36,76808
708,40,85293
747,48,94238
783,54,103445
794,66,113177
797,73,123223
820,84,133790
816,94,144802
823,108,155878
815,116,167386
811,124,179315
824,136,191410
837,148,203653
775,166,216095
771,180,228780
789,194,241447
770,208,254275
780,227,267330
803,241,280487
807,260,293291
810,276,306084
766,292,318615
697,310,331178
730,322,343666
721,340,356070
718,355,367883
694,375,379567
699,388,391353
702,404,402594
679,414,413376
643,423,423875
653,437,434011
662,452,443868
649,464,453589
643,476,462815
652,494,471648
659,509,480049
647,521,488038
618,536,495774
584,546,502967
576,555,509684
584,562,516417
582,565,522648
564,573,528609
571,577,534204
545,586,539374
529,592,544445
530,596,549115
539,603,553500
526,615,557723
500,623,561694
512,625,565381
480,629,568869
442,633,572087
453,641,575144
446,645,578061
443,646,580877
435,654,583502
413,657,585997
401,662,588247
392,664,590335
392,666,592231
377,670,594005
358,671,595632
334,675,597207
333,676,598730
336,676,600158
310,677,601448
291,680,602550
257,683,603668
259,684,604692
240,685,605706
211,689,606644
209,691,607408
197,693,608264
177,694,608994
184,696,609624
173,697,610246
168,698,610863
163,700,611461
150,701,611988
159,703,612461
155,704,612950
146,706,613404
129,706,613812
132,706,614183
131,706,614489
125,707,614786
101,708,615071
100,710,615353
95,710,615614
88,711,615850
80,711,616082
90,711,616269
83,711,616471
77,711,616640
72,711,616798
61,711,616945
57,712,617105
43,712,617241
46,712,617375
48,712,617510
43,712,617628
34,712,617726
34,712,617814
35,712,617898
40,713,617990
35,713,618072
33,713,618141
35,713,618213
36,713,618268
33,713,618317
31,713,618377
30,713,618412
28,713,618450
29,713,618491
22,713,618547
19,713,618589
14,713,618633
20,713,618658
17,713,618702
17,713,618725
15,713,618756
16,713,618789
11,713,618806
10,713,618832
10,713,618851
6,713,618866
6,713,618882
4,713,618891
4,713,618901
7,713,618922
7,713,618936
10,713,618950
7,714,618966
6,714,618977
5,714,618986
6,714,618997
4,714,619008
5,714,619015
5,714,619016
6,714,619030
4,714,619035
2,714,619041
0,714,619046
2,714,619055
3,714,619060
3,714,619062
3,714,619065
4,714,619067
4,714,619073
4,714,619074
3,714,619080
3,714,619080
1,714,619085
0,714,619087
0,714,619089
0,714,619093
0,714,619095
0,714,619097
0,714,619102
0,714,619102
0,714,619104
1,714,619108
