Susceptible,Exposed,Hospitalised,Death,Recovered
637909,334,0,0,0
637492,699,0,0,0
636997,1103,0,0,12
636375,1594,0,0,36
635603,2186,0,0,69
634743,2832,0,0,101
633607,3671,0,0,138
632116,4770,0,0,196
630344,6072,1,0,306
628204,7662,2,0,444
625699,9487,2,0,613
622525,11782,6,0,831
618753,14569,5,0,1088
614293,17799,5,0,1434
608880,21638,13,0,1879
602465,26181,18,0,2345
594731,31625,21,0,2945
585545,38083,30,0,3678
574530,45729,31,0,4560
561623,54674,46,0,5710
546639,64879,49,0,7033
528890,77001,85,0,8749
508452,90627,82,0,10728
499364,91781,104,0,13067
488708,94577,132,0,15942
476994,98207,184,2,19171
464733,101937,218,6,22722
451453,106462,256,7,26839
437346,111433,316,11,31241
422928,116324,361,12,36028
407626,121675,430,15,41369
392207,126566,459,20,47099
376128,131769,524,27,53429
359803,136922,559,31,60002
343620,141315,598,37,67282
327325,145483,649,43,74834
311309,148898,708,50,83069
294901,152527,764,58,91477
278888,155449,810,68,100603
263147,157908,791,80,110158
247655,159742,790,90,119986
232473,161013,792,101,130430
217846,161772,776,118,141193
203825,161811,767,125,152347
190489,161047,774,136,163909
177818,159747,797,146,175532
165810,157909,800,153,187651
154301,155940,818,164,199798
143685,153038,818,175,212097
133618,149733,781,188,224683
124192,146417,783,201,237303
115426,142688,752,218,250096
107324,138476,762,233,262785
99911,133901,789,248,275800
93039,129234,822,273,288462
86765,124339,810,291,301333
80948,119480,812,303,314363
75674,114464,817,326,326964
70777,109568,820,344,339781
66348,104636,822,356,352032
62261,99894,767,373,364245
58590,94955,752,397,376140
55197,90076,755,411,387958
52187,85219,741,429,399030
49439,80652,767,448,410142
46771,76327,762,458,420642
44458,71885,745,474,431140
42401,67758,759,487,441179
40420,63875,756,502,450907
38673,60047,709,511,459987
37040,56497,700,527,468768
35608,52996,685,535,477016
34244,49882,646,545,485237
33013,46765,661,558,492923
31841,43863,616,565,500220
30784,41064,606,586,507409
29832,38416,596,600,513973
28931,36020,591,612,520312
28134,33765,566,618,526250
27349,31568,554,626,531919
26689,29506,551,634,537294
26104,27621,531,646,542356
25507,25841,538,652,547270
25007,24093,535,664,551936
24505,22529,502,669,556348
24085,21049,521,673,560345
23709,19632,542,681,564246
23330,18300,507,683,567796
22992,17021,474,687,571136
22659,15901,436,692,574306
22393,14808,435,695,577209
22137,13766,415,700,579942
21866,12833,405,705,582486
21634,11965,393,708,584981
21391,11202,382,715,587342
21197,10461,355,719,589374
20976,9806,363,722,591237
20803,9153,343,725,593103
20649,8484,320,726,594904
20487,7882,319,731,596525
20367,7298,325,735,598064
20241,6771,302,737,599506
20102,6304,295,740,600860
19997,5878,288,741,602021
19897,5482,270,743,603122
19807,5134,248,743,604205
19710,4795,248,745,605197
19637,4449,245,746,606147
19556,4141,236,746,606995
19494,3888,228,749,607749
19435,3593,228,749,608514
19379,3346,214,749,609213
19333,3097,183,750,609883
19288,2880,174,751,610505
19244,2672,166,751,611111
19191,2520,182,752,611665
19153,2326,169,753,612198
19107,2171,176,753,612629
19066,2018,163,755,613073
19044,1869,149,756,613493
19015,1738,136,756,613867
18971,1637,136,756,614193
18942,1510,118,757,614535
18922,1411,115,757,614851
18898,1315,97,757,615129
18878,1217,105,758,615376
18856,1135,98,760,615640
18828,1091,85,760,615865
18807,1018,72,760,616076
18794,944,76,760,616290
18778,883,68,762,616463
18761,822,71,762,616645
18751,763,63,762,616807
18734,723,55,762,616949
18723,659,54,762,617081
18711,596,51,762,617222
18702,554,57,762,617349
18691,526,49,762,617459
18688,494,39,763,617549
18680,467,36,763,617635
18668,443,35,763,617714
18657,410,37,764,617797
18651,376,27,764,617865
18647,338,27,764,617937
18643,308,24,764,618028
18636,276,20,764,618088
18633,255,17,765,618144
18629,234,18,765,618209
18624,220,16,767,618262
18622,203,19,767,618306
18618,188,17,767,618346
18611,176,14,767,618389
18608,161,15,767,618427
18606,149,12,768,618466
18603,142,13,768,618490
18602,126,13,769,618518
18597,121,11,769,618547
18595,114,8,770,618589
18594,105,8,770,618617
18594,96,12,771,618639
18592,90,12,772,618656
18591,83,10,772,618681
18589,80,9,772,618703
18589,69,8,772,618721
18588,61,7,772,618735
18587,54,8,772,618748
18587,49,6,772,618766
18586,46,4,772,618772
18584,42,4,772,618780
18584,40,5,772,618791
18584,35,0,772,618812
18584,29,1,772,618820
18584,26,1,772,618826
18583,26,2,772,618838
18581,26,2,772,618848
18581,24,1,772,618855
18580,23,1,772,618860
18579,24,1,772,618871
18579,21,2,772,618876
18577,22,2,772,618879
18577,21,2,772,618882
18575,22,2,772,618885
18575,19,1,772,618889
18574,20,1,772,618891
18574,17,1,772,618895
18573,14,1,772,618901
18572,13,0,772,618905
18572,10,0,772,618908
18572,8,0,772,618909
18572,6,0,772,618912
18572,5,0,772,618918
18572,3,0,772,618921
18572,3,0,772,618924
18572,3,0,772,618924
18572,3,0,772,618924
18572,3,0,772,618924
18571,4,1,772,618925
18570,5,1,772,618925
18569,6,1,772,618926
