Susceptible,Exposed,Hospitalised,Death,Recovered
637888,367,0,0,0
637480,698,0,0,2
637005,1098,0,0,14
636382,1613,0,0,36
635603,2228,0,0,63
634705,2903,0,0,105
633538,3805,1,0,153
632201,4779,1,0,218
630531,6015,1,0,332
628456,7583,1,0,437
625913,9466,1,0,574
622959,11537,3,0,790
619272,14234,4,0,1084
614869,17357,8,0,1428
609590,21070,16,0,1774
603074,25665,18,0,2244
595123,31383,22,0,2876
585776,37923,35,0,3637
574687,45742,57,0,4509
561607,54800,73,0,5585
546432,65191,103,2,7035
528820,77115,106,3,8631
508590,90672,124,4,10617
499584,91939,141,4,12987
489155,94266,156,4,15872
477379,97713,190,7,19174
464598,102122,238,10,22691
451287,106570,294,13,26834
437165,111560,339,14,31164
422778,116349,398,16,35914
407441,121708,429,21,41192
392007,126648,489,27,46992
375981,131694,574,28,53280
359912,136402,599,34,60063
343618,140937,668,39,67130
327178,145102,680,48,74781
310888,148814,666,52,82978
294456,152425,693,59,91487
278465,155448,740,64,100714
262921,157511,752,72,110324
247680,159135,802,82,120502
232784,160164,798,93,130848
218149,161000,761,103,141746
204336,160838,741,112,152767
190968,160053,767,122,164211
178291,158904,796,132,175990
166255,157130,797,146,187965
154879,155057,832,157,200017
144277,152423,797,175,212346
134257,149311,817,189,224958
124804,146102,774,204,237794
116093,142275,821,222,250584
108015,138156,793,241,263529
100557,133662,846,261,276582
93646,128801,849,275,289638
87320,123946,824,289,302477
81430,119060,821,304,315227
75991,114316,809,320,327728
71070,109422,812,336,340127
66540,104574,783,346,352476
62547,99397,799,365,364273
58903,94413,792,385,375911
55383,89640,787,401,387334
52267,85005,753,416,398721
49452,80507,724,428,410012
46782,76249,738,441,420510
44400,72018,669,456,430741
42235,68124,636,471,440761
40313,64266,644,482,450341
38488,60616,660,496,459411
36866,57125,667,508,468243
35440,53604,634,519,476789
34095,50172,650,532,484796
32842,47205,635,548,492585
31785,44180,636,560,500117
30801,41381,631,568,507159
29854,38682,638,578,514011
28976,36182,614,590,520366
28192,33861,604,598,526152
27467,31601,592,610,531959
26762,29533,593,619,537357
26138,27527,578,625,542355
25543,25780,575,634,547080
25016,24074,562,641,551688
24535,22466,512,647,555901
24074,21033,504,655,560018
23677,19577,494,657,563787
23290,18300,508,663,567311
22948,17057,513,664,570692
22653,15990,507,666,573880
22375,14866,489,669,576827
22078,14006,460,676,579614
21805,13038,446,679,582377
21579,12092,415,686,584910
21332,11294,425,692,587178
21151,10482,396,695,589275
20996,9773,369,695,591292
20829,9100,381,696,593106
20669,8467,342,700,594926
20513,7898,342,704,596519
20365,7338,298,709,598066
20249,6818,302,712,599518
20146,6334,302,713,600820
20036,5919,290,715,601983
19936,5543,302,716,603101
19847,5135,298,716,604219
19770,4805,269,718,605189
19697,4434,256,719,606075
19627,4135,249,719,606930
19563,3823,221,719,607790
19502,3579,214,719,608634
19437,3316,189,721,609304
19392,3087,186,721,609964
19337,2886,180,724,610578
19284,2712,161,724,611085
19233,2539,155,725,611624
19187,2389,144,726,612140
19148,2224,153,728,612599
19114,2084,132,728,613012
19080,1956,134,729,613429
19048,1823,129,729,613787
19023,1706,125,731,614154
18992,1588,123,731,614496
18967,1477,112,732,614805
18950,1361,87,732,615091
18920,1270,85,732,615367
18899,1181,98,732,615598
18882,1068,87,733,615801
18859,1007,82,733,616008
18837,928,83,734,616204
18819,854,71,734,616404
18805,784,67,734,616565
18787,733,56,735,616717
18773,689,49,736,616847
18760,645,42,736,616982
18754,597,48,736,617121
18738,567,37,737,617261
18729,520,38,737,617395
18719,476,46,737,617516
18712,443,39,738,617629
18706,416,45,738,617736
18695,394,51,739,617822
18694,366,47,739,617882
18691,346,42,739,617968
18688,310,39,739,618048
18687,281,39,739,618115
18682,267,33,739,618175
18678,243,29,739,618228
18676,212,23,739,618287
18671,204,24,739,618323
18669,194,25,739,618363
18669,171,23,739,618403
18668,157,14,739,618441
18666,142,17,739,618475
18661,131,15,739,618506
18660,122,14,739,618536
18659,117,13,739,618570
18656,110,10,740,618592
18653,104,8,740,618610
18653,97,5,740,618628
18652,93,6,740,618651
18647,89,5,740,618666
18641,88,5,740,618681
18640,78,3,740,618699
18637,74,2,741,618711
18633,71,2,741,618725
18632,64,0,741,618739
18630,63,1,741,618755
18629,58,1,741,618766
18628,55,2,741,618777
18628,47,2,741,618789
18628,45,6,741,618799
18628,43,5,741,618811
18628,40,5,741,618815
18627,38,5,741,618822
18627,35,6,741,618825
18626,31,6,741,618826
18625,30,5,741,618831
18625,26,6,741,618844
18625,26,3,741,618850
18624,25,1,741,618854
18623,22,1,741,618856
18623,20,0,741,618862
18623,19,0,741,618866
18623,19,0,741,618869
18623,18,0,741,618872
18623,17,0,741,618877
18623,17,1,741,618880
18623,16,1,741,618884
18622,16,2,741,618888
18622,14,1,741,618893
18622,13,1,741,618893
18622,12,1,741,618893
18621,12,1,741,618894
18621,8,0,741,618898
18620,8,0,741,618900
18620,8,0,741,618900
18620,7,0,741,618900
18620,5,0,741,618901
