H,D,R
0,0,0
0,0,3
0,0,20
0,0,31
0,0,64
0,0,92
0,0,135
0,0,213
0,0,321
0,0,446
3,0,619
6,0,832
8,0,1087
11,0,1420
12,0,1842
18,0,2363
21,0,2961
34,0,3720
41,0,4675
45,0,5800
63,0,7147
103,0,8730
123,1,10759
162,1,13125
182,1,16020
230,1,19382
259,1,23049
279,2,27090
319,5,31449
376,5,36026
424,8,41200
499,11,46923
512,15,53231
552,18,59756
640,21,67050
684,28,74830
710,33,83051
748,42,91575
724,47,100688
746,59,110234
732,74,120069
757,79,130302
791,90,140812
806,101,151763
812,107,163143
847,114,174931
825,132,186536
844,144,198619
829,157,211098
843,175,223770
838,189,236388
844,209,249378
846,222,262137
850,230,275126
773,245,287971
769,260,300704
783,275,313594
763,297,326013
781,311,338665
738,326,351257
780,337,363156
766,350,375053
755,359,386708
717,371,398024
697,390,408995
696,408,419559
701,425,429983
665,438,439953
632,456,449719
614,468,458904
653,479,467771
635,489,476250
618,499,484352
602,511,492325
608,526,499706
611,535,506726
610,544,513378
589,551,519686
575,555,525780
580,566,531408
574,580,536819
568,590,541935
582,601,546757
579,615,551393
540,625,555691
515,632,559802
457,638,563474
477,641,567110
458,649,570487
453,654,573481
469,657,576452
453,661,579269
433,665,581784
408,666,584291
400,673,586600
378,673,588777
351,675,590793
338,678,592656
354,679,594373
352,685,595998
356,690,597561
348,694,599007
321,696,600400
299,696,601596
285,697,602822
283,698,603862
281,698,604851
252,701,605749
222,703,606621
206,705,607396
211,707,608243
217,707,608933
226,711,609565
214,713,610203
207,714,610800
187,716,611377
153,717,611894
142,718,612361
139,719,612829
135,721,613259
114,721,613661
107,722,613987
108,722,614327
100,722,614611
90,722,614876
84,723,615142
83,723,615350
79,723,615593
82,725,615822
73,725,616012
61,725,616210
60,726,616409
51,726,616563
48,727,616710
36,727,616854
31,728,616960
24,728,617080
30,728,617172
33,728,617279
31,728,617356
33,728,617450
33,728,617523
29,728,617598
27,728,617687
27,728,617765
19,729,617844
22,729,617906
25,729,617959
23,729,618008
25,729,618056
24,730,618099
26,730,618145
19,730,618194
17,730,618241
13,730,618273
13,730,618311
8,730,618344
8,731,618361
6,731,618384
8,731,618405
8,731,618430
5,731,618441
7,731,618454
9,731,618467
8,731,618490
5,731,618520
5,731,618529
4,731,618547
4,731,618555
3,731,618561
4,731,618573
4,731,618577
4,731,618584
5,731,618592
5,731,618598
3,732,618603
4,732,618608
6,732,618615
6,732,618621
6,732,618628
5,732,618634
3,732,618640
3,732,618640
3,732,618640
4,732,618647
4,732,618650
4,732,618653
3,732,618658
2,732,618661
0,732,618667
0,732,618670
1,732,618673
1,732,618673
1,732,618674
1,732,618674
1,732,618677
3,732,618680
3,732,618680
2,732,618681
