H,D,R
0,0,0
0,0,6
0,0,28
0,0,55
0,0,116
0,0,199
0,0,328
0,0,456
0,0,646
2,0,862
2,0,1146
10,0,1491
12,0,1941
17,0,2498
28,0,3136
36,0,3951
56,0,4922
55,0,6140
73,0,7533
96,0,9215
129,0,11302
165,0,13778
206,1,16610
262,1,20012
303,2,24128
361,2,28895
423,5,34303
511,8,40192
567,12,46762
667,14,54054
760,17,61977
854,17,71034
942,19,80806
1018,25,91660
1056,29,103312
1177,30,116040
1219,31,129834
1282,35,144289
1321,38,159689
1405,47,176237
1474,54,193721
1503,62,211753
1538,66,230773
1590,76,250676
1639,87,271955
1611,101,293587
1665,112,315713
1640,127,338592
1669,143,362264
1657,159,386323
1667,168,410562
1735,182,435199
1782,200,460192
1762,216,485721
1724,235,511190
1725,252,536502
1702,267,561909
1693,284,587340
1657,298,612514
1672,319,637521
1706,328,661974
1731,342,686059
1751,357,709643
1729,374,732601
1708,391,755164
1718,409,777133
1715,428,798389
1709,438,819348
1689,455,839625
1690,464,859239
1652,475,878207
1677,486,896429
1659,503,913956
1642,517,930580
1597,530,946655
1588,541,961879
1524,553,976224
1518,559,990252
1520,568,1003626
1469,578,1016251
1506,593,1028185
1413,606,1039485
1384,612,1050330
1332,618,1060566
1353,627,1070232
1284,634,1079360
1293,641,1087945
1280,646,1096114
1229,653,1103674
1137,657,1110876
1128,662,1117637
1127,665,1123904
1103,668,1129896
1062,671,1135425
1036,675,1140468
1017,678,1145511
984,681,1150191
942,685,1154579
922,689,1158580
912,692,1162396
881,696,1165943
820,697,1169314
841,700,1172397
781,703,1175289
760,707,1177951
729,712,1180560
671,713,1183018
687,715,1185263
670,715,1187435
634,718,1189350
607,721,1191206
584,722,1192895
549,722,1194496
538,722,1195921
486,723,1197323
466,724,1198633
463,724,1199852
424,724,1200986
415,726,1202099
384,726,1203076
362,726,1204014
337,728,1204916
324,728,1205703
312,729,1206452
296,729,1207184
281,729,1207772
284,730,1208435
255,730,1209034
252,730,1209570
229,730,1210057
209,730,1210519
189,730,1210952
168,730,1211377
175,730,1211750
170,730,1212100
146,731,1212395
134,731,1212670
121,731,1212986
110,731,1213252
95,731,1213494
94,731,1213717
88,731,1213924
80,732,1214109
70,732,1214307
77,732,1214486
78,732,1214653
70,732,1214779
61,732,1214939
55,732,1215055
46,732,1215177
46,732,1215312
45,732,1215438
43,732,1215550
43,732,1215631
41,732,1215721
35,732,1215816
34,732,1215876
35,732,1215951
29,732,1216022
24,732,1216082
18,732,1216132
19,732,1216182
16,732,1216232
20,732,1216271
16,732,1216309
15,732,1216347
17,732,1216389
14,732,1216420
7,732,1216454
10,732,1216477
11,732,1216509
10,732,1216542
12,732,1216559
12,732,1216582
7,732,1216610
4,732,1216633
5,732,1216653
7,732,1216665
5,732,1216682
3,732,1216702
8,732,1216721
6,732,1216727
5,732,1216741
3,732,1216750
2,732,1216761
3,732,1216769
4,732,1216776
5,732,1216782
4,732,1216791
3,732,1216798
3,732,1216806
0,732,1216815
3,732,1216820
4,732,1216822
4,732,1216823
5,732,1216831
4,732,1216837
4,732,1216846
3,732,1216850
