H,D,R
0,0,0
0,0,6
0,0,24
0,0,63
0,0,117
0,0,184
0,0,298
0,0,444
0,0,644
2,0,897
3,0,1188
8,0,1547
9,0,1974
14,0,2500
35,0,3194
48,1,4022
60,1,5016
86,1,6281
96,1,7712
125,1,9464
152,1,11597
188,1,14110
231,1,17240
292,1,20723
353,2,24983
380,5,29810
424,6,35294
489,6,41396
563,8,48185
630,9,55615
742,9,64069
809,9,73297
895,13,83262
974,15,94074
1059,21,105887
1147,26,118514
1233,33,132363
1322,38,147177
1358,45,162845
1357,49,179387
1386,52,197085
1432,59,215656
1449,67,234968
1494,76,255241
1494,84,276332
1570,97,297815
1611,108,320125
1617,116,343091
1663,128,366612
1678,134,390672
1632,145,415162
1658,155,439970
1749,168,464931
1801,175,490132
1733,186,516123
1780,199,541754
1744,212,566910
1772,221,592136
1768,236,617630
1792,247,642480
1800,261,666866
1743,277,691214
1703,297,714916
1682,314,738146
1689,325,760649
1703,334,782601
1691,350,803781
1673,365,824661
1675,378,844791
1698,384,864367
1690,394,883274
1674,407,901447
1644,423,918718
1641,435,935412
1550,446,951394
1560,456,966515
1586,465,980806
1557,475,994687
1530,485,1007645
1535,497,1019956
1543,507,1032006
1538,523,1043171
1398,530,1053848
1373,537,1063694
1376,542,1073252
1374,548,1082154
1335,552,1090421
1305,558,1098364
1264,560,1105989
1229,562,1113092
1212,568,1119660
1174,575,1125887
1147,579,1131687
1104,582,1137208
1043,584,1142260
1017,586,1147008
991,589,1151504
981,591,1155753
930,595,1159749
891,598,1163398
867,599,1166799
831,602,1169977
800,605,1173116
781,606,1176011
797,607,1178767
790,610,1181324
754,611,1183755
714,611,1185967
695,615,1188019
662,615,1190020
613,619,1191845
576,619,1193505
561,622,1195008
542,623,1196445
513,624,1197912
471,626,1199137
431,626,1200303
414,627,1201427
382,630,1202550
379,632,1203448
343,634,1204379
333,635,1205177
305,635,1205960
281,636,1206645
264,636,1207342
277,636,1207979
266,637,1208491
263,638,1209024
252,639,1209556
223,639,1210036
198,639,1210478
194,640,1210915
202,640,1211244
189,640,1211622
176,641,1211971
172,641,1212261
133,642,1212582
126,642,1212875
103,642,1213165
92,642,1213420
102,642,1213638
99,642,1213864
103,642,1214048
95,642,1214230
88,642,1214416
86,642,1214568
72,642,1214727
64,642,1214848
65,642,1214970
54,643,1215094
57,643,1215193
56,643,1215290
46,643,1215394
42,643,1215473
48,643,1215556
45,643,1215626
37,643,1215716
30,643,1215774
28,643,1215840
27,643,1215887
26,643,1215943
28,643,1216001
27,643,1216048
26,643,1216082
23,643,1216120
17,643,1216159
17,643,1216195
13,643,1216225
9,644,1216254
6,644,1216273
10,644,1216306
11,644,1216339
11,644,1216370
10,644,1216390
7,644,1216405
6,644,1216424
7,644,1216439
7,644,1216459
5,644,1216479
5,644,1216489
6,644,1216499
12,644,1216509
6,644,1216527
7,644,1216540
6,644,1216549
5,644,1216562
5,644,1216572
5,644,1216580
4,644,1216590
3,644,1216594
4,644,1216597
2,644,1216606
2,644,1216609
0,644,1216623
0,644,1216625
0,644,1216628
0,644,1216639
0,644,1216645
3,644,1216650
