H,D,R
0,0,0
0,0,3
0,0,37
0,0,92
0,0,175
0,0,259
0,0,359
2,0,490
2,0,671
3,0,916
5,0,1195
8,0,1549
14,0,1942
22,0,2465
31,0,3116
29,0,3932
49,0,4922
44,0,6133
67,0,7503
95,0,9241
129,0,11338
161,1,13843
183,1,16850
238,1,20478
292,2,24655
310,3,29605
387,3,34922
468,3,40972
548,4,47780
651,8,55174
725,12,63426
845,12,72772
948,13,82692
1022,16,93750
1153,20,105509
1223,22,118507
1321,27,132341
1306,36,147029
1367,41,162595
1449,48,179174
1463,55,196841
1483,60,215320
1519,71,234511
1589,82,254705
1591,86,275804
1589,97,297516
1625,104,319923
1609,120,343214
1642,134,366774
1689,143,390821
1685,159,415455
1758,172,440008
1721,190,465378
1715,207,490980
1753,220,516612
1701,238,542474
1704,254,567655
1718,267,593009
1794,276,618107
1804,292,643456
1789,312,668154
1761,335,692264
1769,348,715975
1826,367,739032
1766,376,761775
1758,389,783857
1750,401,805596
1759,414,826128
1744,432,846389
1727,439,865576
1688,455,884344
1625,473,902386
1597,484,919655
1577,490,936379
1558,500,952553
1594,510,967887
1501,523,982447
1522,534,996187
1477,544,1009220
1464,553,1021499
1497,557,1033244
1450,566,1044388
1456,577,1054848
1451,591,1065011
1319,599,1074490
1330,607,1083296
1263,609,1091747
1249,616,1099518
1209,621,1106982
1166,627,1113971
1172,635,1120429
1185,639,1126743
1239,644,1132509
1210,646,1138034
1132,650,1143226
1059,654,1148048
1012,655,1152340
938,662,1156689
890,665,1160627
882,670,1164293
856,671,1167857
809,671,1171025
769,674,1174153
762,680,1176981
742,682,1179678
676,683,1182220
626,684,1184559
612,687,1186794
577,688,1188835
580,690,1190657
557,691,1192398
523,693,1194074
495,693,1195604
509,695,1197000
487,695,1198348
469,696,1199543
446,697,1200721
411,699,1201859
413,699,1202843
393,699,1203820
371,702,1204688
367,702,1205505
329,703,1206334
324,705,1207118
299,707,1207829
278,707,1208430
275,707,1209016
279,707,1209622
248,709,1210157
237,709,1210619
213,710,1211102
224,710,1211555
198,710,1211944
177,710,1212269
160,712,1212585
146,714,1212880
141,714,1213181
138,715,1213438
121,715,1213711
121,716,1213952
108,716,1214173
97,716,1214349
90,716,1214512
96,716,1214673
87,716,1214849
81,716,1215015
65,717,1215179
50,718,1215325
59,718,1215440
58,719,1215579
55,719,1215716
52,719,1215818
53,720,1215895
45,720,1215998
40,720,1216081
37,720,1216136
42,720,1216202
39,720,1216280
38,720,1216333
37,720,1216389
30,720,1216435
27,720,1216485
23,720,1216537
28,720,1216576
23,720,1216624
23,720,1216659
22,720,1216696
18,721,1216727
20,721,1216769
17,721,1216789
15,721,1216816
14,721,1216831
9,721,1216864
6,721,1216879
9,721,1216901
8,721,1216927
10,721,1216941
8,721,1216961
9,721,1216972
6,721,1216994
7,721,1217009
4,721,1217022
0,721,1217037
2,721,1217043
4,721,1217050
4,721,1217060
2,721,1217065
1,721,1217077
2,721,1217088
1,721,1217090
3,721,1217095
2,721,1217100
2,721,1217107
3,721,1217111
3,721,1217113
3,721,1217119
0,721,1217127
0,721,1217130
0,721,1217134
