H,D,R
0,0,0
0,0,9
0,0,27
0,0,69
0,0,139
0,0,215
0,0,312
1,0,455
2,0,633
7,0,887
6,0,1203
15,0,1565
14,0,2018
24,0,2564
31,0,3290
49,0,4094
47,0,5121
70,0,6356
100,0,7824
125,1,9652
162,1,11866
207,3,14501
240,3,17655
259,3,21291
314,3,25661
372,5,30650
464,5,36367
530,5,42731
618,5,49633
720,6,57313
791,8,65821
878,9,75107
952,10,85412
1020,18,96604
1091,20,108755
1122,22,121841
1234,28,136164
1239,31,151335
1309,38,167540
1394,48,184618
1408,56,202541
1472,68,221433
1473,75,241214
1537,81,261617
1572,90,282744
1616,99,304874
1600,109,327427
1612,122,350539
1590,140,374490
1689,154,398935
1711,174,424062
1768,186,448856
1747,198,474013
1784,220,499511
1765,232,525345
1722,243,551135
1812,257,576369
1762,277,601700
1771,294,627004
1780,310,651951
1792,324,676280
1844,344,700329
1813,361,723837
1780,370,746963
1727,379,769894
1731,397,791776
1723,415,813152
1723,424,833904
1674,438,853850
1737,451,873153
1624,461,891835
1593,475,909539
1581,484,926211
1529,492,942143
1555,501,957654
1575,515,972566
1509,526,986879
1454,533,1000403
1436,544,1013328
1474,552,1025505
1434,562,1037019
1401,572,1047761
1398,578,1057969
1366,585,1067570
1360,589,1076709
1329,597,1085607
1340,607,1093788
1250,612,1101654
1221,614,1109025
1197,616,1115852
1218,619,1122223
1213,621,1128167
1167,630,1133950
1060,632,1139509
981,637,1144603
948,641,1149329
912,643,1153645
911,645,1157660
896,652,1161521
885,654,1164999
874,658,1168517
872,661,1171664
853,664,1174644
798,667,1177483
717,667,1180134
727,668,1182488
679,672,1184707
661,676,1186903
618,679,1188963
593,682,1190925
569,684,1192538
533,684,1194182
508,686,1195672
498,687,1197041
496,688,1198316
471,691,1199513
473,692,1200657
460,692,1201655
430,694,1202695
390,694,1203620
371,694,1204478
366,695,1205298
336,695,1206067
331,696,1206765
295,698,1207442
271,698,1208065
261,698,1208638
253,698,1209138
224,698,1209670
217,698,1210162
205,698,1210647
195,700,1211048
178,700,1211389
174,700,1211737
160,700,1212046
154,702,1212308
142,702,1212603
118,703,1212861
120,703,1213121
116,703,1213334
97,704,1213556
92,704,1213750
93,704,1213935
87,705,1214096
74,705,1214258
69,705,1214394
67,705,1214560
53,705,1214696
65,706,1214822
57,706,1214924
56,706,1215045
46,706,1215158
45,706,1215252
44,706,1215343
45,706,1215430
44,706,1215492
34,706,1215557
26,706,1215612
20,706,1215672
22,706,1215728
23,706,1215796
17,706,1215847
21,706,1215886
14,706,1215936
17,706,1215979
16,706,1216018
15,706,1216055
14,706,1216091
14,706,1216127
11,706,1216169
8,706,1216187
11,706,1216220
12,706,1216246
12,706,1216263
13,706,1216281
9,706,1216300
7,706,1216328
9,706,1216340
6,706,1216360
8,706,1216368
4,706,1216383
6,706,1216396
4,706,1216409
5,706,1216415
2,706,1216422
2,706,1216426
1,706,1216431
1,706,1216441
2,706,1216446
3,706,1216451
2,706,1216459
1,706,1216470
2,706,1216479
0,706,1216485
0,706,1216492
1,706,1216493
1,706,1216497
1,706,1216500
1,706,1216501
