Susceptible,Exposed,Hospitalised,Death,Recovered
1266023,672,0,0,0
1265212,1348,0,0,16
1264250,2127,0,0,37
1263166,2988,0,0,72
1261935,3923,0,0,132
1260419,5047,0,0,228
1258591,6376,0,0,324
1256379,7936,1,0,461
1253716,9859,2,0,658
1250462,12286,4,0,870
1246647,15045,4,0,1122
1242235,18073,3,0,1510
1237006,21711,13,0,1965
1230533,26324,14,0,2513
1222894,31696,23,0,3191
1213869,37992,42,0,4003
1203002,45571,45,0,5001
1190327,54057,66,0,6249
1175136,64535,79,0,7724
1156950,76965,110,0,9388
1136151,90978,126,0,11473
1111939,107225,174,0,14108
1083421,126500,203,0,17250
1066182,132681,229,0,20828
1046270,140990,281,1,25081
1023836,151432,322,2,29858
999658,162611,410,3,35317
973722,174646,475,4,41442
946247,186948,579,5,48293
917623,199868,659,7,55983
888016,212083,710,10,64371
857337,224465,815,10,73496
825765,236895,943,10,83646
793694,248627,1038,15,94681
760644,260193,1081,19,106734
727709,270857,1147,27,119984
694471,280772,1245,32,133943
661117,289773,1268,36,148775
628165,297611,1301,44,164645
595740,304190,1322,52,181801
563555,309917,1380,60,199833
532096,314487,1413,66,218304
501526,318094,1496,71,237833
471544,320451,1575,78,258523
442721,321776,1632,86,279598
415748,321069,1642,98,301660
389415,319789,1680,109,324287
364749,316949,1708,116,347084
340994,313212,1699,124,370814
318594,308484,1690,139,394874
297469,302999,1698,147,419412
277822,296445,1680,156,444413
259794,289088,1648,170,469777
242823,281135,1659,180,495048
227289,272392,1698,194,520435
212987,263036,1700,209,545782
199638,253818,1728,221,571105
187234,244316,1783,233,596367
175727,234729,1751,242,621188
165540,224698,1774,259,646481
156028,215019,1774,269,671137
147312,205332,1756,289,695531
139347,195632,1750,310,718964
131915,186016,1805,329,742038
124999,176805,1797,340,764732
118900,167654,1770,352,786921
113214,158858,1694,356,808292
108144,150183,1651,368,829240
103351,142019,1744,383,849290
98993,134245,1716,397,868726
95024,126468,1707,406,887509
91453,118993,1695,417,905802
88138,112027,1667,436,923100
85173,105278,1656,449,939380
82430,98798,1646,457,955048
79946,92939,1600,465,970136
77606,87286,1570,469,984456
75426,81830,1558,475,998025
73467,76768,1556,487,1010967
71699,71753,1498,497,1023283
70020,67269,1479,506,1035119
68454,63092,1487,512,1046177
67085,59040,1458,518,1056696
65756,55203,1433,522,1066499
64541,51737,1374,528,1075728
63403,48490,1282,542,1084583
62363,45348,1245,550,1092869
61380,42513,1244,556,1100782
60466,39841,1263,559,1108315
59597,37236,1239,560,1115247
58821,34704,1199,563,1121863
58114,32392,1151,568,1128022
57502,30227,1141,572,1133759
56881,28223,1073,574,1139198
56321,26370,1019,579,1144095
55831,24553,974,582,1148757
55372,22844,954,587,1153100
54932,21336,919,589,1157237
54508,19938,884,591,1161140
54131,18554,840,593,1164925
53760,17333,780,595,1168289
53441,16150,788,601,1171449
53138,15016,796,603,1174484
52870,13981,771,604,1177329
52588,13095,726,606,1180001
52306,12227,726,608,1182499
52104,11368,712,612,1184691
51906,10560,697,613,1186975
51704,9886,646,614,1189021
51509,9277,617,614,1190905
51338,8612,598,614,1192746
51185,8068,540,615,1194414
51051,7530,501,616,1195862
50929,7000,502,617,1197290
50778,6524,477,618,1198680
50635,6148,446,620,1199936
50521,5667,420,620,1201108
50422,5248,396,620,1202168
50321,4916,351,621,1203188
50226,4561,344,621,1204054
50144,4262,325,621,1204930
50076,3955,303,621,1205673
50003,3686,308,622,1206486
49938,3421,283,622,1207234
49866,3195,271,622,1207924
49807,2992,276,623,1208482
49752,2793,244,623,1209049
49694,2619,243,624,1209613
49656,2465,215,624,1210138
49608,2320,200,624,1210613
49566,2151,196,624,1211032
49514,2016,193,624,1211412
49478,1865,175,624,1211814
49440,1730,168,624,1212179
49413,1625,149,624,1212500
49375,1524,141,624,1212827
49344,1416,128,624,1213133
49319,1310,124,625,1213414
49297,1214,107,627,1213693
49269,1160,101,627,1213944
49250,1081,97,627,1214167
49233,1004,89,627,1214366
49216,938,86,627,1214572
49201,869,83,627,1214749
49189,799,77,628,1214889
49176,735,68,628,1215027
49158,686,64,628,1215166
49145,640,61,628,1215305
49132,595,59,628,1215421
49128,555,54,628,1215533
49121,521,49,628,1215638
49115,482,48,628,1215757
49110,458,50,629,1215865
49103,433,53,629,1215946
49098,410,38,629,1216024
49092,385,37,629,1216097
49084,354,32,629,1216171
49076,335,32,629,1216233
49073,313,33,629,1216306
49069,282,27,630,1216357
49063,261,20,630,1216423
49056,245,16,631,1216467
49051,237,13,631,1216509
49046,222,10,631,1216547
49041,200,16,631,1216584
49039,182,14,631,1216625
49036,170,13,631,1216658
49034,154,10,632,1216683
49030,153,10,632,1216700
49029,140,14,632,1216729
49028,125,12,632,1216753
49027,116,10,632,1216792
49026,108,10,632,1216821
49024,98,8,632,1216844
49023,91,5,632,1216864
49020,86,6,632,1216877
49019,78,6,632,1216898
49017,75,6,632,1216914
49017,62,3,632,1216929
49015,57,3,632,1216937
49013,54,2,632,1216948
49013,51,1,632,1216961
49012,47,4,632,1216980
49012,45,5,632,1216992
49010,42,8,632,1217000
49010,41,6,632,1217008
49009,37,4,632,1217013
49008,37,5,632,1217025
49008,35,5,632,1217031
49006,33,5,632,1217044
49006,29,4,632,1217048
49006,26,3,632,1217051
49005,24,1,632,1217059
49004,21,0,632,1217068
49004,19,1,632,1217072
49003,20,0,632,1217074
49001,21,0,632,1217077
49001,19,0,632,1217080
49001,17,0,632,1217083
