 day, S, E, H, R, D
0,664841.192,381.048,0.0,0.0,0.0
1,663513.954,1336.822,0.0,8.376,0.0
2,661065.388,3057.086,0.0,29.861,0.0
3,656477.547,6270.676,0.0,76.421,0.0
4,647981.109,12189.47,0.0,169.572,0.0
5,632360.502,23009.619,0.119,349.885,0.0
6,604065.697,42442.151,0.737,695.786,0.0
7,554147.688,76215.73,2.293,1347.559,0.002
8,470208.364,131337.954,5.474,2554.616,0.01
9,341406.375,210643.028,11.844,4752.43,0.034
10,176330.16,296502.667,23.611,8644.007,0.094
11,32251.386,329156.679,45.514,15232.681,0.219
12,0.0,237770.129,84.442,25566.428,0.459
13,0.0,148474.707,152.444,39943.866,0.954
14,0.0,92706.82,264.273,57031.386,2.003
15,0.0,57878.077,430.122,75862.858,4.43
16,0.0,36141.636,630.376,96205.85,9.796
17,0.0,22567.961,801.55,118210.849,20.135
18,0.0,14096.444,877.289,141819.738,36.966
19,0.0,8799.741,886.457,166550.406,59.282
20,0.0,5494.078,878.354,191757.948,84.361
21,0.0,3430.933,859.051,216849.359,111.51
22,0.0,2141.812,837.572,241359.029,139.443
23,0.0,1337.689,813.137,265008.507,167.691
24,0.0,836.496,793.417,287600.833,195.121
25,0.0,522.557,772.898,309055.083,221.52
26,0.0,326.735,756.168,329330.265,247.028
27,0.0,204.113,740.426,348456.636,271.878
28,0.0,127.528,730.286,366461.752,295.687
29,0.0,79.262,716.469,383398.264,318.541
30,0.0,49.316,708.019,399303.074,340.047
31,0.0,30.719,698.364,414239.058,360.677
32,0.0,18.927,690.054,428273.157,380.393
33,0.0,11.885,681.89,441477.18,399.187
34,0.0,7.47,675.188,453889.925,416.788
35,0.0,4.726,668.515,465558.777,433.846
36,0.0,3.016,661.938,476515.839,449.948
37,0.0,1.857,654.213,486833.819,465.113
38,0.0,1.203,647.964,496544.787,479.499
39,0.0,0.753,641.238,505685.807,493.478
40,0.0,0.501,634.393,514295.931,506.72
41,0.0,0.318,626.769,522402.033,519.312
42,0.0,0.215,618.714,530048.892,531.345
43,0.0,0.132,611.069,537258.313,542.804
44,0.0,0.092,604.305,544048.034,553.802
45,0.0,0.066,597.551,550458.618,564.305
46,0.0,0.049,589.598,556510.176,574.304
47,0.0,0.034,582.631,562217.423,583.787
48,0.0,0.024,575.046,567607.449,592.754
49,0.0,0.017,567.619,572693.985,601.267
50,0.0,0.014,559.296,577499.216,609.435
51,0.0,0.012,552.011,582038.082,617.273
52,0.0,0.005,543.217,586329.64,624.694
53,0.0,0.003,533.517,590385.781,631.761
54,0.0,0.003,525.412,594223.241,638.38
55,0.0,0.003,516.331,597851.513,644.769
56,0.0,0.001,507.893,601283.508,650.749
57,0.0,0.001,499.103,604530.417,656.64
58,0.0,0.001,488.924,607605.867,662.193
59,0.0,0.001,480.088,610515.063,667.397
60,0.0,0.001,471.007,613273.118,672.38
61,0.0,0.001,462.716,615883.197,677.189
62,0.0,0.001,452.368,618365.315,681.751
63,0.0,0.0,443.424,620711.121,686.041
64,0.0,0.0,434.227,622929.221,690.14
65,0.0,0.0,424.927,625029.756,694.087
66,0.0,0.0,414.105,627023.003,697.849
67,0.0,0.0,403.736,628916.526,701.43
68,0.0,0.0,393.796,630706.661,704.853
69,0.0,0.0,384.623,632407.787,708.143
70,0.0,0.0,375.565,634020.412,711.312
71,0.0,0.0,365.366,635550.825,714.262
72,0.0,0.0,356.683,637002.688,717.135
73,0.0,0.0,347.163,638378.654,719.961
