day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,600537.2666666667,600482.0,600593.0,460.58666666666664,411.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.50666666666667,36.0,74.0,0.0,0.0,0.0
1,599952.9466666667,599877.0,600047.0,923.4933333333333,861.0,990.0,0.0,0.0,0.0,8.44,2.0,17.0,0.0,0.0,0.0,140.04,108.0,164.0,8.6,2.0,17.0
2,599280.84,599187.0,599383.0,1415.1066666666666,1326.0,1498.0,0.0,0.0,0.0,31.093333333333334,19.0,47.0,0.0,0.0,0.0,261.32,215.0,291.0,27.8,12.0,51.0
3,598485.5466666666,598372.0,598597.0,1969.32,1856.0,2058.0,0.0,0.0,0.0,73.44,56.0,94.0,0.0,0.0,0.0,411.6933333333333,341.0,464.0,59.693333333333335,38.0,89.0
4,597534.3333333334,597348.0,597679.0,2608.5333333333333,2490.0,2749.0,0.0,0.0,0.0,140.25333333333333,113.0,168.0,0.0,0.0,0.0,594.9866666666667,523.0,668.0,103.94666666666667,74.0,136.0
5,596385.3066666666,596141.0,596545.0,3369.9866666666667,3223.0,3585.0,0.26666666666666666,0.0,3.0,239.2,202.0,277.0,0.0,0.0,0.0,805.1733333333333,734.0,878.0,157.4,122.0,196.0
6,594993.9866666667,594693.0,595205.0,4280.12,4097.0,4519.0,1.9733333333333334,0.0,8.0,378.1066666666667,327.0,419.0,0.0,0.0,0.0,1056.2933333333333,960.0,1155.0,221.96,185.0,262.0
7,593295.5866666667,592937.0,593527.0,5385.44,5192.0,5675.0,5.373333333333333,1.0,14.0,561.6133333333333,510.0,614.0,0.013333333333333334,0.0,1.0,1361.4933333333333,1273.0,1485.0,291.68,256.0,330.0
8,591215.3866666667,590777.0,591492.0,6729.36,6413.0,7082.0,9.973333333333333,2.0,19.0,806.64,749.0,883.0,0.05333333333333334,0.0,1.0,1727.9733333333334,1628.0,1839.0,377.37333333333333,326.0,426.0
9,588652.2533333333,588209.0,588921.0,8393.373333333333,8088.0,8738.0,17.30666666666667,7.0,28.0,1123.0,1041.0,1207.0,0.09333333333333334,0.0,1.0,2163.48,2036.0,2292.0,474.2266666666667,417.0,535.0
10,585497.3733333333,584952.0,585933.0,10441.08,10014.0,10718.0,27.04,14.0,40.0,1520.8933333333334,1433.0,1653.0,0.2,0.0,2.0,2695.6666666666665,2577.0,2851.0,582.0533333333333,510.0,648.0
11,581595.8266666667,580887.0,582128.0,12979.72,12602.0,13369.0,37.946666666666665,21.0,54.0,2014.5333333333333,1915.0,2132.0,0.48,0.0,3.0,3343.8133333333335,3127.0,3548.0,724.6933333333334,658.0,788.0
12,576768.0,576021.0,577450.0,16138.56,15623.0,16552.0,52.14666666666667,38.0,76.0,2623.3733333333334,2478.0,2766.0,0.7866666666666666,0.0,3.0,4137.56,3953.0,4361.0,898.8133333333334,820.0,969.0
13,570790.32,570036.0,571552.0,20059.453333333335,19490.0,20549.0,70.89333333333333,57.0,91.0,3386.8133333333335,3240.0,3591.0,1.2266666666666666,0.0,4.0,5105.933333333333,4885.0,5375.0,1096.0266666666666,954.0,1178.0
14,563407.8533333334,562487.0,564422.0,24895.02666666667,24228.0,25456.0,92.22666666666667,76.0,109.0,4322.346666666666,4144.0,4515.0,1.8666666666666667,0.0,5.0,6314.213333333333,6090.0,6623.0,1348.5333333333333,1193.0,1449.0
