day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,710055.0933333334,709996.0,710114.0,535.6666666666666,467.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.96,45.0,86.0,0.0,0.0,0.0
1,709322.4533333334,709246.0,709406.0,1126.0,1043.0,1184.0,0.0,0.0,0.0,10.173333333333334,4.0,21.0,0.0,0.0,0.0,167.0,126.0,196.0,10.013333333333334,3.0,21.0
2,708408.5733333334,708312.0,708521.0,1823.12,1721.0,1894.0,0.0,0.0,0.0,36.333333333333336,23.0,52.0,0.0,0.0,0.0,315.04,263.0,360.0,33.06666666666667,18.0,49.0
3,707248.4533333334,707059.0,707406.0,2680.1866666666665,2542.0,2824.0,0.0,0.0,0.0,88.54666666666667,65.0,121.0,0.0,0.0,0.0,506.6933333333333,444.0,566.0,70.70666666666666,53.0,97.0
4,705777.04,705578.0,705956.0,3744.32,3567.0,3913.0,0.0,0.0,0.0,171.16,141.0,201.0,0.0,0.0,0.0,749.7466666666667,680.0,802.0,121.46666666666667,92.0,160.0
5,703892.96,703666.0,704104.0,5088.426666666666,4911.0,5302.0,0.32,0.0,2.0,295.2133333333333,257.0,333.0,0.0,0.0,0.0,1061.12,967.0,1140.0,191.93333333333334,150.0,230.0
6,701494.6266666667,701299.0,701803.0,6778.946666666667,6517.0,6957.0,1.4133333333333333,0.0,6.0,476.88,416.0,528.0,0.0,0.0,0.0,1452.6666666666667,1371.0,1550.0,278.4,214.0,325.0
7,698430.3866666667,698123.0,698861.0,8924.6,8584.0,9216.0,3.7866666666666666,1.0,8.0,727.9333333333333,648.0,785.0,0.0,0.0,0.0,1953.6933333333334,1850.0,2073.0,386.9066666666667,327.0,433.0
8,694564.32,694189.0,695006.0,11607.146666666667,11301.0,11953.0,7.466666666666667,3.0,13.0,1078.6266666666668,998.0,1151.0,0.0,0.0,0.0,2583.7733333333335,2450.0,2696.0,518.6933333333334,438.0,573.0
9,689695.4,689041.0,690378.0,14962.253333333334,14425.0,15596.0,12.626666666666667,5.0,22.0,1540.4,1438.0,1634.0,0.013333333333333334,0.0,1.0,3377.6266666666666,3218.0,3508.0,683.44,609.0,766.0
10,683529.4933333333,682710.0,684409.0,19196.253333333334,18529.0,19987.0,19.613333333333333,10.0,35.0,2148.1466666666665,2019.0,2263.0,0.05333333333333334,0.0,1.0,4378.066666666667,4170.0,4555.0,892.2933333333333,813.0,984.0
11,675767.3466666667,674779.0,676817.0,24501.266666666666,23762.0,25371.0,30.106666666666666,19.0,49.0,2938.0266666666666,2755.0,3113.0,0.08,0.0,1.0,5632.64,5347.0,5874.0,1148.6533333333334,1051.0,1246.0
12,666069.3333333334,664869.0,667244.0,31085.453333333335,30277.0,32017.0,42.85333333333333,28.0,61.0,3952.6666666666665,3752.0,4110.0,0.17333333333333334,0.0,1.0,7211.786666666667,6834.0,7488.0,1484.36,1409.0,1624.0
13,653966.4666666667,652724.0,655679.0,39255.13333333333,38080.0,40166.0,59.93333333333333,44.0,80.0,5266.986666666667,5037.0,5436.0,0.38666666666666666,0.0,2.0,9177.16,8866.0,9441.0,1896.5733333333333,1783.0,2012.0
14,638977.9733333334,637346.0,641194.0,49294.05333333334,47826.0,50578.0,80.65333333333334,61.0,98.0,6947.44,6671.0,7180.0,0.76,0.0,3.0,11634.32,11267.0,11999.0,2419.56,2297.0,2582.0
15,620548.6,618699.0,623161.0,61525.933333333334,59602.0,62957.0,107.90666666666667,84.0,130.0,9070.48,8802.0,9313.0,1.36,0.0,4.0,14699.426666666666,14180.0,15143.0,3066.826666666667,2926.0,3242.0
16,598048.68,595862.0,601096.0,76332.34666666666,74260.0,77800.0,140.33333333333334,113.0,180.0,11747.666666666666,11445.0,12022.0,2.04,0.0,5.0,18468.506666666668,17860.0,18977.0,3881.72,3718.0,4071.0
17,570928.6266666667,568340.0,574622.0,93915.36,91551.0,95611.0,180.77333333333334,146.0,225.0,15143.946666666667,14746.0,15503.0,3.12,0.0,8.0,23079.066666666666,22331.0,23644.0,4880.906666666667,4692.0,5084.0
18,538680.44,535343.0,543343.0,114448.6,111468.0,116795.0,230.26666666666668,187.0,266.0,19376.533333333333,18807.0,19849.0,4.72,1.0,11.0,28699.81333333333,27735.0,29476.0,6107.7733333333335,5868.0,6324.0
19,501052.05333333334,497091.0,506144.0,137796.58666666667,134720.0,140064.0,290.06666666666666,239.0,336.0,24688.733333333334,23933.0,25239.0,7.053333333333334,1.0,14.0,35441.08,34334.0,36436.0,7583.746666666667,7310.0,7934.0
20,458027.2133333333,453105.0,463508.0,163655.45333333334,160617.0,166805.0,362.14666666666665,309.0,409.0,31253.4,30278.0,32194.0,10.093333333333334,5.0,17.0,43375.746666666666,42185.0,44241.0,9363.56,8998.0,9708.0
21,410163.85333333333,405020.0,416220.0,191150.06666666668,187948.0,194180.0,446.4,388.0,501.0,39307.21333333333,38181.0,40270.0,14.506666666666666,6.0,22.0,52589.17333333333,51113.0,53608.0,11500.973333333333,10972.0,11856.0
22,358531.0133333333,352337.0,365224.0,219015.48,215607.0,222562.0,544.3733333333333,486.0,601.0,49110.8,47795.0,50313.0,21.04,10.0,30.0,63019.17333333333,61451.0,64343.0,13968.8,13430.0,14452.0
23,329314.36,323260.0,336256.0,221042.46666666667,217975.0,224118.0,651.72,593.0,701.0,60916.14666666667,59182.0,62264.0,30.76,15.0,42.0,74476.08,72855.0,75962.0,16799.546666666665,16163.0,17171.0
24,297699.18666666665,291772.0,304665.0,225243.69333333333,222260.0,227788.0,764.6666666666666,690.0,820.0,74938.21333333333,72957.0,76494.0,43.72,21.0,60.0,84264.28,82592.0,85721.0,19928.746666666666,19252.0,20568.0
25,265863.06666666665,260231.0,272827.0,229097.22666666665,226655.0,231146.0,885.4933333333333,798.0,945.0,91002.13333333333,88536.0,92772.0,62.10666666666667,37.0,81.0,92909.28,91067.0,94687.0,22852.04,22101.0,23553.0
26,234930.25333333333,229421.0,241831.0,231575.4,229352.0,233363.0,1003.9866666666667,895.0,1051.0,108978.90666666666,106140.0,111229.0,88.50666666666666,59.0,114.0,100514.36,99018.0,102040.0,25422.693333333333,24882.0,26148.0
27,205694.81333333332,200761.0,212203.0,232039.65333333332,229919.0,233068.0,1114.64,1014.0,1193.0,128796.36,125639.0,131043.0,123.64,94.0,148.0,107095.96,105599.0,108741.0,27508.066666666666,26977.0,28247.0
28,178662.77333333335,173999.0,184764.0,230266.46666666667,228622.0,231112.0,1208.72,1119.0,1301.0,150273.25333333333,146859.0,152780.0,167.73333333333332,137.0,204.0,112664.46666666666,111400.0,114390.0,29101.893333333333,28350.0,29731.0
29,154204.50666666665,149836.0,159511.0,226162.22666666665,225334.0,227064.0,1282.7733333333333,1193.0,1367.0,173197.77333333335,169405.0,175915.0,220.16,184.0,252.0,117135.0,116234.0,118513.0,30186.133333333335,29360.0,30843.0
30,132472.50666666665,128379.0,137163.0,219823.48,218609.0,220722.0,1331.88,1238.0,1419.0,197284.32,193449.0,200249.0,280.02666666666664,242.0,320.0,120454.54666666666,119572.0,121620.0,30831.96,29966.0,31346.0
31,113379.92,109748.0,117811.0,211631.36,210261.0,212709.0,1362.2933333333333,1264.0,1443.0,222197.88,217750.0,225379.0,346.08,306.0,384.0,122593.98666666666,121562.0,123629.0,31164.733333333334,30574.0,31795.0
