day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,809432.9333333333,809373.0,809492.0,611.88,557.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.34666666666666,50.0,97.0,0.0,0.0,0.0
1,808576.1333333333,808478.0,808669.0,1302.3066666666666,1209.0,1410.0,0.0,0.0,0.0,11.653333333333334,5.0,20.0,0.0,0.0,0.0,190.90666666666667,150.0,223.0,11.706666666666667,2.0,24.0
2,807485.1333333333,807372.0,807638.0,2146.9333333333334,2016.0,2258.0,0.0,0.0,0.0,42.72,23.0,61.0,0.0,0.0,0.0,356.6533333333333,299.0,418.0,37.946666666666665,22.0,54.0
3,806071.9066666666,805862.0,806315.0,3203.3333333333335,3022.0,3351.0,0.0,0.0,0.0,100.64,73.0,132.0,0.0,0.0,0.0,583.9866666666667,540.0,635.0,80.4,53.0,107.0
4,804234.2266666667,803989.0,804468.0,4556.866666666667,4366.0,4710.0,0.0,0.0,0.0,195.38666666666666,155.0,233.0,0.0,0.0,0.0,876.92,808.0,943.0,141.86666666666667,112.0,179.0
5,801864.92,801522.0,802212.0,6275.453333333333,5985.0,6519.0,0.17333333333333334,0.0,2.0,339.46666666666664,286.0,385.0,0.0,0.0,0.0,1256.6133333333332,1181.0,1323.0,226.66666666666666,195.0,265.0
6,798827.64,798426.0,799343.0,8446.146666666667,7982.0,8763.0,1.1866666666666668,0.0,5.0,553.84,494.0,612.0,0.0,0.0,0.0,1746.6,1638.0,1841.0,332.14666666666665,291.0,384.0
7,794935.3333333334,794358.0,795363.0,11209.973333333333,10835.0,11596.0,3.6133333333333333,0.0,7.0,859.12,785.0,930.0,0.013333333333333334,0.0,1.0,2364.5866666666666,2249.0,2532.0,462.58666666666664,398.0,533.0
8,789970.16,789302.0,790611.0,14706.16,14286.0,15110.0,7.173333333333333,2.0,14.0,1281.3733333333332,1175.0,1383.0,0.02666666666666667,0.0,1.0,3153.0533333333333,3002.0,3331.0,630.84,554.0,696.0
9,783646.9066666666,782652.0,784686.0,19118.826666666668,18417.0,19738.0,12.493333333333334,4.0,20.0,1846.1466666666668,1729.0,1975.0,0.05333333333333334,0.0,1.0,4166.653333333334,3926.0,4400.0,837.56,763.0,948.0
10,775644.6,774231.0,776882.0,24659.8,23815.0,25679.0,19.573333333333334,8.0,32.0,2593.0266666666666,2487.0,2777.0,0.08,0.0,1.0,5463.4,5183.0,5721.0,1106.48,1007.0,1210.0
11,765528.52,764118.0,767094.0,31626.826666666668,30619.0,32577.0,29.69333333333333,18.0,46.0,3582.0666666666666,3399.0,3835.0,0.10666666666666667,0.0,1.0,7089.626666666667,6713.0,7387.0,1445.68,1335.0,1568.0
12,752843.92,751251.0,754848.0,40298.973333333335,38961.0,41486.0,42.44,29.0,66.0,4872.36,4614.0,5138.0,0.16,0.0,2.0,9146.226666666667,8763.0,9435.0,1873.32,1726.0,1993.0
13,737013.2,735258.0,739367.0,51054.6,49492.0,52186.0,59.64,43.0,80.0,6557.573333333334,6341.0,6869.0,0.26666666666666666,0.0,5.0,11701.186666666666,11198.0,11991.0,2409.786666666667,2285.0,2597.0
14,717411.4666666667,715407.0,720406.0,64221.306666666664,62173.0,65625.0,81.97333333333333,59.0,105.0,8686.706666666667,8354.0,9130.0,0.3466666666666667,0.0,5.0,14943.64,14316.0,15404.0,3082.6,2906.0,3327.0
15,693322.8266666667,690855.0,696999.0,80237.89333333333,77521.0,81984.0,107.78666666666666,77.0,134.0,11420.893333333333,11019.0,11798.0,0.5466666666666666,0.0,5.0,18964.32,18178.0,19608.0,3934.9866666666667,3748.0,4116.0
16,664016.8533333334,660738.0,668542.0,99522.37333333334,96527.0,101634.0,141.8,115.0,171.0,14896.946666666667,14380.0,15450.0,0.7733333333333333,0.0,5.0,23895.266666666666,23093.0,24608.0,4992.48,4746.0,5212.0
17,628897.1466666666,624788.0,633990.0,122224.52,118930.0,124683.0,184.82666666666665,158.0,219.0,19293.173333333332,18653.0,19821.0,1.16,0.0,5.0,29919.613333333335,28934.0,30796.0,6296.1466666666665,6023.0,6524.0
18,587496.2266666667,582556.0,593334.0,148368.72,144445.0,151190.0,236.81333333333333,205.0,277.0,24810.52,23957.0,25518.0,1.6133333333333333,0.0,5.0,37236.933333333334,36083.0,38384.0,7904.48,7583.0,8175.0
19,539562.9333333333,534248.0,546049.0,177815.05333333334,173846.0,180858.0,297.7866666666667,264.0,335.0,31692.253333333334,30710.0,32647.0,2.6,0.0,7.0,45961.73333333333,44772.0,47089.0,9852.56,9525.0,10112.0
20,485490.84,479337.0,492981.0,209748.34666666668,205312.0,213107.0,373.50666666666666,327.0,418.0,40207.386666666665,38860.0,41181.0,3.84,1.0,10.0,56183.8,54644.0,57557.0,12182.8,11658.0,12662.0
21,426225.24,419550.0,434106.0,242951.14666666667,238615.0,246515.0,465.3333333333333,392.0,514.0,50663.58666666667,49258.0,51886.0,5.64,1.0,12.0,67870.65333333334,66024.0,69375.0,14914.586666666666,14420.0,15338.0
22,363504.82666666666,356433.0,371295.0,275485.72,271512.0,278736.0,567.5066666666667,488.0,640.0,63334.26666666667,61785.0,64824.0,8.32,3.0,14.0,80955.33333333333,78764.0,82756.0,18068.24,17499.0,18648.0
23,337701.2133333333,330594.0,345290.0,267093.72,263689.0,269919.0,679.0666666666667,604.0,747.0,78578.05333333333,76703.0,80345.0,12.4,5.0,22.0,95092.61333333333,92651.0,97093.0,21600.97333333333,20949.0,22314.0
24,309527.13333333336,302655.0,317294.0,262116.56,258846.0,264593.0,804.04,736.0,890.0,96560.18666666666,94016.0,98923.0,17.64,11.0,27.0,106114.05333333333,103928.0,107746.0,25469.6,24806.0,26299.0
25,280720.69333333336,274114.0,288271.0,258409.73333333334,255836.0,260603.0,928.2933333333333,858.0,1010.0,116921.12,113782.0,119606.0,25.24,16.0,38.0,114811.2,112867.0,116359.0,28871.133333333335,28232.0,29624.0
