day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,1265654.7466666666,1265572.0,1265713.0,967.9733333333334,910.0,1041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.33333333333334,100.0,162.0,0.0,0.0,0.0
1,1264386.08,1264292.0,1264500.0,1981.8533333333332,1855.0,2085.0,0.0,0.0,0.0,19.626666666666665,9.0,32.0,0.0,0.0,0.0,356.58666666666664,310.0,404.0,2.5866666666666664,0.0,8.0
2,1262841.2133333334,1262701.0,1262978.0,3142.4933333333333,3028.0,3253.0,0.0,0.0,0.0,78.8,54.0,96.0,0.0,0.0,0.0,670.5866666666667,599.0,765.0,8.76,3.0,19.0
3,1260923.9333333333,1260744.0,1261132.0,4531.573333333334,4330.0,4713.0,0.0,0.0,0.0,189.09333333333333,147.0,223.0,0.0,0.0,0.0,1072.9333333333334,999.0,1169.0,18.386666666666667,8.0,30.0
4,1258541.7066666668,1258248.0,1258780.0,6217.386666666666,6018.0,6442.0,0.0,0.0,0.0,365.28,314.0,411.0,0.0,0.0,0.0,1572.72,1476.0,1668.0,32.24,20.0,52.0
5,1255536.32,1255175.0,1255978.0,8311.133333333333,8017.0,8570.0,0.013333333333333334,0.0,1.0,623.84,539.0,701.0,0.0,0.0,0.0,2198.826666666667,2073.0,2319.0,50.28,31.0,71.0
6,1251749.7066666668,1251284.0,1252175.0,10929.986666666666,10623.0,11309.0,0.30666666666666664,0.0,3.0,988.7466666666667,914.0,1064.0,0.0,0.0,0.0,2967.7066666666665,2835.0,3095.0,72.65333333333334,51.0,92.0
7,1247009.1466666667,1246453.0,1247475.0,14179.333333333334,13838.0,14576.0,1.08,0.0,3.0,1476.4133333333334,1371.0,1555.0,0.0,0.0,0.0,3930.6666666666665,3754.0,4175.0,101.4,77.0,128.0
8,1241067.9066666667,1240315.0,1241626.0,18223.533333333333,17804.0,18723.0,2.3333333333333335,0.0,7.0,2127.76,1997.0,2233.0,0.0,0.0,0.0,5127.586666666667,4922.0,5369.0,131.53333333333333,107.0,176.0
9,1233608.5066666666,1232640.0,1234274.0,23286.133333333335,22755.0,23893.0,3.8,0.0,7.0,2975.5333333333333,2863.0,3101.0,0.0,0.0,0.0,6618.6,6292.0,6948.0,172.89333333333335,125.0,217.0
10,1224252.04,1223087.0,1225135.0,29616.213333333333,28869.0,30345.0,6.066666666666666,1.0,14.0,4074.2933333333335,3939.0,4227.0,0.0,0.0,0.0,8469.746666666666,8145.0,8862.0,219.94666666666666,176.0,280.0
11,1212588.1733333333,1211195.0,1213832.0,37460.96,36661.0,38410.0,9.213333333333333,2.0,16.0,5479.1466666666665,5267.0,5728.0,0.0,0.0,0.0,10792.6,10540.0,11170.0,277.50666666666666,226.0,345.0
12,1198072.9866666666,1196546.0,1199507.0,47195.68,46128.0,48152.0,13.586666666666666,5.0,22.0,7272.16,7020.0,7578.0,0.0,0.0,0.0,13665.213333333333,13319.0,14137.0,351.08,278.0,412.0
13,1179997.3333333333,1178179.0,1181941.0,59275.28,57830.0,60371.0,18.373333333333335,8.0,33.0,9538.48,9223.0,9859.0,0.0,0.0,0.0,17249.893333333333,16839.0,17869.0,440.76,379.0,508.0
14,1157647.7333333334,1155250.0,1160067.0,74117.33333333333,72364.0,75708.0,23.906666666666666,13.0,39.0,12401.946666666667,12072.0,12801.0,0.02666666666666667,0.0,1.0,21714.373333333333,21039.0,22333.0,553.4533333333334,489.0,618.0
