day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,632104.32,632059.0,632159.0,480.2,429.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.92,39.0,75.0,0.0,0.0,0.0
1,631503.6933333334,631430.0,631594.0,951.8,885.0,1015.0,0.0,0.0,0.0,8.906666666666666,2.0,16.0,0.0,0.0,0.0,148.94666666666666,123.0,172.0,8.773333333333333,2.0,21.0
2,630818.2933333333,630732.0,630933.0,1447.7866666666666,1365.0,1528.0,0.0,0.0,0.0,33.24,20.0,55.0,0.0,0.0,0.0,275.6666666666667,229.0,308.0,30.466666666666665,18.0,57.0
3,630014.88,629867.0,630171.0,2002.4,1871.0,2104.0,0.0,0.0,0.0,79.62666666666667,58.0,97.0,0.0,0.0,0.0,428.62666666666667,384.0,484.0,63.986666666666665,40.0,84.0
4,629070.88,628910.0,629235.0,2627.08,2493.0,2760.0,0.0,0.0,0.0,150.42666666666668,120.0,176.0,0.0,0.0,0.0,614.0,546.0,665.0,107.42666666666666,80.0,137.0
5,627959.2133333334,627751.0,628205.0,3346.1866666666665,3175.0,3515.0,0.5066666666666667,0.0,3.0,252.38666666666666,215.0,295.0,0.0,0.0,0.0,826.44,741.0,896.0,161.48,120.0,197.0
6,626627.8666666667,626436.0,626899.0,4196.88,3993.0,4328.0,3.16,0.0,8.0,395.8,346.0,447.0,0.0,0.0,0.0,1073.8666666666666,967.0,1161.0,224.66666666666666,186.0,269.0
7,625025.5866666667,624855.0,625309.0,5210.1866666666665,4978.0,5370.0,8.626666666666667,2.0,19.0,585.84,522.0,665.0,0.08,0.0,2.0,1366.1733333333334,1271.0,1471.0,297.61333333333334,247.0,353.0
8,623099.9333333333,622803.0,623362.0,6422.84,6225.0,6611.0,16.426666666666666,4.0,31.0,830.6,763.0,892.0,0.14666666666666667,0.0,2.0,1712.5066666666667,1568.0,1810.0,378.93333333333334,310.0,452.0
9,620747.6666666666,620370.0,621058.0,7910.053333333333,7670.0,8166.0,27.32,15.0,43.0,1134.8,1035.0,1220.0,0.3333333333333333,0.0,3.0,2129.4133333333334,1978.0,2270.0,469.73333333333335,413.0,519.0
10,617881.5733333334,617453.0,618235.0,9725.52,9459.0,10075.0,41.8,26.0,57.0,1518.9466666666667,1398.0,1619.0,0.7733333333333333,0.0,4.0,2625.0266666666666,2483.0,2800.0,577.8266666666667,517.0,642.0
11,614381.3333333334,613894.0,614809.0,11950.12,11657.0,12333.0,59.0,41.0,74.0,1993.3333333333333,1855.0,2123.0,1.5066666666666666,0.0,5.0,3217.9733333333334,2993.0,3337.0,707.0,644.0,794.0
12,610087.5333333333,609481.0,610570.0,14701.32,14256.0,15061.0,81.42666666666666,61.0,105.0,2577.32,2409.0,2701.0,2.52,0.0,8.0,3932.8,3750.0,4062.0,861.4533333333334,785.0,944.0
13,604828.2666666667,604112.0,605391.0,18065.426666666666,17621.0,18541.0,106.50666666666666,78.0,142.0,3282.4133333333334,3102.0,3418.0,4.093333333333334,1.0,11.0,4814.973333333333,4631.0,4993.0,1043.2266666666667,951.0,1155.0
14,598372.1466666666,597606.0,599108.0,22213.84,21688.0,22749.0,138.05333333333334,105.0,175.0,4158.12,3966.0,4304.0,6.333333333333333,1.0,13.0,5876.16,5653.0,6098.0,1266.8533333333332,1159.0,1347.0
15,590473.3866666667,589542.0,591416.0,27285.933333333334,26622.0,27992.0,174.68,134.0,210.0,5226.373333333333,5040.0,5397.0,9.053333333333333,3.0,17.0,7177.613333333334,6942.0,7449.0,1542.7866666666666,1431.0,1620.0
