day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,113093.0,113093.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,113093.0,113093.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,113093.0,113093.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,113093.0,113093.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,113093.0,113093.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,113093.0,113093.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,113054.64,112932.0,113093.0,38.36,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,112818.93333333333,112489.0,113058.0,269.24,35.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,17.0,0.0,0.0,0.0
8,112180.54666666666,111606.0,112670.0,873.7466666666667,416.0,1428.0,0.0,0.0,0.0,0.6133333333333333,0.0,5.0,0.0,0.0,0.0,30.613333333333333,3.0,72.0,0.6533333333333333,0.0,4.0
9,110933.52,110003.0,111742.0,2010.6266666666668,1262.0,2858.0,0.0,0.0,0.0,5.293333333333333,0.0,17.0,0.0,0.0,0.0,114.94666666666667,41.0,209.0,5.213333333333333,0.0,13.0
10,108816.26666666666,107267.0,109982.0,3877.9733333333334,2842.0,5289.0,0.0,0.0,0.0,24.2,5.0,51.0,0.0,0.0,0.0,296.3066666666667,161.0,449.0,21.266666666666666,5.0,46.0
11,105593.84,103283.0,107082.0,6616.053333333333,5333.0,8641.0,0.0,0.0,0.0,71.94666666666667,29.0,122.0,0.0,0.0,0.0,635.3333333333334,421.0,900.0,59.85333333333333,30.0,108.0
12,100970.06666666667,97954.0,103239.0,10419.413333333334,8508.0,12916.0,0.02666666666666667,0.0,1.0,177.26666666666668,104.0,268.0,0.0,0.0,0.0,1186.1066666666666,895.0,1570.0,139.01333333333332,85.0,222.0
13,94771.8,90852.0,97391.0,15322.253333333334,13289.0,18317.0,0.08,0.0,2.0,373.17333333333335,245.0,532.0,0.0,0.0,0.0,2030.6933333333334,1616.0,2625.0,274.1333333333333,188.0,395.0
14,86841.50666666667,82429.0,89671.0,21358.18666666667,19156.0,24507.0,0.6533333333333333,0.0,4.0,706.88,539.0,955.0,0.0,0.0,0.0,3224.173333333333,2682.0,3999.0,487.62666666666667,369.0,634.0
15,77133.18666666666,72675.0,80122.0,28403.12,26397.0,31226.0,2.44,0.0,9.0,1247.1866666666667,982.0,1641.0,0.0,0.0,0.0,4833.24,4181.0,5761.0,797.4933333333333,640.0,1036.0
16,65820.53333333334,61767.0,68990.0,36191.026666666665,33864.0,38499.0,6.1466666666666665,1.0,21.0,2076.5866666666666,1724.0,2644.0,0.013333333333333334,0.0,1.0,6861.64,6140.0,7894.0,1228.92,1031.0,1512.0
17,53348.36,49435.0,56997.0,44182.41333333333,41491.0,46616.0,13.306666666666667,3.0,25.0,3262.92,2773.0,3940.0,0.02666666666666667,0.0,1.0,9327.106666666667,8500.0,10448.0,1781.9866666666667,1531.0,2110.0
18,40359.53333333333,37052.0,44044.0,51694.17333333333,49208.0,53839.0,24.28,6.0,40.0,4890.946666666667,4239.0,5855.0,0.14666666666666667,0.0,1.0,12192.853333333333,11372.0,13270.0,2468.1066666666666,2188.0,2797.0
