day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,664874.2933333333,664809.0,664940.0,506.49333333333334,448.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.906666666666666,38.0,78.0,0.0,0.0,0.0
1,664181.1733333333,664091.0,664325.0,1063.9733333333334,951.0,1136.0,0.0,0.0,0.0,8.933333333333334,2.0,18.0,0.0,0.0,0.0,155.46666666666667,129.0,178.0,9.6,1.0,17.0
2,663296.8,663145.0,663469.0,1743.3066666666666,1609.0,1875.0,0.0,0.0,0.0,34.10666666666667,17.0,58.0,0.0,0.0,0.0,294.53333333333336,258.0,341.0,32.44,16.0,46.0
3,662151.3866666667,661971.0,662342.0,2599.8133333333335,2436.0,2761.0,0.0,0.0,0.0,81.52,59.0,106.0,0.0,0.0,0.0,479.0933333333333,424.0,531.0,67.45333333333333,48.0,87.0
4,660683.4933333333,660449.0,660952.0,3670.92,3453.0,3885.0,0.0,0.0,0.0,160.17333333333335,129.0,201.0,0.0,0.0,0.0,717.9333333333333,651.0,774.0,117.05333333333333,89.0,156.0
5,658784.36,658490.0,659083.0,5042.92,4831.0,5272.0,0.2,0.0,2.0,277.53333333333336,221.0,326.0,0.0,0.0,0.0,1023.92,946.0,1112.0,184.44,145.0,224.0
6,656349.12,656047.0,656715.0,6777.426666666666,6545.0,6997.0,1.2266666666666666,0.0,5.0,453.02666666666664,398.0,525.0,0.0,0.0,0.0,1417.7733333333333,1317.0,1509.0,270.04,235.0,308.0
7,653229.8666666667,652840.0,653632.0,8987.973333333333,8680.0,9236.0,3.2533333333333334,0.0,9.0,703.64,637.0,787.0,0.0,0.0,0.0,1913.8666666666666,1797.0,2042.0,374.4266666666667,324.0,435.0
8,649283.36,648792.0,649838.0,11746.146666666667,11327.0,12044.0,6.613333333333333,1.0,16.0,1041.88,966.0,1154.0,0.0,0.0,0.0,2555.04,2379.0,2725.0,508.76,444.0,603.0
9,644239.4133333333,643502.0,644863.0,15264.32,14814.0,15749.0,11.76,3.0,24.0,1501.48,1392.0,1616.0,0.04,0.0,1.0,3361.4,3181.0,3603.0,675.5866666666667,588.0,739.0
10,637862.9866666667,636939.0,638674.0,19681.053333333333,19076.0,20305.0,18.32,8.0,35.0,2108.28,1990.0,2258.0,0.05333333333333334,0.0,1.0,4380.666666666667,4193.0,4618.0,885.52,801.0,951.0
11,629807.9733333334,628583.0,630925.0,25232.08,24347.0,26022.0,27.426666666666666,15.0,42.0,2897.4666666666667,2753.0,3084.0,0.09333333333333334,0.0,1.0,5673.84,5390.0,5965.0,1157.2,1059.0,1246.0
12,619746.12,618273.0,621060.0,32099.88,31270.0,32999.0,38.72,23.0,54.0,3932.3733333333334,3753.0,4103.0,0.14666666666666667,0.0,1.0,7298.32,6990.0,7652.0,1493.0933333333332,1354.0,1582.0
13,607185.2133333334,605347.0,608801.0,40617.48,39582.0,41833.0,52.82666666666667,35.0,76.0,5257.333333333333,4962.0,5477.0,0.17333333333333334,0.0,2.0,9342.906666666666,8834.0,9760.0,1928.1466666666668,1784.0,2072.0
14,591605.6266666667,589456.0,593329.0,51097.2,49983.0,52392.0,72.78666666666666,50.0,95.0,6964.106666666667,6614.0,7286.0,0.24,0.0,2.0,11902.173333333334,11425.0,12383.0,2461.7066666666665,2278.0,2674.0
15,572438.0266666666,569871.0,574787.0,63865.58666666667,62258.0,65359.0,97.46666666666667,66.0,119.0,9149.2,8699.0,9575.0,0.26666666666666666,0.0,2.0,15074.026666666667,14583.0,15609.0,3130.88,2935.0,3295.0
16,549134.8266666667,546077.0,552038.0,79173.96,77087.0,80966.0,128.21333333333334,94.0,162.0,11916.16,11457.0,12337.0,0.38666666666666666,0.0,2.0,19005.466666666667,18484.0,19692.0,3959.2,3682.0,4179.0
17,521144.41333333333,517275.0,524658.0,97273.62666666666,94924.0,99708.0,169.4,136.0,197.0,15405.013333333334,14748.0,15926.0,0.48,0.0,2.0,23823.386666666665,23155.0,24462.0,4999.453333333333,4745.0,5204.0
18,488057.04,483754.0,491984.0,118198.49333333333,115704.0,120619.0,216.42666666666668,180.0,250.0,19786.746666666666,19000.0,20445.0,0.7066666666666667,0.0,5.0,29659.02666666667,29000.0,30588.0,6280.96,6037.0,6563.0
19,449720.2,444784.0,454558.0,141809.89333333334,138816.0,144408.0,274.82666666666665,238.0,320.0,25248.32,24351.0,26001.0,1.12,0.0,6.0,36594.56,35743.0,37887.0,7829.1866666666665,7531.0,8114.0
20,406256.4533333333,400981.0,411798.0,167631.32,164434.0,170175.0,344.6933333333333,305.0,411.0,32001.76,30937.0,32893.0,1.6933333333333334,0.0,6.0,44764.18666666667,43599.0,46202.0,9702.053333333333,9228.0,10009.0
21,358420.4533333333,352539.0,364374.0,194597.57333333333,191375.0,197429.0,428.2266666666667,383.0,478.0,40323.0,39068.0,41437.0,2.6533333333333333,0.0,8.0,54156.973333333335,52968.0,55536.0,11878.053333333333,11442.0,12267.0
22,307594.72,301046.0,314121.0,221225.58666666667,217753.0,224440.0,522.8133333333334,464.0,569.0,50429.22666666667,49058.0,51814.0,3.6533333333333333,0.0,9.0,64686.46666666667,63191.0,66067.0,14410.44,13955.0,14938.0
23,285057.69333333336,278468.0,291523.0,216298.82666666666,213456.0,219114.0,629.4,563.0,701.0,62576.81333333333,60941.0,64198.0,4.866666666666666,0.0,14.0,76106.69333333333,74700.0,77683.0,17244.946666666667,16738.0,17741.0
24,260543.12,254074.0,266796.0,213970.08,211443.0,216394.0,743.8,653.0,810.0,76980.44,74943.0,79020.0,6.973333333333334,0.0,18.0,85139.64,83594.0,86597.0,20376.4,19761.0,20999.0
25,235545.32,229493.0,241684.0,212395.68,210163.0,214581.0,860.04,762.0,926.0,93260.62666666666,91008.0,95536.0,9.653333333333334,3.0,20.0,92502.37333333334,90580.0,93879.0,23173.04,22647.0,23847.0
26,210983.62666666668,205368.0,216915.0,210611.61333333334,208859.0,212319.0,971.4133333333333,861.0,1052.0,111305.41333333333,108839.0,113956.0,13.44,6.0,25.0,98464.34666666666,96932.0,100027.0,25442.08,24879.0,26050.0
27,187468.04,182483.0,193385.0,207982.21333333335,206367.0,209367.0,1075.8933333333334,995.0,1163.0,130898.81333333334,128124.0,133605.0,18.8,9.0,30.0,103281.09333333334,102029.0,104805.0,27118.16,26472.0,27642.0
28,165462.09333333332,160649.0,171011.0,204220.04,203306.0,205116.0,1167.8266666666666,1087.0,1250.0,151862.85333333333,148912.0,154949.0,25.92,14.0,37.0,107036.62666666666,105712.0,108321.0,28164.386666666665,27608.0,28793.0
29,145242.38666666666,140684.0,150419.0,199079.2,198414.0,199941.0,1240.6266666666668,1164.0,1334.0,174011.94666666666,170527.0,177438.0,34.2,19.0,46.0,109816.25333333333,108430.0,110882.0,28622.96,28047.0,29138.0
30,126930.64,122723.0,131927.0,192665.48,191777.0,193460.0,1284.4666666666667,1199.0,1368.0,196882.17333333334,193057.0,200690.0,43.64,29.0,58.0,111681.89333333333,110131.0,112664.0,28725.106666666667,28287.0,29218.0
31,110588.98666666666,106735.0,115201.0,185089.68,184273.0,185969.0,1311.1466666666668,1216.0,1403.0,220277.16,216235.0,224147.0,53.266666666666666,35.0,70.0,112562.93333333333,111497.0,113223.0,28556.506666666668,28169.0,28933.0
32,96220.94666666667,92702.0,100437.0,176460.44,175357.0,177567.0,1326.8666666666666,1237.0,1402.0,243863.46666666667,239490.0,247792.0,63.53333333333333,46.0,82.0,112561.50666666667,111465.0,113445.0,28179.0,27795.0,28695.0
33,83625.81333333334,80626.0,87332.0,167153.38666666666,165776.0,168978.0,1333.64,1244.0,1403.0,267468.49333333335,262898.0,271558.0,73.4,52.0,96.0,111684.41333333333,110748.0,112542.0,27626.373333333333,27121.0,28060.0
34,72757.36,69953.0,76137.0,157281.70666666667,155985.0,159021.0,1334.6533333333334,1257.0,1403.0,290918.2266666667,286434.0,295125.0,83.74666666666667,61.0,108.0,110013.89333333333,109003.0,110686.0,26910.013333333332,26410.0,27408.0
35,63451.253333333334,60999.0,66200.0,147047.77333333335,145537.0,148921.0,1330.4933333333333,1260.0,1395.0,314013.9066666667,309369.0,317982.0,93.49333333333334,69.0,119.0,107664.64,106811.0,108429.0,26040.626666666667,25493.0,26393.0
36,55490.17333333333,53378.0,57874.0,136772.92,135239.0,138649.0,1322.9466666666667,1252.0,1394.0,336640.72,331859.0,340310.0,103.61333333333333,76.0,130.0,104654.65333333334,103906.0,105491.0,25021.133333333335,24343.0,25513.0
37,48699.746666666666,46869.0,50763.0,126572.17333333334,124646.0,128614.0,1314.7066666666667,1228.0,1385.0,358608.61333333334,353635.0,362255.0,113.45333333333333,89.0,137.0,101149.97333333333,100398.0,102130.0,23912.586666666666,23265.0,24291.0
38,42947.76,41327.0,44815.0,116609.78666666667,114697.0,118598.0,1304.76,1211.0,1374.0,379903.05333333334,375207.0,383552.0,122.90666666666667,97.0,146.0,97175.96,96294.0,98209.0,22658.4,22132.0,23283.0
39,38044.706666666665,36585.0,39608.0,107038.58666666667,105425.0,109062.0,1294.28,1200.0,1373.0,400340.6533333333,395721.0,403714.0,132.10666666666665,112.0,155.0,92886.01333333334,92157.0,94033.0,21365.666666666668,20969.0,21831.0
