 day, S, E, H, R, D
0,1265838.979,839.67,0.0,0.0,0.0
1,1264833.408,1697.641,0.0,8.637,0.0
2,1263653.355,2658.423,0.0,32.249,0.0
3,1262226.172,3785.063,0.0,76.163,0.0
4,1260464.206,5151.803,0.0,146.123,0.0
5,1258271.728,6834.007,0.009,247.331,0.0
6,1255514.921,8937.581,0.039,388.376,0.0
7,1252053.966,11569.497,0.153,578.06,0.0
8,1247677.016,14895.187,0.43,827.704,0.0
9,1242145.831,19094.283,0.953,1152.935,0.0
10,1235145.295,24410.612,1.891,1573.146,0.001
11,1226293.87,31129.069,3.335,2112.301,0.001
12,1215111.552,39613.623,5.49,2801.64,0.001
13,1200979.803,50335.656,8.647,3679.333,0.005
14,1183202.454,63795.347,13.019,4797.177,0.006
15,1160878.931,80668.215,19.018,6216.647,0.009
16,1133015.307,101660.683,27.04,8014.988,0.015
17,1098456.015,127585.294,37.52,10295.267,0.023
18,1055992.733,159232.738,51.002,13169.347,0.035
19,1004401.555,197341.592,68.223,16799.318,0.051
20,942646.019,242399.551,90.144,21349.888,0.067
21,870117.881,294440.182,117.902,27039.065,0.092
22,786914.111,352797.064,152.19,34110.544,0.136
23,730782.03,379205.034,194.66,42834.929,0.203
24,667217.967,410814.129,247.034,53501.775,0.312
25,598999.09,444414.499,310.678,66046.541,0.453
26,528669.53,477292.192,388.038,80508.04,0.651
27,458602.443,507136.036,478.551,96914.736,0.974
28,390909.748,532102.21,583.211,115328.103,1.409
29,327365.22,550800.417,702.248,135759.41,2.042
30,269391.915,562362.735,831.548,158212.303,2.986
31,217931.542,566454.353,965.916,182610.226,4.22
32,173438.312,563215.825,1099.487,208853.88,5.917
33,135949.905,553249.223,1226.313,236801.495,8.322
34,105104.019,537482.385,1338.37,266259.962,11.222
35,80303.901,516998.835,1432.566,296996.723,14.846
36,60741.903,492990.058,1506.826,328791.738,19.137
37,45596.132,466582.113,1562.757,361387.903,24.23
38,34022.088,438852.007,1601.908,394566.406,30.077
39,25300.166,410594.125,1628.869,428077.38,36.567
40,18788.513,382507.559,1647.079,461710.42,43.927
41,13957.934,355107.824,1659.545,495256.683,51.826
42,10388.038,328766.612,1669.34,528551.451,60.473
43,7764.294,303690.282,1677.319,561445.888,69.496
44,5834.799,280028.785,1683.388,593815.186,79.227
45,4407.477,257849.918,1688.25,625534.105,89.253
46,3355.626,237184.945,1692.232,656536.878,99.618
47,2575.808,217978.237,1695.742,686718.338,110.284
48,1992.962,200198.52,1699.069,716026.355,121.269
49,1557.198,183776.947,1702.31,744398.09,132.707
50,1226.561,168627.856,1703.727,771800.638,144.023
51,976.612,154666.158,1705.156,798198.384,155.43
52,784.51,141824.44,1706.178,823597.436,166.866
53,636.163,130024.933,1706.036,847962.447,178.123
54,520.882,119177.458,1706.691,871301.705,189.242
55,430.764,109223.567,1706.588,893619.257,200.436
56,359.121,100093.127,1706.47,914912.134,211.469
57,302.179,91718.069,1705.984,935215.356,222.144
58,256.513,84030.799,1705.252,954545.922,232.55
59,219.843,76987.429,1704.635,972913.073,242.634
60,189.726,70530.81,1703.243,990350.669,252.453
61,165.364,64610.597,1701.441,1006890.257,262.022
62,145.26,59183.664,1699.67,1022556.941,271.379
63,128.385,54212.477,1697.749,1037387.335,280.231
64,114.003,49657.084,1695.345,1051408.433,288.841
65,102.273,45485.534,1692.807,1064661.484,297.277
66,92.03,41660.725,1690.255,1077165.356,305.227
67,83.401,38156.185,1687.613,1088955.498,312.807
68,76.092,34949.92,1683.865,1100073.832,320.044
69,69.633,32009.855,1679.843,1110540.377,326.908
70,64.204,29316.194,1675.649,1120397.183,333.563
71,59.425,26852.053,1670.7,1129660.771,339.916
72,55.325,24595.814,1666.598,1138374.143,345.851
73,51.679,22528.982,1661.032,1146552.675,351.48
74,48.467,20632.725,1655.993,1154241.636,356.935
75,45.653,18898.756,1649.85,1161461.725,361.932
76,43.198,17310.029,1643.047,1168237.921,366.714
77,41.003,15851.388,1636.57,1174588.374,371.202
78,39.024,14518.05,1629.7,1180544.221,375.486
79,37.259,13297.601,1623.051,1186125.722,379.596
80,35.698,12178.556,1614.345,1191358.365,383.377
81,34.284,11153.325,1606.47,1196251.266,387.007
82,32.962,10214.506,1597.988,1200837.611,390.552
83,31.812,9354.016,1589.191,1205131.012,393.804
84,30.792,8566.974,1579.994,1209149.702,396.816
85,29.86,7847.1,1570.06,1212906.968,399.722
86,29.0,7187.273,1560.219,1216419.513,402.496
87,28.204,6582.649,1549.733,1219706.563,405.12
88,27.474,6028.049,1538.821,1222782.484,407.526
89,26.84,5520.448,1527.393,1225658.562,409.871
90,26.285,5056.256,1515.806,1228339.199,412.141
91,25.676,4630.754,1503.662,1230845.615,414.189
92,25.195,4241.536,1491.348,1233187.021,416.16
93,24.712,3884.863,1478.334,1235374.462,417.951
94,24.263,3559.158,1465.164,1237415.363,419.74
95,23.884,3258.908,1451.299,1239322.914,421.264
96,23.575,2984.649,1436.522,1241104.298,422.784
97,23.261,2732.782,1422.216,1242763.714,424.227
98,22.979,2502.749,1406.86,1244315.094,425.583
99,22.679,2292.309,1391.198,1245762.737,426.952
100,22.437,2099.352,1375.561,1247111.422,428.173
101,22.231,1922.301,1359.626,1248372.065,429.316
102,22.016,1761.005,1342.55,1249545.417,430.41
103,21.824,1613.176,1325.473,1250641.973,431.458
104,21.625,1477.872,1308.437,1251661.843,432.402
105,21.44,1353.523,1290.89,1252614.926,433.298
106,21.268,1239.752,1272.436,1253504.13,434.121
107,21.131,1135.646,1254.345,1254333.465,434.976
108,20.985,1040.683,1236.255,1255108.564,435.745
109,20.847,953.35,1217.308,1255829.888,436.459
110,20.718,873.177,1197.848,1256503.462,437.156
111,20.614,800.182,1178.658,1257131.516,437.784
112,20.526,733.25,1159.252,1257716.59,438.424
113,20.438,671.246,1139.49,1258263.361,439.035
114,20.352,614.779,1119.737,1258773.195,439.573
115,20.285,563.044,1099.983,1259249.448,440.098
116,20.213,515.785,1080.071,1259692.46,440.591
117,20.156,472.417,1059.726,1260105.97,441.053
118,20.103,432.533,1040.124,1260491.435,441.497
119,20.052,395.82,1020.171,1260851.166,441.92
120,19.989,362.728,1000.126,1261186.489,442.337
121,19.939,332.622,979.806,1261499.972,442.699
122,19.891,304.368,959.89,1261792.627,443.064
123,19.849,278.756,939.728,1262066.228,443.414
124,19.812,255.349,920.087,1262321.817,443.766
125,19.773,233.725,899.829,1262560.892,444.141
126,19.747,214.244,879.785,1262783.688,444.458
127,19.707,196.413,860.001,1262991.797,444.751
128,19.684,179.885,840.278,1263186.131,445.028
129,19.656,164.66,821.273,1263369.469,445.324
130,19.628,150.909,801.846,1263540.327,445.624
131,19.599,138.158,782.699,1263700.22,445.864
132,19.576,126.514,763.712,1263850.488,446.109
133,19.555,115.906,744.918,1263990.32,446.388
134,19.535,106.065,726.468,1264121.421,446.621
135,19.519,97.117,708.208,1264244.149,446.815
136,19.499,89.113,689.9,1264359.372,447.024
137,19.482,81.674,672.183,1264466.755,447.226
138,19.467,74.782,654.799,1264567.896,447.394
139,19.453,68.4,637.534,1264662.488,447.576
140,19.443,62.665,620.844,1264751.322,447.758
141,19.433,57.365,604.018,1264834.674,447.939
142,19.427,52.607,587.684,1264912.902,448.098
143,19.418,48.15,571.566,1264986.528,448.273
144,19.406,44.031,555.747,1265055.529,448.421
145,19.399,40.25,540.35,1265120.473,448.569
146,19.392,36.814,525.05,1265181.194,448.703
147,19.386,33.629,510.22,1265238.972,448.841
148,19.383,30.887,495.646,1265293.119,448.972
149,19.378,28.198,481.259,1265343.692,449.097
150,19.37,25.863,467.338,1265391.552,449.233
151,19.368,23.708,453.708,1265436.687,449.374
152,19.359,21.679,440.218,1265479.283,449.495
153,19.354,19.852,427.064,1265519.728,449.63
