 day, S, E, H, R, D
0,1266188.849,495.061,0.0,0.0,0.0
1,1265385.541,1163.748,0.0,1.983,0.0
2,1264156.311,2173.483,0.0,7.392,0.0
3,1262238.123,3743.432,0.0,18.158,0.0
4,1259229.903,6204.847,0.0,36.989,0.0
5,1254491.146,10083.241,0.003,68.755,0.0
6,1247013.441,16204.992,0.018,119.86,0.0
7,1235203.119,25883.525,0.076,201.6,0.0
8,1216608.372,41115.398,0.234,333.004,0.0
9,1187457.885,64968.973,0.581,539.846,0.001
10,1142214.215,101891.531,1.227,868.52,0.001
11,1073190.484,157890.453,2.401,1388.468,0.002
12,970834.777,240105.702,4.506,2207.399,0.003
13,825979.977,354374.741,8.045,3483.755,0.007
14,635940.561,499315.15,13.733,5452.656,0.011
15,415405.175,656337.905,22.902,8436.114,0.017
16,205496.241,782765.23,37.575,12827.328,0.038
17,61348.379,827400.14,60.637,19015.568,0.057
18,5229.721,778331.638,96.874,27248.881,0.091
19,0.0,684592.961,152.607,37478.498,0.161
20,0.0,597581.194,237.113,49372.05,0.308
21,0.0,521597.514,361.7,62523.024,0.525
22,0.0,455283.192,538.505,76659.949,0.944
23,0.0,397396.488,774.283,91664.729,1.694
24,0.0,346859.774,1066.73,107528.794,3.09
25,0.0,302765.519,1396.479,124334.605,5.368
26,0.0,264284.826,1730.67,142230.37,9.275
27,0.0,230680.378,2029.054,161375.857,15.204
28,0.0,201350.947,2258.268,181906.792,23.381
29,0.0,175748.8,2411.856,203886.738,34.028
30,0.0,153399.944,2503.286,227345.44,47.426
31,0.0,133908.063,2552.721,252223.159,63.099
32,0.0,116879.954,2583.71,278475.927,80.684
33,0.0,102019.117,2603.536,305972.517,100.649
34,0.0,89051.542,2615.2,334568.058,122.174
35,0.0,77730.241,2622.814,364108.858,145.216
36,0.0,67848.32,2628.167,394404.429,169.31
37,0.0,59217.522,2630.126,425282.108,194.917
38,0.0,51687.226,2630.144,456547.727,221.217
39,0.0,45113.715,2630.035,488015.551,248.474
40,0.0,39378.273,2626.476,519504.632,275.537
41,0.0,34369.244,2623.99,550863.239,303.226
42,0.0,29998.949,2618.264,581927.712,330.972
43,0.0,26185.602,2611.883,612574.493,358.663
44,0.0,22859.656,2605.785,642683.189,386.285
45,0.0,19951.979,2598.095,672154.892,413.367
46,0.0,17412.991,2589.997,700881.163,439.815
47,0.0,15199.46,2580.756,728809.865,465.679
