 day, S, E, H, R, D
0,113093.0,0.0,0.0,0.0,0.0
1,113093.0,0.0,0.0,0.0,0.0
2,113093.0,0.0,0.0,0.0,0.0
3,113093.0,0.0,0.0,0.0,0.0
4,113093.0,0.0,0.0,0.0,0.0
5,113093.0,0.0,0.0,0.0,0.0
6,113086.54,6.46,0.0,0.0,0.0
7,113064.319,28.138,0.0,0.0,0.0
8,113016.385,73.568,0.0,0.02,0.0
9,112931.976,151.645,0.0,0.158,0.0
10,112802.266,268.383,0.0,0.614,0.0
11,112613.038,434.271,0.0,1.619,0.0
12,112346.706,663.055,0.0,3.606,0.0
13,111980.352,972.304,0.001,7.285,0.0
14,111489.375,1378.462,0.006,13.439,0.0
15,110844.533,1903.667,0.023,23.504,0.0
16,110000.691,2581.966,0.038,38.778,0.001
17,108914.338,3445.536,0.058,61.155,0.002
18,107520.339,4541.456,0.124,93.475,0.004
19,105747.619,5920.647,0.21,138.301,0.008
20,103512.756,7643.808,0.335,200.039,0.015
21,100721.575,9774.252,0.491,283.356,0.019
22,97255.281,12396.296,0.693,395.181,0.036
23,92988.151,15591.019,0.985,542.365,0.057
24,87820.86,19411.359,1.339,734.257,0.078
25,81697.929,23854.546,1.803,982.515,0.111
26,74560.498,28927.772,2.283,1301.471,0.154
27,66471.301,34515.441,2.893,1703.821,0.218
28,57600.651,40399.366,3.595,2210.724,0.312
29,48223.584,46282.816,4.523,2839.942,0.424
30,38959.116,51545.248,5.652,3610.273,0.588
31,30361.162,55684.665,6.957,4539.34,0.774
32,22809.517,58416.479,8.218,5643.603,1.023
33,16494.655,59676.094,9.72,6936.607,1.337
34,11481.474,59527.006,11.837,8419.569,1.712
35,7682.51,58176.564,13.733,10091.455,2.239
36,4940.593,55885.592,15.712,11945.083,2.759
37,3060.579,52930.794,17.595,13966.651,3.481
38,1826.7,49582.542,19.601,16139.471,4.304
39,1052.76,46070.889,21.453,18443.129,5.22
40,587.862,42550.603,22.946,20860.862,6.246
41,317.839,39139.536,24.049,23364.756,7.37
42,167.84,35905.864,25.177,25940.292,8.53
43,86.775,32880.919,26.353,28562.512,9.769
44,44.167,30078.77,27.071,31218.834,11.067
45,22.173,27495.69,26.964,33894.807,12.402
46,11.056,25128.143,27.298,36568.731,13.694
47,5.606,22959.546,27.452,39233.938,15.034
48,2.948,20974.748,27.549,41875.689,16.327
49,1.469,19164.725,27.564,44487.315,17.699
50,0.798,17508.142,27.442,47061.909,19.031
51,0.427,15992.961,26.922,49591.512,20.393
52,0.244,14609.704,26.446,52070.694,21.624
53,0.131,13346.519,26.197,54493.217,22.888
54,0.085,12191.649,25.563,56854.119,24.198
55,0.054,11138.065,25.184,59153.849,25.383
56,0.026,10175.476,24.729,61390.02,26.56
57,0.016,9295.072,24.107,63557.379,27.703
58,0.01,8491.428,23.435,65661.691,28.799
59,0.006,7757.187,22.666,67695.934,29.811
60,0.005,7085.815,22.267,69664.959,30.803
61,0.004,6473.513,21.58,71563.205,31.781
62,0.002,5914.074,21.003,73394.989,32.708
63,0.002,5403.827,20.569,75158.325,33.575
64,0.002,4935.758,19.77,76860.495,34.437
65,0.001,4507.425,19.04,78498.683,35.271
66,0.0,4118.121,18.432,80070.403,35.99
67,0.0,3761.379,17.82,81580.479,36.709
68,0.0,3436.14,17.261,83030.205,37.452
69,0.0,3140.125,16.937,84418.918,38.121
70,0.0,2867.73,16.076,85752.411,38.727
71,0.0,2619.365,15.374,87031.477,39.312
72,0.0,2393.25,14.902,88256.626,39.828
73,0.0,2185.451,14.12,89428.86,40.341
74,0.0,1996.55,13.734,90548.463,40.857
75,0.0,1823.89,13.022,91619.906,41.347
76,0.0,1665.993,12.741,92644.741,41.767
77,0.0,1521.616,12.176,93624.057,42.152
78,0.0,1390.444,11.424,94559.402,42.529
79,0.0,1269.993,10.842,95452.389,42.909
80,0.0,1160.338,10.555,96305.365,43.254
81,0.0,1060.471,9.81,97118.207,43.621
82,0.0,969.166,9.353,97894.393,43.945
83,0.0,884.885,8.772,98635.265,44.261
84,0.0,808.091,8.446,99340.623,44.509
85,0.0,738.301,7.911,100013.355,44.759
86,0.0,674.333,7.526,100654.751,44.988
87,0.0,616.164,7.195,101264.158,45.209
88,0.0,562.844,6.855,101845.803,45.422
89,0.0,514.41,6.581,102400.367,45.612
90,0.0,470.111,6.05,102927.87,45.79
91,0.0,429.572,5.772,103429.964,45.95
92,0.0,392.758,5.45,103908.593,46.098
93,0.0,358.844,5.272,104362.685,46.247
94,0.0,328.032,4.963,104795.685,46.38
95,0.0,299.645,4.58,105207.786,46.504
96,0.0,274.021,4.327,105598.611,46.624
97,0.0,250.674,4.118,105970.995,46.746
98,0.0,228.913,3.875,106325.142,46.849
99,0.0,208.926,3.646,106662.693,46.946
100,0.0,190.939,3.454,106982.966,47.043
101,0.0,174.423,3.129,107287.449,47.133
102,0.0,159.459,2.948,107575.65,47.217
103,0.0,145.483,2.837,107851.177,47.293
104,0.0,132.835,2.672,108113.007,47.37
105,0.0,121.44,2.43,108362.335,47.438
106,0.0,111.001,2.34,108598.644,47.495
107,0.0,101.371,2.249,108823.435,47.564
108,0.0,92.547,2.164,109036.857,47.625
109,0.0,84.577,2.047,109240.142,47.679
110,0.0,77.219,1.95,109432.942,47.729
111,0.0,70.615,1.821,109616.835,47.771
112,0.0,64.518,1.675,109791.028,47.796
113,0.0,58.874,1.555,109956.1,47.842
114,0.0,53.597,1.472,110112.607,47.871
115,0.0,48.932,1.349,110261.676,47.912
116,0.0,44.855,1.329,110403.134,47.938
117,0.0,41.023,1.296,110537.658,47.966
118,0.0,37.418,1.236,110665.768,47.994
119,0.0,34.183,1.111,110786.608,48.028
120,0.0,31.137,1.047,110901.554,48.052
121,0.0,28.44,0.959,111010.541,48.076
122,0.0,25.959,0.841,111113.774,48.095
123,0.0,23.671,0.777,111212.415,48.109
124,0.0,21.6,0.741,111305.72,48.122
125,0.0,19.73,0.673,111394.776,48.149
126,0.0,18.055,0.643,111478.879,48.162
127,0.0,16.509,0.618,111559.386,48.175
128,0.0,15.078,0.593,111635.104,48.186
129,0.0,13.748,0.52,111707.292,48.206
130,0.0,12.465,0.481,111775.492,48.221
131,0.0,11.389,0.458,111840.047,48.229
132,0.0,10.427,0.467,111901.606,48.242
133,0.0,9.532,0.417,111960.15,48.25
134,0.0,8.679,0.369,112015.643,48.26
135,0.0,7.957,0.358,112068.011,48.268
136,0.0,7.27,0.325,112118.116,48.273
137,0.0,6.64,0.31,112164.797,48.278
138,0.0,6.028,0.322,112209.922,48.285
139,0.0,5.476,0.302,112252.745,48.289
140,0.0,5.014,0.291,112293.204,48.298
141,0.0,4.591,0.264,112331.803,48.303
142,0.0,4.223,0.238,112368.449,48.308
143,0.0,3.877,0.204,112403.048,48.314
144,0.0,3.54,0.175,112436.009,48.323
145,0.0,3.248,0.16,112467.187,48.326
146,0.0,2.998,0.149,112496.79,48.329
147,0.0,2.745,0.131,112525.053,48.331
148,0.0,2.536,0.128,112551.791,48.331
149,0.0,2.303,0.129,112577.12,48.332
150,0.0,2.075,0.132,112601.205,48.335
151,0.0,1.896,0.121,112623.774,48.339
152,0.0,1.733,0.105,112645.344,48.34
153,0.0,1.578,0.086,112665.582,48.343
154,0.0,1.454,0.09,112685.13,48.343
155,0.0,1.309,0.092,112703.389,48.344
156,0.0,1.179,0.096,112721.093,48.344
157,0.0,1.084,0.079,112737.369,48.346
158,0.0,1.009,0.076,112753.084,48.348
159,0.0,0.935,0.072,112768.028,48.348
160,0.0,0.86,0.063,112782.15,48.349
161,0.0,0.786,0.056,112795.705,48.349
162,0.0,0.722,0.044,112808.478,48.351
163,0.0,0.665,0.039,112820.547,48.352
164,0.0,0.613,0.044,112832.12,48.354
165,0.0,0.553,0.04,112843.21,48.355
166,0.0,0.505,0.038,112853.607,48.356
167,0.0,0.468,0.035,112863.464,48.357
168,0.0,0.439,0.022,112872.679,48.359
169,0.0,0.412,0.021,112881.532,48.36
170,0.0,0.379,0.027,112889.823,48.361
171,0.0,0.35,0.022,112897.806,48.362
172,0.0,0.315,0.024,112905.452,48.363
173,0.0,0.289,0.023,112912.614,48.363
174,0.0,0.26,0.013,112919.48,48.363
175,0.0,0.235,0.016,112925.861,48.364
176,0.0,0.214,0.013,112931.949,48.365
177,0.0,0.196,0.011,112937.601,48.365
178,0.0,0.181,0.013,112943.166,48.365
179,0.0,0.17,0.008,112948.412,48.365
180,0.0,0.156,0.01,112953.295,48.365
181,0.0,0.139,0.016,112957.862,48.366
182,0.0,0.121,0.015,112962.29,48.367
